,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629227171,570293,1837967,1837967,1961935,1961935,1961935,1962829,1962829,0,0,0,0,0,0,0,0,0.1837248263227345,0.5921169782233296,0.5921169782233296,0.6320543424721926,0.6320543424721926,0.6320543424721926,0.6323423523105257,0.6323423523105257
1,2000,9312181.820186952,2179903,5421278,5421278,5798553,5798553,5798553,5872584,5872584,224,224,224,0,0,0,0,224,0.23409717291398072,0.5821845528818299,0.5821845528818299,0.6226846846385553,0.6226846846385553,0.6226846846385553,0.6306345938466762,0.6306497638197097
2,3000,15520302.808598477,2000169,5781248,5781248,6386911,6386911,6386911,6513957,6513957,1989456,1925878,1934201,1934341,1918162,1939617,1965543,1926737,0.14782289891338865,0.42526609852175273,0.4255266213551498,0.470111066848264,0.46955189553416243,0.4702937016594692,0.4805660219716962,0.4791941343219643
3,4000,21728423.45952946,1171549,4631891,4631891,5388880,5388880,5388880,5596175,5596175,1791617,1699910,1722932,1763872,1747129,1762172,1775525,1772104,0.0587631224879559,0.23126484196440306,0.23153097785026597,0.2699224177875424,0.2696962406972558,0.2698994356012683,0.2804692767494779,0.2804211974732514
4,5000,27936543.63785141,293736,2255330,2255330,2944200,2944200,2944200,3029663,3029663,1687909,1584933,1645570,1663716,1656858,1659246,1643210,1645349,0.011190524918824649,0.08558603991971739,0.08578343392931542,0.11206254768551348,0.1120333036160593,0.11204348485816122,0.11522551844238388,0.1152348929644375
5,6000,34144663.20869106,99792,2060559,2060559,2805584,2805584,2805584,2884713,2884713,1609172,1521633,1569322,1570454,1572716,1596432,1585316,1559376,0.0030671736092720498,0.06316271011057241,0.0632551777984215,0.08612899800654095,0.08613497934355598,0.08619774088525124,0.0885986129116859,0.0885280826750116
6,7000,40352782.03686258,164155,1041705,1041705,2112356,2112356,2112356,2221074,2221074,1417171,1336002,1377752,1373760,1380686,1389602,1378327,1369500,0.004216063280593825,0.026698897218473943,0.026727497041432822,0.05419212411235814,0.05420175496852885,0.05421415803334138,0.05698794243304434,0.0569750386306559
7,8000,46560899.987573564,219925,746409,746409,1077842,1077842,1077842,1169645,1169645,1472265,1325765,1370951,1377485,1387085,1387085,1417522,1403649,0.004877614947993244,0.016500647123194045,0.016517146328384864,0.02385481487613166,0.023859884322289214,0.023859884322289214,0.02590955865823695,0.02590159884448822
8,9000,52769016.925558865,299323,1019562,1019562,1383508,1383508,1383508,1443207,1443207,1475886,1380164,1405809,1416439,1418110,1438325,1436884,1422093,0.005835537714287788,0.019840139290069822,0.019850045220650158,0.026941354375734458,0.026942231069172942,0.02695284143074479,0.028115079536884205,0.028106980704283583
9,10000,58977132.71605459,132014,371963,371963,406481,406481,406481,433301,433301,1414023,1239600,1313939,1310406,1310939,1334571,1342350,1290094,0.0022933785309931015,0.0064423085383517155,0.006450613919021243,0.007048796128163704,0.0070488612791316145,0.007051751134904662,0.007518046908144252,0.007511236659811594
10,11000,65185247.22381014,39713,270331,270331,365085,365085,365085,375167,375167,1434956,1246106,1284909,1307720,1300583,1346245,1327658,1293196,0.0006229461738547724,0.00422794230303694,0.00423050968921587,0.00571539030809439,0.005714751802106694,0.0057188393816066515,0.005875057366871502,0.005871888487126698
11,12000,71393360.31407112,57614,344425,344425,475618,475618,475618,497719,497719,1298626,1070168,1145669,1141034,1112623,1150854,1160660,1145977,0.000821944766091143,0.0048977440964534154,0.00490300810684449,0.006770138797592196,0.0067674019678330135,0.006771085272404684,0.007086713137530923,0.007085231883652282
12,13000,77601471.8515209,6752,50676,50676,126892,126892,126892,135369,135369,1290359,1109041,1158615,1139587,1155675,1185095,1144025,1148512,8.847990479627019e-05,0.0006624969220597388,0.0006629265583104872,0.0016595458017600257,0.0016598950527843895,0.0016605341057526794,0.0017705142608657122,0.0017706181717869367
13,14000,83809581.70149744,51767,228269,228269,296210,296210,296210,302065,302065,1452173,1243690,1317347,1342557,1330461,1379210,1353817,1346901,0.0006285651869843103,0.002764688847850959,0.0027671574279203807,0.003591859910942336,0.0035913331456578225,0.0035934570460588984,0.0036633581786976546,0.0036630509392901025
14,15000,90017689.72859228,17069,99385,99385,118075,118075,118075,146667,146667,1551116,1284210,1367490,1389948,1369289,1409465,1375350,1368815,0.0001929429306527254,0.0011200394744349863,0.0011210916648160178,0.0013322577975819925,0.0013319473225636726,0.0013325512429761988,0.0016545930584534359,0.0016544710854935975
15,16000,96225795.79821956,12316,196916,196916,256475,256475,256475,263614,264508,1833152,1625305,1598192,1554043,1555274,1609806,1524100,1523234,0.0001304762691712244,0.002081553682633812,0.0020809572692963513,0.0027090974067697136,0.002709132633140546,0.0027106940438605042,0.0027836249158798704,0.0027930395437832057
16,17000,102433899.7749281,139993,381828,381828,404599,404599,404599,424405,424405,4280360,3974190,3834613,3823749,3616929,3539437,3544226,3477879,0.0014262654237535627,0.0038780126497714824,0.0038725229409782257,0.004103015732360795,0.004094428283189745,0.004091219959613095,0.00429170189160439,0.004288824436112826
17,18000,108642001.52416718,32744,158051,158051,190233,190233,190233,192776,192776,10900847,10255597,10526680,10554883,9994550,9731855,9866621,9726663,0.0003350072971759692,0.0016064313028247422,0.0016108697147883251,0.0019394289776504085,0.001928412716808966,0.0019232910544068347,0.0019516604135261608,0.001948898956180599
18,19000,114850100.91039383,6258,40516,40516,79851,79851,79851,87897,87897,18601160,17766252,18282583,18090052,17939262,17638679,17579471,17094639,6.501889725546272e-05,0.0004173299725415227,0.00041956136884035153,0.0008252476192312313,0.0008239635617418627,0.0008214158216264332,0.0009036335025379309,0.0008991518047407883
19,20000,121058197.79922652,894,5935,5935,6830,6830,6830,7723,7723,17192687,17060968,17120471,17033942,17008139,16949204,16938882,16786500,8.607284488574023e-06,5.706882780875901e-05,5.7101498972211186e-05,6.565776363911064e-05,6.564148140635912e-05,6.560432245816925e-05,7.417451738630588e-05,7.406611921549904e-05
20,21000,127266292.05493379,0,38595,38595,52004,52004,52004,52004,52004,18942479,18749058,18839963,18742576,18745955,18618065,18620620,18495913,0.0,0.0003556577933092394,0.0003559559780027782,0.0004791947962201738,0.0004792097169185458,0.00047864563840242124,0.0004786568946226,0.0004781081067460077
21,22000,133474383.54325867,18773,185182,185182,205743,205743,205743,210213,210213,20950853,20648136,20773485,20707328,20789394,20629509,20647225,20512553,0.00016683621558410744,0.0016413024808699717,0.0016431279820623655,0.00182449562958638,0.0018258243696336971,0.0018232374384104541,0.0018631418420362237,0.0018609206223822573
22,23000,139682472.1283934,0,66024,66024,66918,66918,66918,66918,66918,23042920,22803009,22932765,22909573,22935275,22890225,22848962,22751912,0.0,0.0005648896583950928,0.0005655174785782655,0.0005730610484066405,0.0005731872083096482,0.0005729661141499823,0.0005727637552484806,0.0005722883729157027
23,24000,145890557.67622495,0,0,0,0,0,0,0,0,26567626,26263348,26399138,25786104,25588371,25465522,25452168,25290387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,25000,152098640.05074716,0,2566,7930,8824,12635,26045,60156,80717,34847792,34414577,34526201,34179623,34024805,33783204,33763193,33543040,0.0,2.1804141813947243e-05,6.744777997313823e-05,7.483101725824715e-05,0.00010700931323666739,0.00022013188531738948,0.000508351483002406,0.0006808366704352175
25,26000,158306719.1178918,894,45708,52860,60906,69610,93747,124643,136265,34986670,34487706,34648778,33916990,33376003,33105270,33087105,32696087,7.249429483646668e-06,0.0003691517065838673,0.0004274695140654562,0.0004896384969395314,0.0005571888336436975,0.0007487692886982982,0.0009953951773294164,0.0010848205896464925
26,27000,164514794.74183702,0,4512,10769,17027,25967,38482,81225,99020,34894137,34437581,34600624,34202409,33852439,33769334,33752724,33722346,0.0,3.4687089846150324e-05,8.289318969983616e-05,0.00013066294430164402,0.0001987335973897919,0.00029432761781293876,0.000621166363756675,0.0007570773462269931
