,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629228463,779960,1021150,1245397,1386263,1509961,1648435,2027378,2284471,258977,258494,260427,204398,206279,196165,183612,226588,0.27414308387536274,0.35885647150594785,0.43795972420606877,0.47807734114532296,0.5210748059031723,0.5668824504672373,0.6942008771219516,0.7939158054172475
1,2000,9312181.820187548,3046364,3801822,4287483,4609213,5040647,5347833,6317649,7417990,468358,460624,473193,425280,422916,407395,399137,455618,0.3444623119974587,0.42950880254425616,0.4850648741864827,0.5186524047705444,0.5670487419278964,0.6005571057440954,0.7088092932833545,0.8375697562401707
2,3000,15520302.80860103,4606241,5303242,5905212,6072273,6504325,6815062,7939001,9413999,2904454,2906387,2924756,2848616,2830877,2831709,2841400,2917673,0.36511542504057526,0.4204278893619924,0.4688333178173377,0.4792000537669844,0.5125783544588203,0.5371014395133663,0.6261583608492048,0.7469868704367674
3,4000,21728423.459533326,5751250,6467428,7038257,7314585,7701151,7977397,9118921,11519682,1851412,1857691,1870260,1812350,1800480,1803165,1810863,1855589,0.28934178619903195,0.32547506807667476,0.35442638058360515,0.36727043685906324,0.3864498620059988,0.4003660487617504,0.4578332280465265,0.5796698011779502
4,5000,27936543.63784498,4624801,5607922,6397625,6628339,7055889,7445771,9212680,11896102,1598137,1587869,1602968,1551478,1527438,1544228,1548619,1593486,0.1755915254704414,0.21283506958430695,0.24294554936192297,0.25121555848975236,0.26717637078510964,0.2821188978705308,0.3491248412460364,0.4515839491202348
5,6000,34144663.208685994,4282851,5549803,6736025,7112539,7647445,8265579,9762377,12199008,1582692,1572413,1597186,1550868,1529616,1550190,1549091,1591539,0.13152922998892455,0.17038439053007282,0.20695997286703213,0.21821757651912113,0.23447597518618163,0.253588359814244,0.299500095825854,0.37474154314027397
6,7000,40352782.03687319,3428754,5263547,6164540,6422859,6967190,7703040,9632721,11994276,1977997,2150237,2203431,1937154,1863369,1932505,1927651,2049567,0.08934913893863931,0.13778000902609006,0.16158964261388548,0.1671939085268898,0.1810157508332323,0.2004941295089346,0.25068804555946295,0.31314018910562785
7,8000,46560899.987565964,2036007,2800528,3399280,3621763,3937563,4292314,6236926,8352721,2311052,2381577,2585627,2330503,2231638,2264400,2255169,2419415,0.04601161569124735,0.0633900162025614,0.07729980439146218,0.08188402652180918,0.08882536779214727,0.09689961963597245,0.14077018618088802,0.18922609881277996
8,9000,52769016.925560445,1916995,2394903,2896790,3147975,3482353,3725726,5247443,7453891,2039920,2028888,1820125,1535595,1511682,1557011,1558573,1702541,0.0377888650928083,0.047199387362880006,0.05685678118834053,0.06144377794194281,0.0679386278092164,0.07275102649592664,0.1024682193270515,0.14596446817410175
9,10000,58977132.71606845,1790987,2480324,3039769,3279501,3706765,3946854,4851762,6344688,2206442,2359248,2198372,1740708,1714032,1726760,1706887,1929724,0.03154774017031779,0.04380813611173417,0.05353707903560745,0.05729744679666057,0.06473217401166428,0.06894023239943445,0.08471697544399971,0.11121781239141372
