,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292272517,2761672,2772275,2772275,2772275,2772275,2772275,2772275,2772275,3300,1746,2562,816,0,1631,4932,4932,0.8906434034181616,0.8936150362964763,0.893850145176663,0.8933472320840953,0.8931123876566003,0.8935819120224537,0.8945337001682467,0.8945337001682467
1,2000,9312181.820186723,7245297,7301177,7301177,7302808,7302808,7302808,7311780,7311780,89913,54980,85390,66148,63410,62083,117460,118275,0.7856306448301195,0.7887023683634815,0.7913018026510807,0.7898314176675292,0.7895975965220173,0.7894843224877661,0.795214922538191,0.7952854148951992
2,3000,15520302.808603115,9803453,9925931,9925931,9949374,9949374,9950190,9954268,9964871,1494291,1397329,1523220,1373306,1129178,972103,1219079,1173580,0.6989480070155701,0.7028215965361024,0.7091428360986164,0.7032852367613143,0.6913548546290277,0.6839464766022755,0.696043089264281,0.6945747215541443
3,4000,21728423.45952763,7112538,7570786,7582643,7665688,7690201,7722683,7754169,7776556,9461448,9327543,8582836,8225784,7804038,7482262,8412397,8297846,0.57981187159511,0.6105039093561574,0.576820398734198,0.5677177431106624,0.552282973087193,0.5420886897807254,0.5823185335030544,0.5790187371640766
4,5000,27936543.637848243,3931130,4297767,4374805,4528947,4565179,4674266,4726248,4784595,13850446,12368912,11588064,9931124,9518223,9050197,11178169,10583756,0.2790787130026247,0.27607070233799785,0.26759705470543704,0.2515324325171483,0.2478607626484092,0.24749445139552664,0.2820230542719771,0.2757248633392077
5,6000,34144663.20869079,3179725,3805402,3830583,3974248,3983527,3987096,4076501,4084451,16793796,16425916,16005101,14344526,13908059,13222737,15307174,14374372,0.18326029251191103,0.21476698974143638,0.21117284727879157,0.200718205036256,0.19684760145129676,0.19057021615647388,0.21640362761929446,0.20659538885317594
6,7000,40352782.03686616,2659588,3001801,3002719,3158283,3158385,3159201,3160831,3166743,26579871,26364591,26232776,25386325,25276780,24480926,25971159,25321133,0.19310282284413519,0.2145953677704782,0.21265706205508347,0.21102409155489188,0.20949751746362408,0.19904420709600723,0.2197826345397497,0.21067169624791957
7,8000,46560899.98758116,2884774,3005127,3005127,3066283,3067915,3071177,3080164,3085873,34910641,34824258,34846121,33822365,33153154,32378485,33772011,33196695,0.2476145811930091,0.2560465764551565,0.2565244297980982,0.24070923406728706,0.22881661114714108,0.2165482396819778,0.24084687911444363,0.23090584160206926
8,9000,52769016.9255248,1677435,2147587,2147588,2190375,2190375,2192823,2248659,2252623,41761887,41458465,41600341,40507616,39541548,38959537,40998499,39974858,0.152395312070419,0.18987464220499156,0.19228671458645513,0.17863986450685687,0.16559290460877774,0.1587911356420373,0.19104163590997983,0.17606651700300027
9,10000,58977132.716089755,942009,1594947,1594946,1606370,1607185,1622684,1780405,1797650,48225863,47691879,47565262,46937718,45152462,44358973,47059387,45817858,0.08761839530360227,0.14133018540168324,0.13976201095156673,0.13342592126618993,0.11625484852449237,0.11100467032207631,0.14939108808105664,0.1366070728656516
