,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292271256,18613,18613,18613,159606,251589,307414,455615,531802,2002070,2110796,2211148,2057221,2130610,2181615,2204088,2292378,0.016890343262768136,0.018739215564821894,0.020845264576569794,0.1524646140095365,0.25845070355519717,0.33325975023326626,0.5062542850789484,0.6551846508115807
1,2000,9312181.820188288,168495,168495,168495,1097676,1592950,1739260,2315833,2725021,4383365,4428726,4463076,4338097,4411793,4411428,4440066,4555662,0.03418568921243927,0.03450323013130146,0.03474764343118778,0.2206789871264095,0.3250660424000384,0.35489642283912504,0.4753238809315708,0.5729022695194256
2,3000,15520302.80860054,262754,262754,262754,2004563,2666543,2891806,3367406,3648392,7094754,7141458,7538600,7239089,7277373,7395276,7375472,7408697,0.031185386966340857,0.031359215500720794,0.03291954189485409,0.2420614956128944,0.32349456587847836,0.3559134102719455,0.41344087791783046,0.44977432164315706
3,4000,21728423.459527895,158059,158059,158059,3144014,3924653,4263480,4885730,5338894,9216460,9260521,10935448,10621896,10777958,10739482,11092665,11062740,0.012632629603760362,0.012677272741992963,0.014644617750934254,0.28307803779865165,0.3584005642961229,0.38797913481497126,0.4593682734138427,0.5005674526399568
4,5000,27936543.637844227,144854,144854,144854,3010212,3909946,4298630,5283014,5779452,10965657,11040847,11334077,11179505,11227502,11245171,11706844,12428183,0.00853544090483657,0.008573425713358592,0.008724848130085373,0.17963866200091666,0.23400181080070936,0.2575360393221195,0.325515204710328,0.3726668559600498
5,6000,34144663.20869629,115252,115252,115252,3792527,4802527,5304169,6018643,6393078,13937559,13982691,14138383,13959069,14012684,14012330,14134067,14181031,0.005703538656983833,0.005716305865667712,0.005760791051497044,0.18788285154202278,0.23855215377559505,0.26346519029939514,0.3007727974334114,0.3202362141902781
6,7000,40352782.03686555,132620,132620,132620,4554216,6212854,6899506,7908143,8585919,16492891,16419155,16868454,16465741,16619540,16701508,16641122,16764292,0.005558281879623461,0.005541157627121129,0.005647170308293002,0.1906563476393476,0.2617785631794169,0.2917181539246322,0.3335128366257304,0.3639876476443128
7,8000,46560899.98757061,382301,382301,382301,2334424,3090908,3627619,4660263,5271283,18709502,18547217,18944551,18453165,18780777,18794241,18660928,18934825,0.013726456394419103,0.013646938182659633,0.013843285373170202,0.08305272555872234,0.11126329431237343,0.13064657874841396,0.1670346838368203,0.19080824917660685
8,9000,52769016.925548494,504944,504944,504944,2253754,2988495,3462872,4543948,5215207,20683828,20375795,21022405,20267404,20721635,20884401,20621224,20911412,0.01573760407556547,0.015587952354987921,0.015905445317572292,0.0693428355436599,0.09325239131679403,0.10860635762669706,0.14134556641332705,0.16370367490550483
9,10000,58977132.71607798,135856,135856,135856,1912653,2756769,3174420,4243607,4915565,25058326,24530228,25580479,24626658,24931032,25288212,24977875,25131796,0.0040053295841802825,0.003943924747949549,0.004067952470776901,0.05568054054009242,0.08097165143784407,0.09422741757604046,0.1248146955276977,0.14523610863250463
10,11000,65185247.22379178,189570,189570,189570,1698210,2297259,2564024,3431938,4165545,28230874,27723262,29192479,28721605,28738239,29031043,28436748,28717332,0.005129839406339924,0.005060329794791702,0.005266891360545346,0.04657269258998907,0.06303011171436566,0.07091911037866817,0.09338988183163922,0.11422492825371015
11,12000,71393360.31409556,5933,5933,5933,2653341,3415866,3622555,4173969,4516971,31236863,30451772,31939799,31507557,31477056,31850134,31120695,31297507,0.00014774694997906165,0.0001449137721400359,0.00015037932704646157,0.06652344392076755,0.08557570793931848,0.09161000094493317,0.10364273055796727,0.1126543177573945
12,13000,77601471.85148185,0,0,0,2462563,3076865,3240405,3731516,4047608,33750306,33112021,34140132,33737296,33756830,34017856,33634665,33805423,0.0,0.0,0.0,0.05614064215723336,0.07017653400893292,0.07434915476132588,0.08487120778647661,0.09241947860926837
13,14000,83809581.70151752,2642,2642,2642,2973453,3589409,3754166,4209373,4558137,35915611,35462440,36098371,35819998,35816375,35987839,35610326,35665493,5.516351977716243e-05,5.4646456998657956e-05,5.537482619186537e-05,0.06196038328846711,0.07478993896622675,0.07850332898639575,0.08733273862292174,0.09467698159704341
14,15000,90017689.72858846,0,0,0,2328023,2804652,3121250,3582232,4037324,38012850,37702598,38063061,37783025,37673853,37869192,37754556,37706876,0.0,0.0,0.0,0.04456854489439948,0.05358132256415572,0.05985311439353106,0.06854223511745686,0.07717952966565221
15,16000,96225795.79824293,0,0,0,1074102,1968134,2412057,3181169,3942600,39003608,38931615,39105785,38875408,38819684,38796345,38834719,38815510,0.0,0.0,0.0,0.01872876612061737,0.03428439826959749,0.042000349410860074,0.05542967962046312,0.06867410508729196
16,17000,102433899.774912,0,0,0,816791,1443561,1645991,2017312,2334939,41615810,41571789,41831906,41566217,41624577,41615225,41809444,41722063,0.0,0.0,0.0,0.01341912428341463,0.023739139561599714,0.027063907691046555,0.033275548196093116,0.03845937010037668
17,18000,108642001.52416599,2642,2642,2642,1032189,1971362,2160507,2693717,2970916,42798881,42744467,43023374,42672686,42817119,42835672,43024991,42964604,4.012568023762366e-05,4.0092546998569786e-05,4.0262957329106066e-05,0.01564650158636081,0.0299485836420029,0.032831294734446466,0.04105211405521035,0.04523498360157849
