,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629228022,1018275,1836025,2040064,2162632,2274183,2342450,2520445,2625587,280135,300168,444822,396883,401494,418689,416384,428396,0.3605884621962818,0.6548128772339978,0.767160937562129,0.7988511639026419,0.8414900766570969,0.8723001220778506,0.9377783668580488,0.9812840411010441
1,2000,9312181.820186075,2419175,4007658,4502139,4832732,5061931,5641475,7034706,7417013,269214,252883,425109,340272,363905,364388,391064,381838,0.267520027506879,0.4423805947398569,0.5065941385980154,0.5386514239283527,0.5656877968483255,0.6304878178208494,0.7885453529245365,0.8305405871647008
2,3000,15520302.808599599,2787460,5545626,6683944,7262015,7802277,8431965,9693219,10092757,314480,295523,575041,466210,458849,400153,541054,549870,0.18331530197915774,0.3642499970257433,0.44722829787792784,0.4823947276219527,0.5180294743887973,0.5576641175343588,0.6471098199821018,0.6741793727033949
3,4000,21728423.45953151,1871593,2892360,3759533,4254145,4937163,5585998,7184784,7900347,382609,317617,639436,463668,513702,463030,569888,579335,0.08767962466591575,0.13508879291711126,0.17826996233054415,0.20005614492468396,0.23272344204084727,0.2626802090744416,0.3395690601432149,0.37355496503394015
4,5000,27936543.637849353,1686285,2263653,2709358,3088553,3399154,3690818,4456465,4637795,317113,286992,651071,471195,521845,472551,603468,596421,0.061054299855447934,0.08186942883013318,0.09929672232401367,0.11245271417176687,0.1239902012020315,0.13438752510126728,0.16304293958887414,0.1696332917533987
5,6000,34144663.20869422,1741662,2310239,2606867,2861797,3257922,3848137,4936944,5196847,243153,233809,515004,386283,423015,397836,500118,479662,0.051374171512670305,0.06812683000499853,0.07751690208404048,0.08477293585499003,0.09661218158251329,0.11402959384011667,0.1467383187787667,0.15436942858798647
6,7000,40352782.03686462,1642243,2093270,2333997,2595979,2922879,3350861,4492403,4869270,217640,144671,490636,340722,376275,383302,459047,470790,0.04091783202091522,0.05206088886097621,0.05855171464781432,0.06487991364624132,0.07311491715133206,0.08383549140267614,0.11260923540622865,0.12209194554522569
7,8000,46560899.98756617,1830178,2272723,2418134,2675570,3011126,3405192,4371471,4594629,270255,203061,569366,371135,429534,409888,489818,512361,0.03953667097297072,0.04902564592386579,0.0525778070514835,0.05792560323093735,0.0652728558007927,0.07378369083038555,0.094885355659322,0.09977795389427277
8,9000,52769016.92554566,2280659,2906472,3204011,3491958,3913292,4451325,5394412,5627512,422751,396024,827167,499638,500870,485926,626052,680999,0.04356870465686853,0.05549562546734516,0.061684576205750935,0.06680695412459496,0.07486953776215487,0.08513890286897843,0.10345426286561607,0.10803851296557178
9,10000,58977132.716076165,2663543,3849072,4350477,4759342,5285632,5782636,7160315,7571981,358373,339083,788629,491254,487976,460449,617051,603908,0.0454384059454865,0.06564120086935192,0.07476523234258835,0.08137591679360008,0.09036943421253338,0.09882029590154899,0.12269199749985242,0.1297166815235865
10,11000,65185247.223787665,4071934,5168634,5627981,6012495,6634793,7270852,8428878,8750922,320047,267701,602524,391380,385080,359361,465490,495381,0.06277532461091088,0.07961844371292738,0.08714375484753566,0.0927941988588797,0.10238851663895732,0.11215970075441842,0.1302365515812222,0.13527500535751802
11,12000,71393360.31408471,2720875,3698513,3942349,4237543,4750622,5323498,6237521,6565231,364047,291410,644515,431406,419036,402730,549697,571850,0.03830636779449853,0.052017040090493204,0.05572315678790528,0.059715703167421384,0.06693437445035667,0.07498874114016432,0.08804627976882011,0.09270108715394526
12,13000,77601471.85150158,2946598,3792565,4091854,4344683,4619808,5013430,5840089,6089664,488623,444504,782117,572112,525284,515633,685921,704608,0.03821150487740828,0.04915388856777361,0.05326592507721401,0.05640294828330066,0.05993820048418492,0.06503697792869438,0.07592858577162472,0.07919261846308814
13,14000,83809581.70151263,3011710,3933097,4284212,4679827,5116311,5671836,6786111,7043179,637494,589425,1004252,538791,561682,609589,755775,781801,0.03621058558501504,0.04726135056566783,0.0517383605070259,0.05620010282807354,0.06145873972009693,0.06817111174935093,0.08170740474772731,0.08482918537014063
14,15000,90017689.72861075,5154685,6589366,7076154,7665040,8275048,9022802,10555839,10943763,622986,544695,887579,396754,378365,332229,569998,546448,0.05766208494463911,0.07364642281156283,0.07939128474266055,0.08552733730889844,0.0923149301386783,0.10060495789058946,0.1180113068990869,0.1223159843158905
15,16000,96225795.79822576,2713392,3551154,3873880,4156623,4452415,4964644,6189215,6537033,535604,484936,825047,605824,518672,482728,634236,674835,0.028356009628672418,0.03709131093541536,0.04060638987429044,0.04347023871509996,0.046521249655216784,0.05185382204863923,0.06474645892445073,0.06841410013452615
16,17000,102433899.77491927,4968795,6272769,6758602,7165364,7716153,8429543,9983766,10362937,851065,704882,1087826,707329,676355,666436,834091,874936,0.04891372652682451,0.06166155082592881,0.06668834566803507,0.07043748693597586,0.07582880480329594,0.08283141475003991,0.09826559833510802,0.10203862480289705
17,18000,108642001.52415323,5549273,6995713,7654335,8179108,8914692,9695003,11495714,12012629,1170814,1008956,1717002,1280314,1278610,1231528,1487348,1453086,0.0516349835508503,0.06499595887055093,0.07158601855566028,0.07618274440926555,0.08303288368078879,0.0902612443824661,0.10728151901875922,0.11206969434533699
18,19000,114850100.91041744,5320192,6977612,7561153,8144698,8764194,9573256,11496640,12069991,697259,391642,938109,603099,590481,614861,712621,700672,0.04660586553048826,0.0609619600545306,0.06637714671819833,0.07129025588248139,0.07670421104911218,0.08380300166137251,0.1007262470577002,0.1057385141144449
19,20000,121058197.79921389,5321188,7070817,7963613,8649087,9441962,10241141,12282851,12968648,626438,580155,948665,626231,537459,564186,681935,624844,0.044184258445376746,0.05868967353482055,0.06630292212786063,0.07181720293931508,0.07834304779470525,0.084992945683188,0.10203715179700872,0.10768319232910585
20,21000,127266292.05491638,8340033,10875878,12152748,13025818,13899916,14990970,17164452,17881218,1275728,1057492,1448403,816449,649578,768645,877466,953584,0.06619569538846395,0.08617368991122372,0.09658998486849217,0.10301173718612658,0.1097794718789757,0.11850789598870543,0.13580672070284114,0.14156309587017854
