,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292267037,733679,1347926,1957899,2341715,2610950,2737054,2837392,2863861,0,0,0,0,0,0,0,0,0.23636104046807138,0.43424602835022613,0.6307541101372623,0.754403756792398,0.8411401425011632,0.8817656376389356,0.9140903928499821,0.922617610311773
1,2000,9312181.820187924,972124,2130552,3885532,4937323,6228756,6677132,7066867,7300690,1555,6220,4665,4665,9330,7775,4665,7775,0.10441015613386799,0.22894484645080734,0.41746172207524934,0.5304661915078132,0.6695533929158268,0.7176311321117771,0.7592644887487097,0.7846486230760646
2,3000,15520302.808599306,782731,1982466,5475962,7507161,9163813,10104089,10641902,10834339,120491,427553,366139,118161,220477,258860,266014,191618,0.05082730943263348,0.13135220719490506,0.36135032385572063,0.4874101987431781,0.598948845211653,0.6620664328215867,0.697633441553882,0.7068016033522978
3,4000,21728423.459530383,1514448,3509271,7437341,9491124,11133862,12329713,14040380,14438105,38243,48377,70064,61830,28355,83815,130732,58102,0.06982182572550111,0.16186639666804548,0.34339355267867844,0.4380533570137757,0.5130795794844673,0.569643614623626,0.6500870718663971,0.6662616900706044
4,5000,27936543.637845084,1398867,3592304,7554959,10249441,12178855,13052469,14580944,15286799,215375,214725,215339,257295,222034,295502,394750,194457,0.05046205007714788,0.129583994720169,0.27253357488245455,0.3702933245805747,0.43943967110171667,0.47221335472860926,0.5294115623596996,0.5510327755644061
5,6000,34144663.20869231,1855675,3538088,5669121,7620583,9460055,10879496,12588348,13198543,2317698,2267357,2226197,2315055,2498465,2281043,2840902,2522104,0.05830511919160906,0.1109908088480586,0.177612575834115,0.23941805849557718,0.2989318001996711,0.34143941990094717,0.4021353190141418,0.4173774460471885
6,7000,40352782.036869004,1402186,2395783,3603923,4805858,6065104,7270197,9568868,10335986,3356460,4058243,3893816,5717781,6402198,4355517,7017489,5905601,0.03790068641425057,0.0660094621277955,0.09884874399223349,0.13875726450489081,0.1786450563976612,0.20196526020945596,0.28704916406214825,0.3000531738413468
7,8000,46560899.98757717,1884768,3980228,6425826,8814860,10320745,11654082,13550363,14225602,4092681,4958207,4386992,6921950,7812407,6143397,8704054,7389467,0.04438066970859629,0.09567236431517838,0.15236496465759836,0.22237874622719758,0.2663521650586217,0.2883424540992062,0.3579369238643544,0.363162665111371
8,9000,52769016.92556068,2985803,6317181,10604619,13722308,16213630,17745097,20590138,21591973,3609686,3958623,3610394,6751216,6807833,6174862,7493623,6824093,0.060737258701125126,0.1294228645159912,0.21572245862253367,0.29819564872727145,0.3527678927126812,0.38084384250234293,0.4547754578094489,0.4699533953953871
9,10000,58977132.716056526,4840932,9688107,14958133,18212201,20922333,22513905,24837390,25417450,3670218,5523163,4158716,7211076,7666056,6384569,8378612,7776955,0.08752851293284303,0.18124204902764934,0.27286692859953954,0.3518174293223891,0.407754705982478,0.4280815272963485,0.4908718604518077,0.49643284718578257
