,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292267665,861718,2185743,2227487,2290004,2352282,2406603,2479628,2487956,6057,6057,6057,0,5300,4543,0,0,0.2781526760880771,0.7055327435318536,0.7190072274240558,0.7377446105395334,0.7591041327341779,0.7764443658287477,0.7988336234971303,0.8015165607830796
1,2000,9312181.82018663,1941173,5348679,5804444,6024580,6204236,6370386,6738387,6787721,153845,146865,185843,137188,149302,162267,101180,112146,0.21195693477021982,0.5835781899235085,0.6360101366345394,0.6566304150248957,0.6771054648486737,0.6962235305126112,0.7315585352759674,0.7377928882740269
2,3000,15520302.808597405,1912507,5125622,5793457,6288792,6482182,6926855,7976477,8063174,214165,245378,298765,208344,243955,246629,150275,187761,0.12495033194629618,0.335557920201026,0.3806091784450155,0.4107111362178528,0.4243279926077541,0.45351597047338665,0.5189630818714761,0.5258863207846427
3,4000,21728423.459535208,2005466,4924749,5551905,6434105,6625697,7193162,8148529,8203427,300572,297045,343681,171655,254840,260900,107969,109742,0.09359155787444033,0.2297915185109752,0.25961991408152174,0.2984726125382676,0.30855106286686873,0.33507181271088915,0.37688981123180215,0.37946009868153957
4,5000,27936543.63783919,1438650,3224839,3558160,4091492,4301436,4693915,5628913,5759438,380398,377157,468014,266469,283332,361996,125698,130774,0.05220795458507424,0.11701417895753449,0.12953587421361162,0.14786703879738838,0.15554923805357,0.17022636460439236,0.20239992243678312,0.20713104060828905
5,6000,34144663.20869723,865652,2056848,2231569,2818572,3080650,3474704,4121343,4201852,1024863,1169347,1589482,786278,942768,930194,498642,569613,0.026136993416182523,0.06237538366523706,0.06854727625978714,0.08449365826212533,0.09278536603516008,0.10461416613847759,0.1224912441930776,0.1251480481453326
6,7000,40352782.03685863,672553,1451345,1568908,1916312,2100613,2309910,2650306,2723640,757275,978613,1144593,560399,783421,666692,266622,501260,0.016985588778391812,0.036860333449612065,0.040014804012628816,0.04815775919288299,0.05308685672339493,0.05820452450353917,0.06611523771703458,0.06834469201655355
7,8000,46560899.98758957,487407,1216402,1343633,1605599,1767359,1902642,2188037,2266535,769086,1378285,1544499,846687,898696,876775,501472,643329,0.010643976675221828,0.02692190348730618,0.029847632652162087,0.035122534001315646,0.03870507434289301,0.04164777152931936,0.047504649875147235,0.049360951619426705
8,9000,52769016.92554331,617200,1277156,1450521,1606389,1689649,1757226,1993886,2050483,634447,2036163,2646481,1464559,1467163,1397191,1390997,1507722,0.011838593871234817,0.025174140644135323,0.02893949743793369,0.03131090484049761,0.03293543742984929,0.034206025741558566,0.038808151869019605,0.04000060870444871
9,10000,58977132.71606347,551006,1038989,1235949,1419518,1458704,1481405,1800198,1811976,1502135,3578079,4183768,2510896,2937753,2574993,2478122,2298827,0.009586881633681238,0.018754634426160523,0.022556545056224,0.025139235099692354,0.02602998119163457,0.026265049649846745,0.031862469398746096,0.031969480687677986
10,11000,65185247.22381997,447337,976125,1048155,1166051,1213975,1271032,1473996,1500090,1615099,3008418,4192371,2286088,3005202,2186379,2159738,1959794,0.007036903523097043,0.015699176239531463,0.017184875757517676,0.018538419501773172,0.019523546430856402,0.02017547355746656,0.023387292195695825,0.02372604581717488
11,12000,71393360.31406659,247880,596243,631374,679673,706002,717018,842347,865546,999790,1491389,2095937,545994,1088179,1037773,495489,434735,0.003521344334348484,0.008529702221431002,0.009111074695209314,0.00959348293890005,0.010041962580910717,0.010191344104615875,0.011881132456975094,0.012197896959940361
