,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292263353,28575,47579,47579,68091,105357,153237,243626,350516,1429,1429,0,0,0,0,0,0,0.009209923514872886,0.015335046401194648,0.015327986686864014,0.02193610503573546,0.033941669504780086,0.04936662594705607,0.07848622469101772,0.11292176341522156
1,2000,9312181.820187025,179373,818928,893956,1468338,2006682,2339503,2635490,3066866,0,0,0,0,0,0,0,0,0.019262188331756337,0.08794158187769928,0.09599855514655811,0.15767926661579187,0.21548999351042503,0.25123038243609097,0.2830153073565169,0.3293391451347763
2,3000,15520302.808601186,324670,2329344,2465954,3307145,4129070,4630691,4977073,5567853,11436,15724,15009,3574,715,2859,10006,8576,0.020934476000524983,0.15023587733371985,0.1590394887346199,0.21313416254119188,0.2660553908340019,0.2984184158883983,0.3208883144802219,0.35894475635766415
3,4000,21728423.459531166,573752,3080316,3233999,3875533,4834831,5290013,5663235,6264417,7861,30016,22155,14294,14294,20012,21441,10006,0.026415153892491987,0.14196046441403473,0.14898917361265562,0.1784797777512964,0.22265829302577944,0.24368494257913093,0.26089462275828074,0.28843800482575443
4,5000,27936543.637844764,491259,3665866,3834733,4705960,5704463,6106287,6584308,7351336,2801,2802,1373,0,0,0,1428,20000,0.017586580014324327,0.13123433471703153,0.137272581925988,0.16845176200054265,0.20419358507443786,0.21857703942043866,0.235700044537492,0.2633325993134136
5,6000,34144663.20869064,431565,3918200,4192255,5137071,6112716,6535692,6955057,7658575,8852,14136,8362,3853,2857,1428,5172,3308,0.012642588083277416,0.11480045344867425,0.12280929249981859,0.15046716725815557,0.1790390339232854,0.1914198218198268,0.20372468228904073,0.22431959578600788
6,7000,40352782.036870286,300489,2825040,3066335,3949155,4901894,5358580,6104345,6679225,21212,50193,32390,11871,17863,21432,34843,33142,0.007450466216051078,0.07009574490153846,0.07604923576130021,0.09789454175664501,0.12152978404441973,0.13286388864001009,0.15140518453628415,0.16565686087207585
7,8000,46560899.987567246,231808,1224022,1398348,2414067,3450576,3901812,5230436,5868424,128656,154922,108698,87672,98781,100757,96605,123647,0.0049923927876944565,0.026376386256269205,0.030102943244203203,0.05194532647152945,0.07426643629670304,0.08398191975096002,0.11256893064662968,0.1263731944172315
8,9000,52769016.92556456,271738,748622,782944,1184857,1718826,2097321,2658798,3392053,1261263,1521616,1205863,1241173,1292608,1281050,1207830,1262006,0.00527567170552024,0.01460799936151597,0.015184175916202506,0.02299449986131005,0.03339055765302978,0.04073419723548354,0.051565880433247765,0.06585614150473673
9,10000,58977132.716062605,247881,604038,623337,817259,1051405,1327904,1675932,2357274,2214633,2812401,2419827,2327770,2420764,2419286,2399603,2395307,0.004366985267385165,0.010754756259741031,0.011021334770248234,0.014426623015977386,0.018590390859047318,0.023478687345833325,0.029621865931771067,0.04166132800007566
10,11000,65185247.223789155,248654,700069,716507,921044,1231090,1402925,1899492,2558190,1173274,1666073,1252646,1141246,1121183,1195700,1306439,1458269,0.0038844920329309768,0.011021380686303234,0.011207224268756791,0.014381424995318344,0.01921654542083914,0.021924283900518673,0.029735870984715848,0.04014296725346743
11,12000,71393360.31409633,150031,386743,396858,469255,559159,632369,765030,1054606,1289417,2389242,975429,1603275,1113884,1574783,1700064,1549301,0.002140122123056552,0.005604636497775455,0.005635752039204772,0.00672380608059264,0.007956220355157178,0.009057317183006034,0.010977095939789308,0.015099437380312077
12,13000,77601471.85150337,170729,535752,554610,642833,774205,833328,1041054,1357140,2430773,4762288,2876958,3518867,3130261,3688618,3975587,3595477,0.002271217410619903,0.00735527186977044,0.007422062338232822,0.008677246180645805,0.01039603077682966,0.011274466572136698,0.01413978252485128,0.018338244120941382
13,14000,83809581.70149857,130792,297573,301891,350309,436587,469075,589768,894321,2077330,2883906,2143133,1711653,1671408,1806731,1692012,1760100,0.0016002495621639887,0.0036771148021997866,0.0036966343559697405,0.004266965142003707,0.005315275228624114,0.005720227967531229,0.0071819953043402995,0.010899776347809226
