,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629226352,819441,1259769,1376412,1475199,1532766,1586473,1666546,1800151,0,0,0,0,0,0,0,0,0.2639900111114245,0.40584548772617934,0.4434230398209243,0.4752481269567453,0.4937938342982761,0.5110960092282116,0.5368922192783862,0.5799342264937218
1,2000,9312181.820186187,2236064,3650113,4002764,4348527,4548216,4780709,5153555,5743963,0,0,0,0,0,0,0,0,0.24012245928798803,0.3919718354389928,0.42984169309528897,0.466971874472384,0.48841572123739563,0.5133822655434809,0.5534207879004838,0.6168224709217669
2,3000,15520302.808604663,4520769,7077428,7675062,8089244,8295974,8470629,8678537,9120814,0,0,0,0,0,0,701,701,0.2912809792276492,0.4560109481933677,0.494517542257284,0.5212040061174074,0.5345239781920106,0.545777302444368,0.5591984322167523,0.5876963927607389
3,4000,21728423.459526334,3308898,6441517,7047860,7523934,7826882,8083182,8385763,8859765,0,0,0,0,0,0,0,0,0.1522843112001892,0.29645579266248434,0.32436131471425395,0.34627150994248973,0.3602139849022724,0.3720095944860699,0.3859351791270182,0.4077500153889737
4,5000,27936543.63784673,2829534,6463693,7177225,7680464,7919770,8126527,8399037,8954148,0,0,0,0,0,0,0,1971,0.10128432624595404,0.23137053329830615,0.2569117029308068,0.2749253486603466,0.28349140475884704,0.290892356096288,0.30064696294861243,0.320540003102414
5,6000,34144663.208690464,1605969,4164726,4633840,4947234,5191975,5344700,5658522,6096912,5610,5610,5610,0,701,4909,6312,6443,0.04704199001017355,0.12199301411615668,0.13573428564856643,0.14489040263079342,0.15206129178172875,0.15655355827487114,0.16575264474282908,0.17859489928675096
6,7000,40352782.036876276,1425056,3390273,3755128,4234025,4688725,4928701,5394182,5836506,92674,92674,92674,76390,57467,79193,86847,96659,0.03539622890963728,0.08420923751358732,0.09327168214651803,0.10512423744717277,0.11635906049398326,0.1223804760853835,0.13396390758242444,0.14498430449086017
7,8000,46560899.987559944,1489936,3395624,3783802,4245192,4505725,4721152,5135940,5599035,12448,12448,12448,0,0,0,16171,17572,0.03200828247517629,0.07294816164686807,0.081287386334807,0.09117504174391437,0.09677057361871938,0.10139735274149315,0.11034418100001588,0.12029726369151138
8,9000,52769016.925563306,1060774,2399840,2679658,3089508,3289079,3472575,3779041,4168348,0,0,0,0,0,0,0,0,0.020102212658165343,0.045478201789986857,0.050780896748180135,0.05854776495757164,0.06232973800970406,0.06580708154746301,0.0716147698057511,0.07899233760371031
9,10000,58977132.716055006,1369441,3067026,3413256,3794182,4033480,4233272,4639111,5194199,2102,2102,2102,2101,0,701,9110,12615,0.02322069159392895,0.05200550067988437,0.05787629033096537,0.06433539566825014,0.06839057468967102,0.07177904591415941,0.07867163907357752,0.08809024818981451
