,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629227268,785,839398,878600,914320,927484,937544,962207,970034,1942120,1687307,1897434,1823855,1828314,1858458,1806416,1801281,0.0006755938989086327,0.592479865717957,0.7281457069803452,0.7141977656760371,0.7270126988787624,0.7526830611955454,0.7415027029187358,0.7445879396927375
1,2000,9312181.82018668,21675,3392777,3670641,3956673,4205205,4367625,5042034,5149375,2789172,2227548,2724686,2504936,2449365,2538605,2383289,2430627,0.0033228525784098372,0.4788923586047247,0.5572134085841407,0.5812443247262508,0.6127520390214366,0.6448033462887084,0.7276824928378898,0.7482865623470119
2,3000,15520302.808602959,44700,3890590,4145516,4616019,4976458,5352676,7506903,7917984,3921113,2746883,3710359,3433926,3564002,3492651,3301528,3339424,0.0038537174352338494,0.30458483775657863,0.3510191129766593,0.38191917007869264,0.4162205417598118,0.4450308410301184,0.6143744456862043,0.6500338870794597
3,4000,21728423.459531225,93689,3183041,3612093,4440683,5218737,5874529,8679847,9284676,5126215,2843856,4680283,4325958,4092335,4352027,4044237,4083223,0.005643164897511796,0.1685524969963497,0.21187606991943578,0.25517551006359646,0.2959123851059838,0.3380752167851079,0.49082534952134216,0.5261870513341089
4,5000,27936543.63784355,93306,2383104,3141797,4665415,6497226,7677727,11153975,11889259,5712123,4251531,5446001,4900476,4937839,4469120,3971709,3747527,0.004198354662218702,0.10061653909326242,0.13969413946969328,0.20252653679205548,0.28250399760815426,0.3271653130094308,0.4654309186171659,0.4915147720969912
5,6000,34144663.20869306,34860,1160367,1903930,3496762,5473014,7666759,12454468,13392460,6773906,5577080,6570034,5894804,5709944,5188814,4868955,5067606,0.0012736220534274561,0.04061831172498004,0.06904644068250156,0.12377980272991856,0.19247645668070432,0.2647741029711642,0.42541987067290826,0.46058512399927826
6,7000,40352782.03686124,10900,651266,847028,1367205,3131063,5559652,13485647,14723821,8600837,6816827,8042435,7398868,7410026,6851633,6189414,6100735,0.0003432860565658592,0.019419933002777383,0.026215379210680363,0.04148839492846544,0.09504556924431284,0.16595406903454946,0.39473997368905184,0.4298668918723185
7,8000,46560899.987579554,16176,552806,738708,1198239,2363217,5320165,13891556,15166704,10287351,8320495,9529987,9000259,8630700,8347096,7846330,7825942,0.00044594478487723475,0.014456070749761955,0.019948414457071805,0.03190145238459137,0.06230436435278085,0.13922102603889389,0.35881984494356267,0.3915508054730106
8,9000,52769016.92554936,33176,611058,785258,1448803,2338124,3886074,9866825,11169004,13634246,11462853,12874954,12473599,12387223,12037731,11074120,11252965,0.0008477371712003777,0.014793385343199069,0.019683580523384023,0.03595453464899752,0.05790044900706307,0.09540759422874978,0.23664346784735452,0.2690285680350663
9,10000,58977132.71606889,17826,679251,872759,1389151,2548103,3411021,8381180,9305268,17164961,13480313,16187527,15908711,15929937,15982907,14592344,14902313,0.00042633518586525045,0.014929636933723903,0.020396518860005538,0.03225451373997542,0.059193240293904444,0.0793367235527432,0.18883000781224202,0.21112435762516493
