,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292259367,1413249,2370925,2616216,2742904,2819956,2872535,2905040,2931239,0,0,0,0,0,0,0,0,0.4552903982266685,0.7638140111300726,0.8428366299830969,0.883650265775898,0.9084732345267418,0.9254120144928766,0.935883781601403,0.9443240162261156
1,2000,9312181.820187151,3474869,4737968,5267875,5615547,5885711,6019349,6252379,6477483,394082,434919,483469,383931,397211,321684,360471,338147,0.38964230834625013,0.5337194691617921,0.5966753146568348,0.6289638489213376,0.6602053017013062,0.6695234368984806,0.6984563203159061,0.721802748684333
2,3000,15520302.808602571,4764563,7231738,8604812,9301177,9674333,9923273,10333338,10627759,1195317,1341847,1359005,1148144,1285256,1194607,1285238,1206440,0.33260507644892334,0.5100511718358108,0.607628772185896,0.6471663111899867,0.6796137118533094,0.6926904726010642,0.7259073378967218,0.7424801496359712
3,4000,21728423.459533323,5392656,8017827,9511454,10366324,10868974,11065412,11706929,12097195,1559319,1595013,1538292,1427440,1404823,1341078,1338648,1269827,0.2673721091989811,0.3982349148503799,0.4710942085277462,0.5106316164762936,0.5347956933930779,0.5427588413589031,0.5741568377363556,0.5913013155094974
4,5000,27936543.63784246,5681786,8668331,10274598,11300676,12097790,12435881,13050452,13708094,2582764,2665660,2663555,2555036,2561175,2497234,2507067,2499927,0.22410015710318387,0.3430165373014266,0.4065446373293323,0.44523265368016596,0.4767532709636574,0.48884506604302264,0.5132017534556407,0.5389118448876667
5,6000,34144663.208692,5272195,10198890,12765234,14189098,15198242,15612589,16428631,17254192,7443646,7488413,7471420,7448270,7463948,7434644,7439170,7453834,0.19745296438683013,0.38260782818861644,0.47857824787651615,0.5314986893203316,0.5696339802408573,0.5845218184987054,0.6151779662565031,0.6464464578860325
6,7000,40352782.0368679,3619197,8759289,11388136,12995548,14135183,14609231,15661841,16504818,11780312,11828809,11801556,11769996,11772616,11761192,11760499,11769713,0.12666727781427517,0.30708516617507714,0.39886679420682736,0.4546634461468351,0.4945801568040531,0.5109625236358623,0.5477646181595596,0.5774333742367288
7,8000,46560899.9875623,2713049,6315947,9072919,10830662,12184042,12726066,14148060,15385320,14833096,14905891,14887477,14876141,14852584,14843452,14840531,14826407,0.08551014123333432,0.19952441025941978,0.2864521148712852,0.34182560783408594,0.38425383438146743,0.4012323439448977,0.44602444585520173,0.48481379570267497
8,9000,52769016.92555493,2815820,5365444,7722457,9474787,10635915,11142460,12787801,13931592,17757819,17732569,17702438,17683861,17670288,17657215,17651392,17657588,0.08042626836097808,0.1531389258237718,0.22022270881897246,0.27005115839028837,0.3030284949223938,0.3173423005639121,0.36414196652275244,0.3967822565563618
9,10000,58977132.71607408,3503714,5982538,8109952,9811585,10973987,11550136,13293738,14471615,20304185,20282648,20260293,20217948,20213482,20189690,20205625,20195000,0.09059857618620862,0.1546095792177533,0.20946833624524858,0.25314219253768183,0.28309993504944647,0.29778029153784497,0.3428738984656152,0.37315160323820795
10,11000,65185247.22380656,2629018,4071861,5412868,6532790,7183831,7662715,9441928,10531178,23002610,22961211,23022189,23111970,23113005,23063033,23034623,23048057,0.062324647604447656,0.09643467001632171,0.12837939722654482,0.15527171713411272,0.17074989637550225,0.18191624398674655,0.22400446431982435,0.24992596668322992
11,12000,71393360.31408364,2032151,3427277,4621439,6048813,6803848,7225479,8748466,9739593,26065397,25980316,25983736,25976769,26055338,25994551,25962819,25958477,0.04483217094752193,0.07546899908969816,0.10177223594793487,0.13318509436713868,0.1500693601689476,0.15915569393046855,0.19256794541622474,0.21436377271339835
12,13000,77601471.85149586,1545341,2975599,3996959,5076120,5696660,6112771,7890670,9036643,29117491,29081658,29083364,29072117,29084481,29067939,29051926,29065045,0.03187322849444451,0.06132750239123728,0.08238076827385529,0.10459895903280352,0.11741577332025245,0.12594943415110563,0.16252819386068224,0.18618270000898296
13,14000,83809581.70150346,1660355,2902146,4116990,5036556,5605514,5979085,7462156,8326395,33193319,33223001,33328474,33249695,33286292,33143440,33111108,33026783,0.03280279719171527,0.05736987872583661,0.08155506460642474,0.09961565044112791,0.11094910947244184,0.11800947929339917,0.14718699509446398,0.16396093190810085
