,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292266566,561251,1022391,1500069,1858871,2117864,2239891,2316032,2337666,0,0,0,0,0,0,0,0,0.18081186775653596,0.3293721103169037,0.48326021272777975,0.5988513827653933,0.6822882195209065,0.7216002738187639,0.7461297560341192,0.7530993363948578
1,2000,9312181.820185151,1148356,3174432,4443531,5085327,5645396,5917353,6217784,6283894,48756,52340,47870,40133,36549,37436,29662,36214,0.12396666441671225,0.34281708712131403,0.4796396198925863,0.5484577463536751,0.6086265066157839,0.6380070262542109,0.6698379449165538,0.6774380983001913
2,3000,15520302.808605487,809405,2938089,4482816,5289200,6010118,6481916,6941125,7078098,1941077,1950587,1927388,1867802,1829512,1869806,1760338,1782804,0.059606122720712126,0.21651809377885103,0.3297906345416063,0.3874162011890228,0.4389898351395654,0.4748483583332805,0.5044435139586272,0.51523920755983
3,4000,21728423.4595285,1099721,3969564,5538328,6633541,7513663,8120478,8796486,8978920,3529665,3561039,3430105,3349366,3185801,3343843,3188527,3331870,0.06042835298054129,0.21849947684230506,0.30266868577292805,0.3609293357185129,0.40521037498333756,0.44170047926175315,0.4744625202844153,0.4880762051301173
4,5000,27936543.63784598,1512356,4756867,6905404,8159366,9128506,9711604,10532533,10709214,4868420,5003510,4791118,4782542,4732360,4885267,4748850,4967424,0.06556042544868286,0.20742423680702352,0.2983485423015383,0.35239550068370246,0.3933991448469415,0.42130438815069027,0.4542294358594269,0.4662439905774421
5,6000,34144663.208686724,1723789,4528565,6574291,7957244,9011055,9691096,10656235,10802470,6766984,6583396,5976941,5998687,5901383,6337245,5950403,6338054,0.06296329892904345,0.1643090270745132,0.2333980345053437,0.2827133776068548,0.3190512905518846,0.3485075790665316,0.37795760275762746,0.3884856984513355
6,7000,40352782.036865786,1571276,4257677,6256406,7771495,9014854,9745621,10678525,10856147,8104935,8128928,6641346,6617241,6203708,6872337,5478360,6697343,0.04872498924358314,0.1321281121472619,0.18558705102797127,0.23036521013572617,0.2639853130503033,0.291083974220443,0.3061993396969194,0.3225673861543835
7,8000,46560899.987583876,1403309,3411185,5424751,6897452,8116417,8931386,10127848,10294680,8569996,8323133,5825013,5721468,5053137,6194608,4777377,6161987,0.03693802601956055,0.08920983804068999,0.13316884450444005,0.16889196701112258,0.19553973560145474,0.22125851942871477,0.2423885607494018,0.2548256682837963
8,9000,52769016.92555091,943349,2172802,3659965,5121821,6508585,7265925,8315253,8479827,9574816,9830315,6464811,6831327,6163794,7706968,5892416,7811345,0.02183971412333676,0.05060241466468418,0.07904173987746568,0.11149496216071593,0.13965355364563067,0.16124266812643984,0.17738600572183608,0.18861801861187208
9,10000,58977132.71605745,944930,2198079,3147215,4140061,5183777,5853936,6851135,6975481,10627990,10969259,7239226,7682622,6310203,7784929,6219421,8288827,0.019543883240067773,0.04578580199157616,0.060829963942534725,0.08071157989823613,0.09842565397199403,0.11435210002814934,0.12986035173157015,0.1376151935137625
10,11000,65185247.22380918,669856,1642836,2654178,3647941,4454808,4973052,5587337,5730572,10497156,10023185,6461488,6803641,5833038,7688463,5613816,7935376,0.012248663008892316,0.029781990262338583,0.045197685486794925,0.06248442336470518,0.07505715555088302,0.08649269810711743,0.09379222364170568,0.1000975526669265
11,12000,71393360.31406498,1520125,2797680,4170787,5187211,6007539,6530693,7081356,7315321,12262324,11890010,7880896,7730496,6488050,8913453,6333935,9605484,0.0257077347998114,0.04701718449857947,0.06566879501597878,0.08147938450287406,0.09255851286944955,0.1045246909085901,0.10884442900956744,0.11839411606925207
12,13000,77601471.85152304,777475,1502046,2028680,2568281,3016181,3370468,3858202,4014450,12842874,12429461,7718309,7923512,7250223,9636646,7114130,10090281,0.012005741720699018,0.023047409161917824,0.02902959621776459,0.036859302503585885,0.0428731692647799,0.04959135784976738,0.0547360972715789,0.059463474860470995
13,14000,83809581.70149797,670849,1524431,2062566,2595355,3214724,3545911,3944291,4159042,11928717,11607511,8443155,8195279,7603445,9028716,7417679,9467267,0.009332789787460914,0.021113397236242597,0.02736717249670276,0.03432359893928618,0.04218458170359932,0.047417356923282715,0.05163231783101871,0.05594447814410326
14,15000,90017689.72859538,247998,731038,1100805,1451342,1827061,2070984,2979163,3078568,11496081,11220601,8806541,8532933,7670232,9021769,7741508,9004322,0.0031583407932609772,0.009277474736635887,0.013554850746894977,0.017811208602291646,0.022187218044079922,0.025568991393276983,0.036209300643379044,0.038000740943316624
