,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292260843,0,0,0,0,0,0,712,712,2850,2850,2850,1425,0,2850,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022937696296786525,0.00022937696296786525
1,2000,9312181.820189906,712,53538,54740,445008,494495,526150,961349,974172,0,0,0,0,0,0,0,2138,7.645898821007771e-05,0.0057492434140325,0.005878321649746705,0.04778772672105373,0.05310194856031233,0.056501259335298294,0.10323563463029493,0.10463667183686025
2,3000,15520302.808601948,24937,1294517,1325428,2086585,2340611,2462056,2888128,2925740,0,0,0,0,0,0,0,712,0.0016067341151474802,0.0834079731538826,0.0853996224394151,0.13444228670870612,0.15080962200703607,0.15863453376924025,0.18608709092964917,0.18851914564515246
3,4000,21728423.45953011,134768,1852668,1940748,2866459,3175383,3290306,3606166,3712655,9977,11403,12116,0,0,4276,713,6413,0.006205232047841223,0.0853094927756073,0.08936823185141961,0.13192208838063527,0.14613959479914654,0.15145846372703495,0.165970823604117,0.1709167301487577
4,5000,27936543.637846746,332549,1813177,1911006,3499907,4125873,4371676,5359779,5440693,4277,4989,5702,2851,3564,2852,4989,5702,0.011905550104888862,0.06491500467872914,0.06841920572169782,0.12529338835990675,0.14770615428401354,0.15650190661075788,0.19188974869080855,0.1947915881141144
5,6000,34144663.208686784,255042,2861725,2932881,4431362,4815796,5057518,5940183,6026540,31756,33182,33182,17823,12119,19248,10694,13544,0.007476407637724118,0.08389330801827617,0.08597929190049702,0.12984975968774345,0.1410910353050791,0.14820385243877077,0.17402555687805207,0.1765702426325994
6,7000,40352782.0368709,98172,3788937,3855231,4926726,5170547,5328338,5762879,5818190,31180,53826,53826,6416,7921,44947,2851,8667,0.0024347246895157965,0.09402072342850201,0.09566577845025853,0.12211077437550798,0.12815875100609894,0.13219112351546528,0.14282252415088406,0.14421409404277916
7,8000,46560899.98756504,163307,3920000,3987978,4528884,4782703,4933549,5232230,5329335,4073,17056,17767,0,20567,21325,0,2026,0.0035076917944519286,0.08422166422367892,0.08568348849798037,0.09726796520706264,0.10276469232134361,0.10600760753226045,0.112373901737238,0.11446443059218658
8,9000,52769016.92556408,685306,3822290,3935508,4891909,5240825,5515709,5914055,6008205,10691,38572,39999,3564,3564,9974,4987,10691,0.012989532703651132,0.0724873458852028,0.07463647446564688,0.09271045217599075,0.0993230363698991,0.10454528160758951,0.11208497547179676,0.11388164606429865
9,10000,58977132.716062546,502042,2149757,2200782,3273885,3880878,4318187,5279936,5413832,4923,12675,14102,713,1425,9271,1427,2853,0.008513196341415986,0.036458522358535715,0.03732477746264269,0.055511762425760475,0.06580468722282089,0.07322949949911017,0.08952730511475615,0.09179988337399668
