,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629227339,33022,729928,1060223,1374914,1554926,1625557,1787988,1865703,374807,340524,373519,39413,27177,111914,9397,153395,0.012099278588977691,0.2641282160982544,0.3882830382996253,0.4486368960945257,0.5053574289354811,0.5432745120581765,0.5777648928023936,0.6322990248436089
1,2000,9312181.820187386,88785,3776904,4952919,5869589,6377924,6592253,7009750,7219365,626942,513249,621790,71778,68292,156650,22578,115249,0.010222515651627044,0.4292456911745765,0.5699304591186088,0.6352091439095754,0.689961057959766,0.7200295001394115,0.7545800806668419,0.7849752891696024
2,3000,15520302.808602387,20516,3531596,4950286,5756868,7141664,8493188,10716350,11385877,331090,277002,318855,59469,56287,80890,38321,87194,0.001350695408545517,0.23168184137696626,0.3256456925897986,0.37235171603726097,0.46182467014985884,0.5500978635189964,0.6921820560495415,0.737756542845958
3,4000,21728423.459525783,6166,2230953,3352328,3896918,5436452,7244902,11026979,11954276,136962,85289,113780,55290,62689,57538,73317,114523,0.0002855758518967537,0.10307901585013217,0.15509522543258036,0.17980408819414276,0.250923965220563,0.3343149966590492,0.5092091798583324,0.5530827729305774
4,5000,27936543.63784974,5424,2082526,2918390,3217131,4266418,5976725,9771987,10657561,166164,149424,152001,58802,59999,44549,41203,89223,0.0001953160191086239,0.07494573122877131,0.1050364599496555,0.1154014210258727,0.15304687347108348,0.2142810178189809,0.35030893247960193,0.3827140549211177
5,6000,34144663.208687395,3863,627071,1177550,1604461,2577528,3640435,8469884,9166870,254738,186006,236641,86702,111760,73247,98394,124262,0.00011398667822995823,0.018465718362962274,0.03472777010563318,0.047109719521048116,0.07573635385129436,0.10684718761622172,0.2487756866423058,0.26945214266488904
6,7000,40352782.036866486,1288,2199574,3449320,3952032,4667189,6397575,9929434,10761642,897994,652989,815016,364373,349361,302908,353380,560183,3.264496057605214e-05,0.055405175486869816,0.0872411455109458,0.09882943820936976,0.11666974671238234,0.1597402027809361,0.24823956095264324,0.2704433050485017
7,8000,46560899.987567425,0,1868964,2966620,3852210,4601828,6580514,10911745,12038323,1552378,766536,1300220,717736,778386,865566,968773,961741,0.0,0.0408120964515939,0.06554519288740018,0.08403019479730307,0.10051496956348137,0.1440084451902769,0.23933397542465035,0.26400318048151367
8,9000,52769016.92555684,0,2745402,3390288,3689760,4099548,5372407,9089139,10070444,5632875,2903708,4057421,3616998,3581293,3802780,4331264,4231891,0.0,0.05505635198407311,0.06959919780048233,0.07506833047058196,0.0833449420470128,0.10971655853741931,0.18764576081737203,0.20747919881876417
9,10000,58977132.716068,0,1679465,2243588,2496874,2718231,3261612,4944237,5436134,4654014,2286343,3484770,3121431,2968913,2843924,3286684,3055454,0.0,0.029625006256068884,0.04043057260833411,0.0447022223924854,0.04853271562245669,0.05810485583494483,0.08878069963500711,0.09720977847608915
10,11000,65185247.22379488,0,1265716,2217794,2729572,2963956,3446972,4444528,4772230,2961737,1584707,2456517,1713093,1966811,1853827,2098346,2264829,0.0,0.019901025927551122,0.03535531473517257,0.04300424388269335,0.04688436122506289,0.054427517775843336,0.07045088463345905,0.07584549077576325
11,12000,71393360.31408483,3863,692721,1448374,1937001,2226747,2392902,2760371,2974193,2005297,1493748,1722319,1036932,1184221,1130548,1271711,1504793,5.567239976873463e-05,0.009910226638845266,0.020788752007746925,0.027531258286063776,0.03171591365104923,0.034056450648507854,0.03936546026799664,0.04255621647863717
12,13000,77601471.8515017,0,847433,1180031,1432367,1663088,1910131,3554098,4125234,3174434,2456120,2836763,2016681,2167048,2165254,2216326,2363085,0.0,0.011277251075683998,0.015783262158404008,0.018950465878963825,0.022046804563310683,0.025321139558721596,0.047145866202886716,0.05482884698394704
13,14000,83809581.70152545,0,1084444,1528101,1761462,2048147,2531897,5878971,6504237,3482337,2784876,3299987,2632390,2769518,2666932,2705084,2989719,0.0,0.013384115259792708,0.018980358871078087,0.02169897680713805,0.025273264931570467,0.03120303575632928,0.07248637457364372,0.08047819907861876
