,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629226323,225035,660852,660852,841884,841884,841884,954290,954290,922,0,0,0,922,0,894,2681,0.07251851331440706,0.2128991920382416,0.2128991920382416,0.271220217824752,0.27130080237823573,0.271220217824752,0.30752135286976906,0.3076985451916634
1,2000,9312181.820187576,1885605,3296681,3296681,3581022,3581022,3581022,3848900,3848900,7121,1787,1787,0,7121,1787,0,3575,0.2026429527369805,0.35408605796736575,0.35408605796736575,0.3845524141546312,0.38484670537895654,0.384626223609264,0.41331881983404734,0.41347755623890897
2,3000,15520302.80860154,2222205,3655151,3655151,4230826,4230826,4230826,4565206,4565206,436995,413648,415200,384759,395343,374611,375752,358016,0.14732875760400155,0.24195634614744774,0.24198120637210024,0.27952917011119344,0.27972477636561627,0.2793418784341848,0.30144215287039966,0.3010895426018565
3,4000,21728423.459526718,2819427,4881451,4881451,5854679,5854679,5854679,6398643,6398643,1198419,1001232,1009896,990600,1062657,1062440,1116049,1072989,0.13733202082631193,0.23550952426583424,0.23560800879965188,0.28231887552839724,0.28330325959437375,0.2833002848118064,0.31042726361118705,0.30978012166908514
4,5000,27936543.63784924,2493988,5057220,5057220,5758924,5758924,5758924,6373308,6373308,2098314,1665513,1670633,1830415,1961342,1945641,1953082,1897285,0.09652317650845052,0.19250177390124748,0.19253929816971713,0.2205966300055147,0.2217085387937278,0.22157460555500558,0.24528325320273012,0.2447576595263011
5,6000,34144663.20869033,2024318,4709473,4709473,5413872,5413872,5413872,6617455,6617455,987614,740875,771810,763725,875517,822437,843720,824295,0.06105241715747837,0.14098619505600815,0.1411168823519605,0.16218453676028083,0.162729514188309,0.16247029733529866,0.19871674380301294,0.1986008965613439
6,7000,40352782.03687003,1538620,3544076,3544076,4959523,4959523,4959523,5656592,5656592,1659235,1386114,1349743,1335458,1428845,1402884,1398931,1444855,0.0397642531591609,0.09095147669917829,0.09086666289387714,0.12711079302397624,0.12741575949273007,0.12733083396791714,0.14521265162322475,0.14538404975005956
7,8000,46560899.98757273,1385072,3332918,3332918,3793896,3793896,3793896,4453342,4453342,2805910,2393215,2450079,2284894,2427899,2368969,2246994,2267803,0.031655178081251706,0.07546055449674957,0.07555783196460972,0.08568740371624442,0.0859650582354078,0.08585042371348033,0.1004953614616794,0.10054257441626784
8,9000,52769016.92555019,653468,1703827,1703827,2217696,2217696,2217696,2674688,2674688,4176482,3516689,3648039,3638009,3686287,3613290,3686833,3615975,0.013447909251929216,0.034593836916206364,0.034686341191789614,0.045138418559630335,0.045182816916741426,0.04511571974835926,0.054494070680658244,0.05441551316500868
9,10000,58977132.716071665,137478,910402,910402,1385121,1385121,1385121,2034930,2034930,6475516,4824092,4843898,5462605,5484758,5501197,5296684,5120125,0.0026185479343137177,0.016811650610227116,0.016817801573747633,0.025883083699232867,0.025893802758841504,0.02590176275463873,0.0379082151634614,0.037783940963224905
