,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292267824,2111857,2477995,2543018,2580982,2589630,2598214,2607418,2619652,266096,260425,247146,237722,230425,219959,209885,183085,0.7441449333973503,0.8714179040842148,0.8901274031727935,0.9004455976285818,0.901168531480381,0.9008746341218815,0.9009190643681173,0.8968414435876185
1,2000,9312181.820187457,4294111,5169111,5393169,5551798,5612509,5665320,5736317,5777535,2759871,2773372,2768030,2745702,2723185,2689555,2676321,2612149,0.6553582572380393,0.790527808905109,0.8241203975988309,0.8454755290546998,0.8518002289520492,0.855449076902636,0.8644420302712067,0.8623144326386081
2,3000,15520302.808601279,5597537,7095272,7695708,8070807,8187319,8300033,8377112,8430197,6402574,6430140,6404302,6387960,6360354,6295823,6342430,6217716,0.6139179084510082,0.7805439956791889,0.8441978189316108,0.8837608452891766,0.8938171130729496,0.89978331268726,0.9127509363770192,0.9062207290777812
3,4000,21728423.4595272,5565619,7121530,8222250,8782373,8966442,9220127,9460176,9601208,10471281,10699491,10758897,10800942,10726475,10706113,10690753,10607554,0.49440779665088797,0.6457134474378035,0.7495537779444301,0.8036959872709762,0.814986730121923,0.8364967611695722,0.8570808518598615,0.8633504812678733
4,5000,27936543.637855135,6381791,8547358,10314434,11344610,11625545,11951686,12253752,12477266,12707810,12876019,12890846,12951286,12941570,12897002,12916931,12930756,0.419062487516121,0.5675338811581588,0.6855404281187184,0.7570513817087614,0.7752961279405693,0.7946841923637568,0.8158500685374459,0.831496906468513
5,6000,34144663.20868009,5105470,6974483,9698117,11219590,11810629,12289434,12796274,13093406,15526642,15566767,15536022,15572427,15565926,15557814,15553450,15562185,0.27422194565014935,0.375418342403126,0.5211620177552924,0.6041054977944071,0.6357067688369049,0.6611897402310022,0.6882968774746513,0.7046103244659755
6,7000,40352782.036874354,5238298,7451545,10337525,11733464,12307273,12965194,13505359,13866984,18963371,18973803,18937976,18982886,18880033,18892624,18881585,18963752,0.2449014603987654,0.3485454093550311,0.4827279304888272,0.5490650951110656,0.5731577721541465,0.6041518416463798,0.628998885195179,0.6483222463147481
7,8000,46560899.98755804,3828674,5512732,8273845,10129083,10915618,11745687,12542296,13126131,22364091,22444483,22523540,22531240,22472468,22471790,22461874,22505769,0.15823053370255138,0.22858835136430455,0.3442077251529544,0.42152419157177373,0.45314771860775527,0.48759323221433326,0.5204482540694964,0.5456686561710758
8,9000,52769016.92556414,3128910,4442514,6847539,8518784,9097474,10041337,10789400,11329409,26994536,27180308,27249848,27297314,27289250,27226562,27141762,27200245,0.1213956552233269,0.1736122761380021,0.26832923203625153,0.334441086443824,0.3570469865983115,0.3931234107787399,0.4210127082022028,0.4430955476853639
9,10000,58977132.71606991,1920045,2824379,5263201,7432402,8131500,9175226,10235383,10846666,33188891,33481974,33547274,33586860,33461837,33391005,33504999,33474002,0.07445428118519327,0.11078099302907103,0.2069693370602182,0.29272635560530685,0.3186911917653638,0.35860158683712445,0.4018266829976117,0.4253072346590512
