,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292261686,0,1831136,2227625,2383371,2458187,2484450,2525118,2576373,266812,264325,266812,252793,249788,251135,254969,265076,0.0,0.6448262229604053,0.7851356335336613,0.8358987334510035,0.8612306248637669,0.8708428900314116,0.8862887995939387,0.9074980447154624
1,2000,9312181.820187353,0,2873276,4510740,4908914,5269971,5529888,5772799,6100249,3755841,3709289,3755841,3382777,3143088,3099283,3114120,3191326,0.0,0.5128200899448799,0.811818451382884,0.8278932116908307,0.8542536640883756,0.8900656778816243,0.9313877737065718,0.9966333433113408
2,3000,15520302.808605662,829,2071626,3365072,3936996,4303059,4643260,5044256,5538127,9196330,9173225,9196330,8819845,8795833,8585972,8416463,8198748,0.00013108848268162963,0.32639051583568013,0.5321136098847248,0.5875711947538214,0.6399105241714591,0.6696046277800317,0.7100745703597283,0.7564140602335663
3,4000,21728423.459518787,0,1984778,2721249,3247141,3549064,3771863,4384430,4953918,12784628,12777995,12784628,12371114,12316374,12430489,12019750,11923149,0.0,0.22175228917551845,0.3042610950034422,0.3470165237184524,0.3770766415183558,0.4056667657125228,0.4515992857604375,0.5052299168628395
4,5000,27936543.637857154,0,3139722,4836760,5984861,6450112,6875183,7482448,7844744,13664066,13647481,13664066,12624720,12309215,12204245,12452995,12664193,0.0,0.21972903888612566,0.3388872011381328,0.3908653300579397,0.4127456553498609,0.43701071014861226,0.4832514932465464,0.5136566194698557
5,6000,34144663.20868941,6633,3911259,6122438,7531289,8161488,8679002,9528753,9971599,14601449,14374491,14594918,12382973,11681439,12012509,11888688,12701292,0.00033940169355820704,0.19783636473742597,0.3131722656558572,0.3460801494634258,0.36332665000258096,0.3921444753259715,0.4281435843925494,0.4650201175437961
6,7000,40352782.036869705,2487,2552771,6101634,8906226,10210310,11346076,12665828,13394313,19856263,19400053,19839568,16596636,15558189,15015592,14274202,16431294,0.00012133767668189489,0.12183477367115224,0.29744895115086034,0.3749019721539628,0.4117958292284616,0.4478032482485085,0.4856793576219697,0.5599280855503478
7,8000,46560899.98756915,0,2949259,6360111,9240800,10760109,12078545,14072526,15065494,25855437,25216415,25843824,21778343,20796636,20522664,17895691,19015305,0.0,0.13817428725582384,0.3069984878086199,0.3728751639564535,0.4176369643313537,0.46387723829549693,0.4909270330491098,0.5469293368612584
8,9000,52769016.92555404,0,3347657,7334343,10401880,11862420,13234194,15719240,16887043,28772609,27828518,28765142,24834463,24303386,24689347,22615348,22548920,0.0,0.13422574303716076,0.305548292629704,0.37236606776400116,0.4167278087397291,0.47130874526257016,0.5213043904809397,0.5588017484391441
9,10000,58977132.716067195,855,2823408,4864877,7183034,8838910,10416868,12904650,14043608,30642545,28920309,30632590,27330169,26263687,26981823,25676241,25937214,3.0175134664661812e-05,0.09393567419736096,0.1716336385713617,0.22697387542278397,0.27019195949935576,0.3255748449520064,0.3875166500053119,0.42504971397434593
10,11000,65185247.22378731,803,1378680,2998122,5228004,6996503,8441126,10206597,11045931,38063514,36385617,38054388,35399763,34018141,34868614,34456277,33303193,2.9607252360100762e-05,0.04787144797648364,0.11050597311608032,0.17552187369929703,0.22448356128295738,0.27843217080506316,0.33214900875848646,0.3464623365378569
11,12000,71393360.31408727,0,912282,1704808,2703081,4041592,5311238,7736479,8694294,44165971,42060570,44020921,38990351,38791773,40653746,39213899,36590124,0.0,0.031101098471421944,0.06228191723938238,0.083420677807997,0.12396917858823434,0.1727815432468188,0.2404166721278577,0.2498128025088523
12,13000,77601471.85151082,0,355860,763605,1489660,2508019,3921082,6329501,7219124,50026945,47518081,50017656,47218572,45624499,46464576,45538161,43580822,0.0,0.011829118657417845,0.027683080691614164,0.04902955304728508,0.07843203331492034,0.12593040805028552,0.19740634488162204,0.2121982981368419
