,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292268336,76802,415603,605311,806729,1010947,1386075,1673691,1815119,19136,7540,6120,5144,5504,6774,892,1784,0.024895908079040713,0.13421612505251462,0.1953914139894508,0.26032613862260484,0.32626384506396977,0.44751266702946435,0.5393490331903125,0.5850925681158143
1,2000,9312181.820187083,206573,795659,1086275,1465329,1962710,2913645,3622935,3935257,26368,12089,10833,11809,15017,9286,0,2677,0.022246084618982608,0.08555387729818317,0.11678682533036658,0.1575559419316401,0.21110844412893878,0.31319763827489644,0.3890532927682049,0.42271389037434515
2,3000,15520302.80860248,344951,1064795,1421847,1933268,2431797,3442348,4443281,4818029,18737,8923,8922,11599,12492,8923,892,892,0.02225265526457798,0.06864605297134647,0.09166476005872125,0.12465696836170415,0.15681110828686634,0.22192403528736385,0.2863047479571241,0.3104517986810005
3,4000,21728423.45952714,273145,566855,867459,1486008,2107212,3324850,4501026,4869664,29332,4461,13272,13383,17733,20409,0,3569,0.012587854220047254,0.026093536161097684,0.039947177049019275,0.06843220038063696,0.09705872799984157,0.15316232657753742,0.20714922131299227,0.22415174329807652
4,5000,27936543.63784837,216321,409945,630787,1080165,1388372,2053422,2958249,3281526,88878,18055,32442,66418,55823,59392,9815,15169,0.007768011969591929,0.014683638692541839,0.022605529759984016,0.03875709116047569,0.049796847722625596,0.07365967752645508,0.10592894851245706,0.11752737974267859
5,6000,34144663.20869289,117215,342819,668625,1048135,1449756,2144834,2875851,3152571,81332,17621,24410,38867,36190,35826,24092,12183,0.003441090340867395,0.01004537685696877,0.019596132417612096,0.03073187306891991,0.042504277196157667,0.06288206152783693,0.08428496060075688,0.09236278702058985
6,7000,40352782.03686732,269597,758937,1160024,2066216,2782162,3842227,4795359,5147001,84947,27744,49228,31603,27520,27884,4461,23506,0.0066950954714394195,0.018820490616924875,0.02878217635444453,0.051243938033428374,0.06899302966602949,0.09528175363238903,0.11884903452657558,0.12762443330980772
7,8000,46560899.98756975,256964,443575,786361,1340286,1950721,2953744,3832498,4176587,64342,29501,30673,26351,20620,22446,1616,16271,0.005526516609437972,0.009532810309840356,0.01690000352265789,0.028801955303317014,0.04191468122927086,0.06346888963670633,0.0823143672274511,0.08973295288518474
8,9000,52769016.925548285,290643,669216,1240339,1949986,2503166,3582730,4494934,4968557,84123,41952,39345,15029,31534,8740,1701,1575,0.005516628740122785,0.012692077606537495,0.02352260036344049,0.03696376476318749,0.04746464679654553,0.06790582250081259,0.08518405609908412,0.09415951993675073
9,10000,58977132.7160722,239735,930269,1558018,2305373,2856931,3875919,4872127,5388744,141855,58358,72564,79784,57734,43010,4713,16952,0.00407468119989023,0.015789007909328363,0.026449866860240544,0.03914222032495154,0.048488801010467174,0.06576697541886001,0.08261704409378613,0.09139632773430525
