,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292274687,102811,317553,411885,575806,784987,1351869,2119008,2598931,11809,5905,11153,15090,15090,7217,19026,15746,0.03324794108870276,0.10249743331298772,0.13317080539611156,0.18640708155389787,0.2541257571608313,0.43653124337350996,0.6868668441918353,0.8415369908894657
1,2000,9312181.820188247,691399,1677438,2211491,3029013,3564602,4127708,5025478,6571142,0,0,0,38327,42263,35702,42367,97998,0.0742467247043103,0.1801337250915157,0.23748365771871222,0.32661854846014454,0.38453432755386446,0.44496490910452247,0.5421335913911973,0.713155080062832
2,3000,15520302.80859807,1730643,3415463,4231094,5076044,5731466,6544952,8155035,9844972,9842,13778,10500,16128,22032,20719,30456,94876,0.11157908339129649,0.22025973209072555,0.2728012762131596,0.3273985273427777,0.3698132566389484,0.4222663060390902,0.5264761556888555,0.638230119798854
3,4000,21728423.459532678,2565452,4432346,5037766,5785503,6610913,8089249,10531901,12661067,12462,22307,22962,24391,21654,19030,33143,48884,0.11813669888762125,0.20419801986520006,0.23209670107186303,0.2665635066104472,0.30455536059036975,0.3726151545909718,0.4854466398645883,0.5840099612647823
4,5000,27936543.637849644,3337395,5001572,5395538,6038094,6554143,7403598,10493137,12800333,2717,5997,6656,13246,12756,12755,35383,59714,0.11947503803427749,0.17907175483712867,0.19318151472575737,0.21623857175863953,0.23471540053957815,0.2651358702079811,0.37608245535726614,0.4591746323484506
5,6000,34144663.20869203,2068667,4546297,5449829,6391701,7160925,8114875,10735334,12997992,54911,82753,76850,78279,80869,58937,92024,91977,0.06068295795569151,0.1334715807817455,0.15997002703447769,0.1876248726851721,0.2102210034539474,0.23807252778820556,0.31525703291919227,0.38170239846400816
6,7000,40352782.036857724,268029,2071270,2662153,3665928,4671400,5923584,8930275,11679341,97535,110363,120610,126911,151814,138249,145230,145840,0.00665823761445539,0.051469818404876196,0.0661697558252916,0.09113358904375304,0.11620118191475112,0.14729958432119236,0.2221044193840435,0.29048070826409883
7,8000,46560899.98756832,99899,1254561,1626804,2216023,2738651,3448186,5608847,7430125,34433,29213,32134,69540,70849,61742,66829,78276,0.0021471434748461045,0.026961433836155048,0.03496340307917588,0.047665265128672495,0.058908324293564004,0.07415588043383242,0.12063574733001343,0.15984736580248077
8,9000,52769016.92555678,122341,1394993,1706666,2121465,2730187,3469233,5458443,7342487,163414,187846,152968,155734,163113,151455,180642,213226,0.0023256268001172263,0.02653027643631214,0.032436224970344256,0.04032185186014126,0.051898870588052606,0.06593298649808715,0.10379562037668744,0.1397084292842314
9,10000,58977132.71607247,34099,797257,1079549,1377367,1667065,2238359,3515719,5397004,600851,637954,601912,643089,657182,636685,685032,711066,0.0005841242195905684,0.013665893444954435,0.01849327483061263,0.023611718171022342,0.028584814965225466,0.03836718927652906,0.060312099869659276,0.0926268805186271
