,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629226656,29251,327461,2121543,2583197,2662640,2733017,2782221,2853112,0,0,0,0,0,0,0,0,0.009423462842376109,0.1054943956045032,0.6834734412157922,0.8321992733252689,0.8577925234222531,0.8804650831452677,0.8963165776478924,0.919154726920016
1,2000,9312181.820186587,137182,1376936,5439773,6959781,7435222,7754697,8066542,8421991,4432,4432,4432,3546,886,3546,4432,5319,0.014738470914042035,0.14793435863668253,0.5844348102483649,0.7476692755459515,0.7985163551436826,0.8330648174228994,0.8666479176852536,0.9049226536070458
2,3000,15520302.80860135,200711,2727027,6073875,8534639,9505019,10235710,11340255,12098252,91432,91432,87000,69272,36589,48291,59523,65480,0.013008793870262159,0.17674832032942592,0.3935563939440678,0.5523669653968264,0.6138720411326559,0.6615629645725623,0.7334853183596235,0.7828140218642133
3,4000,21728423.459529508,224250,2970033,4548261,6368522,7241270,8065192,10020850,11084583,211285,211285,208848,174461,116043,113830,139381,149086,0.01042192484943016,0.13803104002821676,0.21135458775911375,0.29546873397212997,0.33505193995449584,0.37313641892460364,0.46416370799144674,0.5136665118096576
4,5000,27936543.637853853,82575,2548562,3557898,5149825,5739138,6311444,8137762,9148716,259377,259377,237882,210930,116961,171885,126407,150631,0.002983506262778459,0.09208175220198844,0.12845017735938785,0.18574250753350074,0.20629849393178196,0.22731934443433377,0.29261855509631907,0.32925735135063877
5,6000,34144663.20868766,87962,2369919,3196624,4671068,5096712,5534773,7078507,7830983,181938,181938,166870,141345,95420,98799,108759,123104,0.002589957062029266,0.0697800010287094,0.09407980030859292,0.13737094630978006,0.1496864987207579,0.1625681453134523,0.20797176289482008,0.2301770754234068
6,7000,40352782.03686325,68180,2380010,2821313,4139554,4446966,4820814,6334262,7033337,169884,169884,166338,114463,67855,77127,88261,99439,0.0016967417317051792,0.0592294263548789,0.07020558966132942,0.10287591775908082,0.11038783801024997,0.11969548342758511,0.1573162138002539,0.1747267796753925
7,8000,46560899.987574846,72998,1982047,2249362,3255471,3451844,3708846,5194408,5767155,123596,123596,117461,87725,56523,73872,78542,84662,0.0015719689502114928,0.042682215154659565,0.048432287725329266,0.07005053992696623,0.07422621747888962,0.07978238576557978,0.11175009670095722,0.12408824917244411
8,9000,52769016.92554924,44694,1605253,2002783,2694565,2861150,3019095,3982030,4445920,176806,176806,165116,122641,61147,89815,85079,76464,0.0008498216601555289,0.0305226377014732,0.03807289886798616,0.05118234546306786,0.05428316500062368,0.057310947957542026,0.0755833780995498,0.08437473140240069
9,10000,58977132.71607345,63786,1760031,1917278,2530057,2689665,2906227,3960698,4573787,202216,202216,158885,89852,84415,104930,67806,79354,0.0010852588751105135,0.029945274248575432,0.0325966528152123,0.042964405373016545,0.045670587201750344,0.04936501210963751,0.06723380185771705,0.07765635818030935
10,11000,65185247.22379339,42963,1033286,1118386,1624050,1707890,1826398,2479567,2808959,259074,259074,237802,100721,76390,152727,65237,86495,0.0006617208109880627,0.015914783648781773,0.017219861322432452,0.024952935731846582,0.026231300514607536,0.02808437984126867,0.03807688284259547,0.04314919877947114
11,12000,71393360.31408727,29706,1156505,1250905,1760943,1843325,1958591,2792985,3110928,561530,420914,491634,413722,386524,400714,384190,415316,0.0004193877225574386,0.01629512663100139,0.017642800324192687,0.024809128953401656,0.025959824373055426,0.027588646172376184,0.03933273671056975,0.043829440921670515
12,13000,77601471.8515032,54597,871391,969768,1326585,1409881,1510503,2200693,2514831,1636201,473368,1050729,1187020,1163203,1228885,1242535,1409888,0.0007187100024526489,0.011297969954994777,0.0126683029305307,0.017360394112071405,0.018444700817845303,0.019778078264351337,0.028820372450702573,0.03300667702224679
13,14000,83809581.70150119,48930,1320399,1489713,2039057,2165373,2352208,3312897,3854281,1709098,880477,1021432,1217064,1272316,1397775,1355430,1319763,0.0005959770003048755,0.01592202164430334,0.017994278231501376,0.024688156466780506,0.026235094918592827,0.028542123927943846,0.04017865603654842,0.04672432380954982
14,15000,90017689.72858238,27477,1206259,1386055,1772284,1842578,1967731,2591609,2937827,788299,788299,603062,467072,326541,499455,271746,260832,0.000307936653782378,0.013518628673249536,0.015501434555063658,0.019790862921477425,0.020543587925001293,0.021981342750626437,0.028877171405515253,0.032730947521400044
15,16000,96225795.79822826,20443,850896,917225,1124962,1177192,1253841,1790313,2000911,1021999,1021999,382350,331326,539904,799133,774430,917017,0.00021472883107095201,0.008937626739859551,0.009570033635173784,0.011731250012300342,0.012302670517847409,0.013139315189625172,0.018756284784698506,0.020993984239751858
16,17000,102433899.77494216,37171,664161,705142,928584,961398,1046803,1564819,1693349,370573,370573,316388,212788,116721,142114,148845,156123,0.00036419545761000956,0.006507342264715008,0.006905201544217703,0.009084072593971017,0.009396252042041739,0.010233500100419885,0.015298608417848256,0.016556372785909705
17,18000,108642001.52416766,2658,458465,474376,694808,740207,810875,1216491,1319134,353166,353166,312390,169472,147862,184960,96349,182213,2.454546664145071e-05,0.004233723613157525,0.004379005826067877,0.0064053821096261695,0.006822552842452056,0.0074764624648120375,0.011207183076532233,0.012162424599473221
18,19000,114850100.91037655,7090,578234,673472,961902,1046543,1150045,1593518,1781641,1159542,1159542,974802,758007,662811,719370,690458,749302,6.236225829085e-05,0.005086033576946595,0.0059141183948069696,0.008430925991730932,0.00916514439410386,0.010076558616829467,0.013958680663104607,0.015614623359468643
19,20000,121058197.79922152,19994,1083378,1167783,1661919,1739523,1866719,2478555,2714210,702352,700110,515215,349082,163162,346681,287101,400439,0.00016612404546891834,0.009001289566906923,0.009687689593222358,0.013767965981660501,0.014388704949713092,0.015464299095047398,0.020522749777792667,0.022495113675337984
20,21000,127266292.0549488,22543,843764,907984,1189789,1220585,1289012,1789553,2055260,523472,521283,430103,248367,185866,286160,100009,276636,0.00017786411877395957,0.006657177322336977,0.007158713981911245,0.009367095230734476,0.00960482300769299,0.010151288860230503,0.014072543106624659,0.016184467805083928
21,22000,133474383.54324341,11020,545511,577751,781078,827685,886121,1308360,1480931,684867,684866,577957,309091,263922,361544,243831,371358,8.2988478961826e-05,0.004108087822687904,0.004347377992229193,0.0058654772957927965,0.006213363353082543,0.006656916064900954,0.0098202700133315,0.01112620088052668
22,23000,139682472.12843513,27058,615291,643258,823342,852969,891155,1195544,1337894,1359286,1359287,1241115,693815,716579,677161,575520,840456,0.00019561434895575818,0.004448213070200004,0.0046464294582379394,0.0059238071437669555,0.006137973720009618,0.006410942091101899,0.008594423080279799,0.009636088824598942
23,24000,145890557.6761682,9719,450577,455007,597525,620570,645389,949262,1080801,1006978,1006978,653391,609450,352205,589493,547509,636910,6.70814458182432e-05,0.0031099245408423262,0.0031328551114916618,0.004112888520452942,0.004263961963213961,0.004441736207772292,0.00653118266505476,0.007440783879035949
24,25000,152098640.05077362,31045,1237543,1282749,1631557,1665224,1718706,2296875,2505987,824474,824474,627349,573978,227744,604038,657988,610036,0.0002052234086656942,0.008180795388319189,0.008468594880927098,0.010767600322733537,0.010964734147899415,0.011344998282011218,0.01516683247791303,0.016542412650129654
25,26000,158306719.11792994,102752,2020581,2135874,2548147,2621150,2722791,3416110,3733493,884532,875667,742632,717917,321361,725907,756755,751828,0.000652716125224618,0.01283470429001773,0.013555588961089783,0.016169594322400654,0.016591094461066533,0.017278696329869937,0.021682708841767553,0.02369645888813111
26,27000,164514794.74180746,141730,2071155,2346682,2837492,3011804,3197047,4104470,4506933,2538105,2403011,2102789,2190927,1258760,2291105,2363395,2401394,0.0008750024477344185,0.012776091609100369,0.014448944148443124,0.01748043611499769,0.018448347130096757,0.01970764569027105,0.025312578285081218,0.027801113167553865
27,28000,170722866.78811455,83945,2363748,2540436,2962056,3126554,3264532,4107044,4614119,1817370,1804367,1561468,1607912,989153,1606578,1657384,1699767,0.0004969938906446945,0.013993422881241563,0.015017823322577619,0.017515044744039244,0.018420347556308135,0.019303474688296438,0.024292622788929977,0.02729874795684263
28,29000,176930935.1217885,77096,1707012,1838752,2203425,2311248,2440129,3115690,3547450,3676490,3650509,3134658,3338154,2339029,3431388,3487758,3560623,0.00044498713984397737,0.009851153059839792,0.01057992743257375,0.0126930681435084,0.013238001986115917,0.014064180803233708,0.017963750732104163,0.020461692411951136
29,30000,183138999.6070819,26527,1257539,1388622,1596047,1666934,1750834,2129116,2347593,4925431,4860603,4185569,4480795,3055986,4642641,4764446,4790319,0.00014884949674334654,0.007053793527050634,0.0077596835963928525,0.008933521992511581,0.009256475481008091,0.009808793936542161,0.011936209268335173,0.0131629401014295
