,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292283437,348923,564070,726129,782812,798219,799703,808417,821970,435970,457890,441056,523023,477026,658787,653003,643359,0.13077629229593088,0.21316463638797542,0.272672826787541,0.30329352471859866,0.3038479170084127,0.32704029129548284,0.3298237423550545,0.33403887339960153
1,2000,9312181.820184335,2382237,3721589,4607072,5020001,5174552,5345485,5545977,5696417,534759,552901,501484,515218,529616,552310,557353,572189,0.2714050637417021,0.42487380829533455,0.5228952455327326,0.570651545534583,0.5891845396828911,0.6102241116911131,0.6334763493277791,0.6517644942275659
2,3000,15520302.808602793,2321566,3494473,4539697,4950753,5580180,5748973,6164779,6488525,473346,593492,549157,650751,661459,682299,692187,704379,0.15428807495962849,0.2341071408224739,0.30322976330852225,0.3329456774302866,0.3755460432775567,0.38744921986519876,0.4157493156631131,0.43794265439138325
3,4000,21728423.45952862,3163468,4624673,5436707,5919756,6135543,6469323,6738604,6911822,427563,1073626,1096727,855468,860563,1229341,1124754,1003133,0.14851362488433512,0.2239030912339696,0.2635123587953472,0.2836089029882732,0.2940187860609546,0.3155908569455436,0.32705844040240045,0.3334969907175527
4,5000,27936543.63784741,1437088,2812415,3506352,3924265,4187464,4669065,5637954,6066514,862366,1182323,1306771,918460,936571,1394424,1088498,1011923,0.05307965468879367,0.10512042335561307,0.13167036939010954,0.14524586764187894,0.155091416430926,0.1759115347118775,0.2099949499509281,0.2253147437655044
5,6000,34144663.208691865,538944,1133742,1441346,1670901,1975132,2343019,3368180,3842655,1655535,2036956,1966954,1690791,1638803,2385722,2139171,1935663,0.01658844141763753,0.03531058734997699,0.04479330677805562,0.051485412565114366,0.060762336000936286,0.07377509799850496,0.1052375629169449,0.11930376525512355
6,7000,40352782.03686851,486240,919096,1039584,1675052,1967885,2097207,2718833,3012284,726536,1103177,909233,793648,789147,1389376,1230084,1121987,0.012270655149811547,0.023416694235181765,0.026356249003564165,0.042342989571988024,0.0497397420172886,0.053825042862411736,0.06949502811482536,0.07678365929543617
7,8000,46560899.987559825,164570,240819,296369,472434,524028,556955,1049250,1484001,4004901,4271004,4058745,4135010,3955242,4400434,4268129,4186316,0.003867139860777511,0.005694480782616263,0.006973034663459906,0.011135511833423593,0.012299493183581577,0.013210361578174663,0.024809204398279574,0.03502101638179309
8,9000,52769016.92555168,222145,271310,304797,385478,397352,405516,630705,870955,9867492,9889065,9829251,9889142,9823476,10079222,10004795,9962089,0.005178021070008466,0.006327199257850133,0.007098245494128972,0.008989718385822474,0.009252462338030164,0.009499132069085701,0.014748426876513633,0.02034612251350376
9,10000,58977132.71607694,278325,364975,376106,399988,405183,407409,436999,460108,14311535,14303170,14355455,14426845,14391219,14483198,14485654,14492099,0.006231305842344514,0.00816974760711468,0.008428773171486806,0.008978348300445558,0.009087690847387473,0.009156506445198505,0.00982208307322658,0.010342984180626045
10,11000,65185247.22380459,5744,10232,10232,12459,12459,12459,13201,13305,17824746,17921192,17864471,17936799,17897862,17998497,17967701,17975769,0.00012128250021798586,0.00021648586756996345,0.0002162263770063184,0.00026369119978257696,0.0002634740732868458,0.0002640359834255916,0.00027957827239537394,0.00028182899918794644
11,12000,71393360.31408173,1484,5938,5938,14324,14324,14324,32016,33432,21925685,21931197,21864567,22000421,21951744,22069602,22068983,22068496,2.999938829908097e-05,0.00012005136051761548,0.00011988985805377463,0.00029000096367855324,0.0002897154475898537,0.0002904077160703822,0.0006490908095226917,0.000677792031765519
12,13000,77601471.85151643,45228,72286,72286,154915,203196,239930,355072,459253,25223118,25289901,25294562,25243869,25195308,25427724,25320518,25283484,0.0008634864724503095,0.0013818357740619167,0.0013819589076318635,0.0029587871018337355,0.0038773301662705143,0.004598672893556112,0.0067916128884802475,0.008778108999593123
13,14000,83809581.70149887,94017,190224,191709,392686,518595,557791,684319,765524,28609251,28668759,28631999,28662799,28632167,28742372,28693459,28701621,0.001703196317942478,0.0034497853075164445,0.00347440012073585,0.007120741786978753,0.009398682464655464,0.010129276624394092,0.012415949570802994,0.013891350546368135
14,15000,90017689.72858155,38043,79633,79633,102589,115541,121299,162693,197091,31998364,32106996,32047905,32044376,32014166,32277112,32191912,32143002,0.0006556953139712069,0.0013751000872693313,0.0013736983908573595,0.0017695900648408576,0.001991965187160975,0.0021007583361944276,0.00281350301527524,0.0034054784178587654
15,16000,96225795.7982378,18006,24692,24692,26839,26839,36497,46896,51352,35338869,35662617,35361292,35375386,35353639,35943239,35810552,35559687,0.0002957285076920836,0.0004077064726450333,0.0004056880194382674,0.0004410652301108619,0.0004409076564998099,0.0006054321836771677,0.0007762279360588771,0.0008464693222831468
16,17000,102433899.77491176,0,4951,4951,6425,7910,7910,8651,48701,38916320,39168130,38917959,38877658,38862969,39229363,38978538,38956014,0.0,7.825716841215665e-05,7.794893596153112e-05,0.00010109156584107855,0.00012442794062599564,0.00012514924408305725,0.00013633205702438106,0.0007672120677221421
17,18000,108642001.5241704,7631,27581,29806,35015,35015,35756,130445,177097,42020770,42137558,42089937,42133646,42087238,42190840,42137733,42039600,0.00011454306420666283,0.0004147241678667073,0.00044785988553630894,0.0005264752033641079,0.0005261080972406093,0.0005380793831119778,0.001961453044966443,0.002659018232784451
18,19000,114850100.91041553,6478,26846,27587,30554,32037,32038,152439,188110,45033835,45096805,45087036,45129404,45116484,45188649,45176713,45177421,9.278640035421288e-05,0.00038487070251817833,0.0003954384750071567,0.0004382342884388977,0.00045941973784547664,0.00045991002371298254,0.002187908533972865,0.0026999104992354254
19,20000,121058197.79919815,111025,182967,184010,186239,186239,186309,285344,391298,48309766,48390252,48357683,48367874,48323247,48533237,48446924,48460372,0.0015261497362094854,0.0025178501743476963,0.0025310687346333555,0.002562087913027764,0.0025605159273999695,0.0025688948735296644,0.003929747889964038,0.005389941030497389
20,21000,127266292.0549388,103647,173432,182049,190221,191708,196838,356356,431694,51271461,51430584,51386394,51384681,51369113,51603972,51549952,51494550,0.0013638690758463648,0.002286943768947975,0.002399172964995187,0.0025068128806896143,0.002525890980233015,0.002601532702897227,0.004706460979775735,0.0056972954335271515
21,22000,133474383.54325986,127435,268431,357726,378538,382996,396374,449394,507875,54236275,54312886,54313472,54285348,54291383,54370470,54313155,54322980,0.001608253936682842,0.003390928776370216,0.004518972723103496,0.004780181970939777,0.004836846259580157,0.005010801390796341,0.005676945750714519,0.0064165002421267625
22,23000,139682472.12838268,196748,319209,378564,399374,411267,421673,468248,506517,57140045,57265625,57410083,57239439,57231422,57534422,57247142,57276532,0.002383598433493932,0.003873103753929831,0.004601349298478089,0.004844241955267259,0.004988014092720776,0.005133085926458396,0.005680185901733668,0.006146607868448342
23,24000,145890557.6762073,48952,140196,170660,179580,180322,189986,228624,264849,60278465,60949505,61279881,60360661,60488603,62784653,60880877,60724941,0.0005717883825727857,0.0016505093306816302,0.0020170031336954187,0.0020996167068906978,0.002111450501146868,0.002286071016737175,0.002689387822438766,0.003109811333920521
24,25000,152098640.05077338,99598,285672,317580,341011,348433,419784,524839,562009,63165799,63969181,64738179,63281975,63601004,65660107,63267232,63317418,0.0011199237404676827,0.0032415040677308353,0.0036352830122476617,0.0038394934081915364,0.003937201212923868,0.004856445212384873,0.0059082593816369286,0.0063302688002941756
25,26000,158306719.11789846,586313,1332692,1442726,1548697,1630175,1683185,1844543,1991110,66045771,66160919,66106539,66087339,66090355,66210503,66092468,66132516,0.006354942280137443,0.014462862097836806,0.015647756849879832,0.016793617545683547,0.01767771930278908,0.018276375197057427,0.020002797589731558,0.021601597113383286
26,27000,164514794.74183893,239862,457828,551101,646021,681120,715050,885990,1155549,69000716,69116212,69100495,69123438,69058868,69223450,69065598,69052341,0.0025112737636125153,0.00479910693473238,0.0057758742818540395,0.006772322169065589,0.00713543960284512,0.007503829460453062,0.009282320126761608,0.012104748565598102
27,28000,170722866.78810883,311956,513233,773426,870508,974214,1089813,1880259,2198148,62970890,63432831,63541653,63016806,63048486,63678300,63102145,63120923,0.0028951301804277106,0.004783603586577261,0.007216059350932704,0.00808225640813806,0.009047778987623292,0.010180927745331051,0.017471161396798517,0.020428515718346335
28,29000,176930935.1218047,665414,940659,1491959,1736910,1900428,2104827,2840087,3359889,51231439,52129450,52052385,51549177,51496135,52534211,51592376,51590426,0.005293688682373108,0.00753724203747999,0.01194727996557267,0.01385297212304714,0.015150723707891035,0.016920276758566652,0.02265932383377718,0.026806090253988772
29,30000,183138999.60707998,1612052,2511768,2990372,3200029,3597491,4043567,4476007,4751078,48660488,49592065,49631044,49761117,49557368,51527517,49270116,49352770,0.011987431900719589,0.01880812919734991,0.02239845548081645,0.023992201236444997,0.02693103053705573,0.03072351226428991,0.03343575354775929,0.035512459047194585
