,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292271824,4733,237552,243863,265716,274394,280607,300304,303459,0,0,0,0,0,0,789,789,0.0015247769181552277,0.07652943301534136,0.07856257629243361,0.08560270939880298,0.08839840221430077,0.09039997394311937,0.09677013032687237,0.09778679930624422
1,2000,9312181.820186255,789,1073716,1113082,1427649,1457243,1483977,1555618,1576621,0,0,0,0,0,0,0,0,8.472772710361652e-05,0.1153023019452303,0.11952966785798186,0.15330982873479215,0.15648781651160387,0.15935867970094236,0.16705193584470687,0.16930736861068565
2,3000,15520302.808602527,13486,1396680,1449187,1683857,1915179,2026287,2124188,2152018,1578,1578,1578,0,789,0,0,0,0.000869014701035505,0.08999966280900706,0.09338312379872019,0.10849382391345348,0.12340457462903308,0.13055718209807596,0.1368651131486052,0.13865824826608336
3,4000,21728423.459525075,7819,1255474,1301642,1507713,1702639,1812506,1882587,1922051,257828,41032,253884,0,0,2367,4734,4734,0.00036417248020623617,0.057889580789053235,0.06061326728115951,0.06938897351703927,0.07835998792878897,0.08342544830336047,0.08666055568081929,0.08847719000868189
4,5000,27936543.63785407,21307,746643,762419,883606,1129041,1308254,1385443,1404425,53868,2367,54657,1578,1578,0,0,0,0.0007641662613997201,0.026728656071724397,0.02734459866015292,0.03163082466092761,0.040416767095287236,0.04682948674535791,0.04959249855528735,0.05027196700514524
5,6000,34144663.208693534,789,999702,1011536,1080941,1110852,1161222,1200599,1210068,3944,7099,7099,3944,0,4732,789,1578,2.3110233711745897e-05,0.02928451467387981,0.029631170924093068,0.03166134238099914,0.03253369328057004,0.03401360104979654,0.03516293999508438,0.035441085438052085
6,7000,40352782.036866456,30770,384959,388003,402361,403939,407094,447317,451976,190676,215964,192288,1576,789,202776,51298,789,0.0007661450814296179,0.009591168877572895,0.009661310432182975,0.009971473953774445,0.010010385351498067,0.010139325997266326,0.011099268691713916,0.011200834605296073
7,8000,46560899.98757443,3946,694776,699620,772983,774560,778506,818342,819993,48358,93819,63948,22102,0,80469,25265,0,8.483733271456444e-05,0.014952004413313314,0.01504657768076846,0.016609431988475115,0.016635417275153715,0.01674911319579023,0.017585276320361956,0.017611193087307787
8,9000,52769016.92553958,0,197895,201049,234713,237080,243390,256797,257587,77569,125108,125069,84452,7890,25358,14200,6228,0.0,0.0037591243514972636,0.003819033486705192,0.004455061939521106,0.004493459746123029,0.004614583154794092,0.004867745069847448,0.004881982269047879
9,10000,58977132.71606901,0,32221,33799,80467,81256,81256,90718,91506,61369,305375,292475,221536,209417,163766,81144,78074,0.0,0.0005491739340063323,0.0005759426963607418,0.0013695205988435337,0.0013826639169128357,0.0013815906916581804,0.0015403086352339095,0.0015536071712303114
10,11000,65185247.223795176,25235,210990,215894,352152,387657,410114,446649,450592,5519,100098,85336,53187,29782,28712,14364,4895,0.00038716025193224807,0.0032417533418339604,0.0033163486084922173,0.005406738229836398,0.005949723460165323,0.006294288034060877,0.0068535053985108434,0.006913003453140345
11,12000,71393360.31408769,0,205647,219669,442496,482685,499652,535443,547269,53645,106646,73498,790,23651,99560,74181,26057,0.0,0.0028847871862058877,0.003080053618620197,0.006198067922940205,0.006763163317308379,0.007008351326465459,0.007507699964436268,0.007668343549306714
12,13000,77601471.85150385,0,26201,31820,81274,82062,82062,91277,92066,134569,133005,117836,22092,0,41967,3153,3155,0.0,0.0003382150320623181,0.0004106673576983729,0.0010476237391374885,0.00105747994261026,0.0010580521388979555,0.001176275483167005,0.0011864432597962435
13,14000,83809581.7015084,0,15601,19446,39948,39948,39948,40418,41206,120849,132658,132113,0,5603,67374,0,0,0.0,0.00018644327862304968,0.00023239230705421015,0.0004766519434767805,0.00047668381166347855,0.0004770354292830572,0.0004822598941485059,0.0004916621603811009
14,15000,90017689.72859693,0,13250,13250,13250,13250,13250,14038,14039,79536,80324,80324,0,2278,9657,10253,1576,0.0,0.0001473247508714497,0.0001473247508714497,0.00014719329100700885,0.0001471970159948801,0.00014720908343761937,0.00015596489034933137,0.00015596096541479546
15,16000,96225795.79823446,0,3304,3303,3303,3304,3303,3303,3303,79343,85682,85682,0,22095,0,0,0,0.0,3.436650810434838e-05,3.435610661884464e-05,3.43255150305611e-05,3.434379314502042e-05,3.43255150305611e-05,3.43255150305611e-05,3.43255150305611e-05
16,17000,102433899.77490556,0,0,0,0,0,0,0,0,172945,202865,202865,0,7851,74228,5525,4734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,18000,108642001.52416074,0,0,0,0,0,0,0,0,75939,81760,81760,12604,2369,26658,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,19000,114850100.91039109,0,6310,9465,14987,15775,16564,16565,17353,89594,108245,108245,0,3158,1576,789,32294,0.0,5.4993009742912504e-05,8.248951461436875e-05,0.00013049183136280596,0.00013735672539676034,0.00014422475180176516,0.00014423247056912725,0.00015113509364921986
19,20000,121058197.79923224,0,789,1578,2366,3155,3156,3944,3944,2363,22077,22077,789,0,16554,21515,29162,0.0,6.518715196670486e-06,1.3037430393340973e-05,1.9544446089407832e-05,2.6061845107196937e-05,2.6073671018833423e-05,3.258516268610938e-05,3.25872215204826e-05
20,21000,127266292.05494547,0,0,0,0,0,0,0,0,67747,280050,255568,790,3945,137407,361705,112775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,22000,133474383.5432167,0,16541,16542,18905,18905,18904,18904,18904,6473,149507,149507,15780,1577,57627,110293,92553,0.0,0.00012406536896089534,0.00012407286943661995,0.00014165441191566316,0.0001416393383013102,0.00014169134739740557,0.00014174730186364634,0.00014172844924237985
22,23000,139682472.1284628,0,18964,18964,39074,39074,39075,40655,40655,8671,193277,191697,0,19747,52459,171630,192315,0.0,0.0001359531824851027,0.00013595164255511,0.0002797344534686108,0.00027977400529783053,0.00027984671149497144,0.00029141104289632575,0.00029145425624948557
23,24000,145890557.67619276,0,178571,178571,317288,319659,319658,326771,327561,3505,66747,66747,8690,4727,28072,27155,17554,0.0,0.001224566819176901,0.001224566819176901,0.002174965299349399,0.0021911586513807023,0.0021915024861815695,0.0022402535111936905,0.0022455217329117056
24,25000,152098640.0507207,0,366540,366540,368121,370491,371282,372862,372862,9888,284424,244126,11043,101494,172900,197586,62845,0.0,0.002414398397825537,0.002413757683077979,0.0024204537854407215,0.002437486555677624,0.0024438386798448166,0.002454637344883065,0.002452461934214962
25,26000,158306719.1179409,0,27010,27010,27010,27010,27010,27009,27010,59227,326582,306368,68471,199966,144618,58829,55737,0.0,0.000170970860595187,0.00017094898719457986,0.00017069198073950133,0.0001708339426833444,0.0001707741602386702,0.0001706752613249403,0.00017067824564823272
26,27000,164514794.74184632,0,0,0,0,0,0,0,0,110046,673190,680807,11808,222070,550380,270015,121663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,28000,170722866.78805017,0,0,0,0,0,0,0,0,7102,80948,76997,15803,26074,25642,89736,61617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,29000,176930935.12180424,0,0,0,0,0,0,0,0,9479,46273,52582,15773,11823,5962,107928,59266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,30000,183138999.6070943,0,0,0,0,0,0,0,0,26096,60835,58463,0,22900,50562,6326,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
