,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292266035,4417,996895,1030250,1050502,1059677,1061235,1061235,1065129,2008731,2008731,2007891,1999555,2000334,2001113,1996439,2009510,0.004032576022908081,0.9101324143891671,0.9398636602684269,0.9511060624793575,0.9600900910966788,0.9621807707625676,0.9581205097457396,0.973119901043415
1,2000,9312181.820188083,56178,2581645,2883272,3070726,3193779,3302557,3398513,3467890,4979393,4971604,4687718,4737298,4610558,4742576,4546479,4563863,0.012965783085998953,0.5947698916933908,0.6234824429619462,0.6712139850304999,0.6792927554702232,0.7227225126092097,0.7131189518581594,0.7303405966035439
2,3000,15520302.80860206,227378,3587820,4704470,6047657,6741919,7441259,8381687,8633849,4459549,4459548,3825303,3765560,3647205,3826710,3428230,3541996,0.020557188409994792,0.32437388424971836,0.4022633669937905,0.5144865437272143,0.5678315051961822,0.6363535246862752,0.6931555187161489,0.7207904370757742
3,4000,21728423.459525872,202337,2470880,4108094,5975845,7074724,8373861,11217798,11779979,6405237,6355868,5980249,5798652,5728722,5651264,4898790,5310641,0.013204629502776453,0.16073319797125052,0.2608616008514603,0.37513689478743234,0.4421785005111995,0.5208545092235436,0.6665503456731867,0.7175134052994507
4,5000,27936543.6378524,225479,1977412,2567868,3290539,3968041,5281141,10735313,11801692,8164796,8001652,7205805,7322741,7390649,6918657,5755900,6449890,0.011404100645525508,0.09919351636932339,0.12386765589294112,0.15962794724529375,0.19313060199819887,0.25126888782856355,0.4839946565698229,0.5492568642335868
5,6000,34144663.20869097,186418,2218044,3033862,3696291,4346220,5743261,11876775,12927705,8867565,8570070,7923201,8043389,8109157,8076173,7411297,7706833,0.007374976291222554,0.08672841760963947,0.11570148056024282,0.14161343122356998,0.16693433825185924,0.22031429338724245,0.4442678451821335,0.488985098170055
6,7000,40352782.03686109,106740,1255454,2078732,2846133,3439629,4769784,10951164,12267609,10302083,10041138,9139994,9345976,9194812,9033107,8497833,8870645,0.0035519972387021512,0.0414182087409472,0.06659872862190645,0.0917905893504961,0.11039323152088486,0.15229353415660585,0.34378218553505807,0.3896688774855525
7,8000,46560899.98757458,124454,1172561,1823303,2343699,2843737,4721177,13150882,14850854,9969024,9572687,8904760,8792180,8917774,9267945,8323140,9397452,0.0034011374558183508,0.03170093673879021,0.04841980618835697,0.06205396954863831,0.07554465590712828,0.12659702084677982,0.34392396427702354,0.3996091537299045
8,9000,52769016.92554718,109282,1151043,1703250,2083193,2348824,4252880,11920173,13346588,11640355,11145920,10911927,10798269,10738930,10685399,9811230,10745823,0.0026570764737697235,0.027653949009582693,0.04069203098040586,0.04963440260095963,0.05588434789965453,0.10105785124092805,0.2774857331607793,0.31760051422189023
9,10000,58977132.716062665,59691,545404,901084,1167878,1350515,2372255,7626168,8909053,13915400,13439125,13201516,13190439,13073792,13014289,12244600,12931807,0.0013246494620195242,0.011976896385118296,0.01968480305987466,0.025506930184615858,0.02942084342735915,0.0516124505841001,0.16318756028771308,0.19348441696204843
