,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629225823,263431,409722,440292,485625,527861,542786,653746,895031,0,0,0,0,0,0,0,0,0.0848665768702146,0.13199548879371853,0.1418438789031683,0.15644829724898726,0.1700549902376271,0.17486320817624462,0.210609932629779,0.28834198390745597
1,2000,9312181.82018841,835865,1107544,1191668,1289017,1443447,1524557,1748013,2288665,74563,72999,76127,59968,64659,63616,64138,75721,0.09048489835640909,0.11987467090486845,0.12902348710568726,0.13931984550414883,0.15609012576306255,0.1648425312249053,0.1890143509251222,0.24778592629306628
2,3000,15520302.808601959,2332308,3342132,3515365,3738366,3966948,4083768,4559292,5386796,57913,59997,68402,50094,64233,62670,64233,76660,0.15083748559375357,0.21617502534396643,0.22750372549913228,0.24164935627251147,0.2566595550566306,0.26419103433013624,0.29498391612223185,0.348803456979697
3,4000,21728423.45952554,2826011,4634888,4954336,5300867,5659805,5938563,6682048,8101564,112227,122129,127280,95024,105909,100696,106430,138197,0.13073581216248942,0.21451563611161573,0.22935526581187846,0.24503162389792332,0.2617551723965499,0.2745809984481041,0.30903940529388296,0.3752421965183054
4,5000,27936543.637859203,1878068,3386048,3711017,4005695,4471180,5024066,6315303,8026749,182676,182675,201441,130556,167562,160265,166520,206663,0.06766869484662805,0.1220027393003177,0.1338021729522773,0.14405872045149196,0.1610134666913445,0.18087613771098096,0.2274143905081259,0.28946208261139056
5,6000,34144663.208685845,1710333,2865593,3246729,3548076,3855615,4159800,4957764,6487616,345513,358584,374705,293673,332530,317410,330965,371060,0.05060284029154294,0.08481579002701513,0.09614252348008298,0.10481454096694628,0.11403051609324515,0.12297185273476138,0.14661998724311326,0.19209131936303214
6,7000,40352782.03686802,2131255,3914873,4463423,4988448,5523970,5782862,6530766,8544762,196035,183456,291497,229405,264618,257180,266049,276355,0.0530733975549187,0.09745926522159894,0.11141487338442474,0.12432772035654634,0.13779553473488462,0.1442268405069125,0.16291589524129127,0.213211671592862
7,8000,46560899.987567484,1255368,2483592,3115933,3786602,4264707,4510703,5657732,7525540,284168,282607,302435,231645,258665,234847,259836,295665,0.027127412548000624,0.05366645655377153,0.06735919578908302,0.0817324172602417,0.0921058562539175,0.09736860166374495,0.12219442735741848,0.16266079707629894
8,9000,52769016.92554748,558212,1096021,1367930,1767257,2243591,2913889,3944322,5814638,361915,376404,439446,327167,390336,366874,393463,434890,0.010651457140160657,0.020919380401155038,0.026140669143766507,0.03369936420070998,0.04283404928026162,0.05560629465363714,0.0753084541235956,0.11110604765170011
9,10000,58977132.71607557,303336,638355,743099,1022946,1286558,1679174,2529305,4559392,470721,468731,545312,409099,479607,448766,470755,535278,0.005184662519931189,0.010910484328349167,0.012717368565507682,0.01746594404994042,0.021993374664160265,0.028689917286531648,0.04323126979889977,0.07801586760294674
