,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629227042,726988,929639,1138464,1495561,1546868,1598404,1963921,2188223,72859,53735,64429,39230,44679,107975,81549,69074,0.23983491991767708,0.30476713407006717,0.3745401215901625,0.487975089304424,0.5056145938847187,0.5334974355897735,0.6497645802283449,0.7209992225096893
1,2000,9312181.820187654,2371338,3193245,3878061,5113197,5309327,5548899,6496717,6948783,120156,74329,102539,75427,111889,82201,58800,132309,0.2579777348745077,0.34566961199270696,0.4210870145256058,0.5535707182380446,0.5770823933288363,0.6011820726499826,0.7020910977461697,0.7569585261267218
2,3000,15520302.808602214,4759323,5762892,6600502,8481127,8843316,9253939,10468190,11275162,322895,206177,296732,208955,240371,237038,214509,277443,0.31316676238075764,0.37631217557079766,0.43357120894858175,0.5539111974998789,0.5787536299750655,0.6054949067421382,0.6839364315829626,0.739701220215706
3,4000,21728423.459522445,4468133,5604095,6339560,8495277,8960682,9407633,10932289,11843184,3410181,3391100,3412780,3323189,3363354,3371355,3330746,3385655,0.2439171230467753,0.3056113948347152,0.34612816164555843,0.46156852925091313,0.48791985348870054,0.5124801392305064,0.5942211468840357,0.6456595702079935
4,5000,27936543.637854308,6605757,8494118,9553021,12123465,12588431,13150446,14960998,16026581,5783948,5831292,5764064,5693737,5718605,5692108,5728371,5767734,0.2981933633416798,0.38425791930159175,0.4308503674839533,0.5450510449237764,0.5665886113553388,0.5911791251570943,0.6736708257796347,0.7229337642303465
5,6000,34144663.20868851,5695481,6401312,7001821,8671103,8980640,9437486,10900507,11890171,15578754,15653315,15616099,15534972,15581915,15564264,15563234,15632869,0.3067709173830613,0.3461787603454583,0.3778933392322255,0.46594556044818336,0.4837990527607602,0.507926976918067,0.58663447669047,0.6423024622010625
6,7000,40352782.03686589,2504788,2787927,3100219,4446098,4717285,4990571,6201656,7210372,27489524,27587581,27452303,27380191,27469029,27366810,27404389,27444188,0.19472422871572023,0.2184005556942244,0.24031813013613357,0.3427301444534055,0.36614214712916676,0.38430477024224774,0.4789517882522577,0.5585714431337577
7,8000,46560899.98756799,1296606,1497033,1726888,2462122,2673567,2830680,3789707,4739960,34203764,34163646,34026476,33905729,34111740,33961134,33854196,33948634,0.10492771151053629,0.12075520929886811,0.13777162809497892,0.19455462138114962,0.21475882731605053,0.22466131536037984,0.2982446906536723,0.3758214427662892
8,9000,52769016.92555651,1842925,2146963,2390781,3313565,3604999,3831935,5256650,6315309,38849434,38858557,38839580,38835282,38825954,38835356,38838612,38869717,0.13239800429769838,0.15434162576145785,0.1716351502775826,0.23780881563366305,0.25855144018552245,0.2750127924364538,0.37735083998572283,0.4543616609343109
9,10000,58977132.7160677,895404,1052903,1304882,2025753,2252907,2498633,3814845,4823495,44851586,44850010,44842840,44843303,44840106,44801219,44781368,44813993,0.06338898012219837,0.07453060479204761,0.09232028982367296,0.14332654635686404,0.1593621519749564,0.17625904404087353,0.26873120795543387,0.34056678792258716
10,11000,65185247.2238,903665,1084473,1194242,1893139,2179681,2405968,3819652,4599611,50663631,50610639,50640807,50598092,50589064,50611894,50541009,50615076,0.06222895482659504,0.07440838088732157,0.08210986339960921,0.12978123362334598,0.14933225806907463,0.16509364475368446,0.2608296820651451,0.31568681859322645
11,12000,71393360.31407243,1300740,1678166,2018125,2886427,3133370,3396426,4806494,5831523,55455195,55442152,55357090,55348495,55332176,55352577,55335495,55326521,0.0816116519290665,0.10520619923943274,0.12584752941143798,0.17989724086174838,0.19508959854564492,0.211736916676653,0.2993233475303715,0.3629539628800766
12,13000,77601471.85152048,1108016,1311415,1603830,2559767,2826948,3157330,4866851,6101583,60590501,60591930,60506427,60541484,60555658,60485677,60505415,60520823,0.06513537702646542,0.07709878440275408,0.09381841427911498,0.1500450658159091,0.16584412012382954,0.18446879197780985,0.28467681420743257,0.35722196814887697
13,14000,83809581.70150113,1516040,1869485,2197758,3348198,3828567,4290078,5860597,6921276,65060528,64958039,64801496,64782077,64741679,64657321,64647694,64640512,0.08085954758765342,0.09916880700968492,0.11562226909711565,0.1759662158819938,0.2007859521801836,0.2239985172958589,0.3058465372146443,0.3610647834129371
14,15000,90017689.72858381,1868246,2168222,2395637,3242652,3751602,4204638,6292092,7350587,66087013,66110420,65951899,65826117,65777218,65687023,65613799,65651286,0.07806908351106043,0.09069299943555027,0.09954532668459612,0.13404056182625157,0.15476604754255655,0.17281228035811966,0.2578315101464617,0.30166893243163134
15,16000,96225795.79823005,1198937,1464903,1630051,2639820,2998256,3359473,5203894,6181884,67213927,67278328,67167253,67121649,67085201,67072257,67054034,67091534,0.04132574183132747,0.0506055662695847,0.05609541439563466,0.09070253865543788,0.10288932057701543,0.11523379797048713,0.17838806020676262,0.21218605238096536
16,17000,102433899.77492332,1073866,1361138,1509416,2462719,2769743,3092456,4996666,5834514,71606059,71642697,71377662,71390096,71317811,71348421,71262425,71284901,0.0348342917637465,0.04420541834463592,0.048602667552307105,0.07933045247468495,0.0890132117836145,0.09948233457786361,0.16029610520769114,0.18730984074830387
17,18000,108642001.52415442,1109412,1402729,1513401,2253092,2682463,3256564,5526379,6638477,75463978,75412753,75234763,75393105,75402877,75375218,75296327,75350082,0.0334381582191694,0.04221368409762119,0.04530158932189999,0.06776441432765114,0.08070197510920271,0.09789236153941562,0.1657300108293472,0.1994020499533996
18,19000,114850100.910424,1277590,1595173,1760004,2464106,2790917,3057419,4647780,5766737,79045809,78985807,78828367,78779916,78725795,78731929,78738310,78681013,0.03568259367330331,0.0444780260831055,0.04885950255411466,0.06831420482371559,0.07725870240719714,0.08465043600718906,0.12870533094104664,0.15943827542131678
19,20000,121058197.79922462,683913,870736,1019894,2010700,2291913,2723789,4528603,5374690,83341971,83328370,83200124,83148173,83120331,83062029,82889295,82805713,0.018133123539655356,0.02307818643205932,0.026939933748580964,0.05303874135268636,0.06041227916501733,0.07168588534261865,0.11864640238209825,0.1405056437041953
20,21000,127266292.05491209,639136,815116,921442,1796539,2134844,2624090,4574880,5507912,88103497,88614489,88535930,88386170,88405022,88339468,88410412,88436109,0.01631997918186983,0.021088692779531546,0.023791205429310864,0.0462071337498033,0.05493500333322622,0.0674108423615122,0.11773970872708754,0.1418461507691306
21,22000,133474383.54325843,687971,832916,993741,1833635,2085701,2425456,4162696,4966241,93771607,94570730,94350118,94246033,94216417,94105674,94361242,94369929,0.017328032442527452,0.021409711534518205,0.02539960779330804,0.04674259749917317,0.053128095610906444,0.06160872500367083,0.10642704307952695,0.1269993676681056
22,23000,139682472.12843418,603441,716936,856000,1587639,1889762,2292783,3917629,4758003,101245000,101631528,101524062,101460913,101307308,101301370,101354254,101396527,0.015699289432553592,0.018841477298962947,0.022432800452609574,0.04153778747395229,0.04924440176139275,0.05973728926094123,0.10221265666127241,0.12427544844560542
