,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292271316,4381,1680377,1846205,2091486,2133793,2152048,2207928,2265451,730,730,730,0,0,0,730,730,0.0014117090711314461,0.5414753375532175,0.5949108298717716,0.6737903184966948,0.6874198847498946,0.6933008910125027,0.7114704373442391,0.7300063288983807
1,2000,9312181.82018714,0,3125760,3826707,4784401,4888792,4969258,5119515,5234698,0,0,0,0,0,0,2282,3013,0.0,0.33566354913989255,0.41093559746700664,0.5137787354654391,0.5249888902944287,0.533629829824364,0.5499001169592705,0.5623163679928589
2,3000,15520302.808602657,22308,1021288,1689124,2928626,3360588,3770757,4920537,5504284,138770,81802,113938,73767,90564,132197,163143,259281,0.0014503105950223294,0.0661520190762899,0.10963806329295937,0.189597592385016,0.21779940941880016,0.24504361010384876,0.320406706795071,0.3606759802215359
3,4000,21728423.459528536,7851,777502,1154674,1771604,2013800,2601817,3985096,4523829,153982,136454,137631,47931,101340,114512,73669,202433,0.0003639028159652559,0.03600885048755422,0.05347992678658789,0.0817141955288651,0.09311472828818965,0.12037696207240563,0.1840286855917905,0.21015660155128962
4,5000,27936543.637843594,3436,641928,843528,1087969,1176332,1480952,2390416,2973372,200474,147345,176633,81067,96538,97988,63716,202489,0.00012388200797245835,0.023099910449588007,0.03038655314870011,0.03905763359015436,0.042253296041038994,0.05319787489214423,0.08576151767086868,0.10721014430911169
5,6000,34144663.20869449,730,256690,363424,444118,487240,687640,1397674,1780494,162512,123848,128401,76585,117545,110370,79769,143055,2.1481865450979046e-05,0.0075450866895864195,0.010683831097324667,0.013036191747577267,0.014319167347986059,0.020204327317258162,0.04102974726524374,0.052364993710641995
6,7000,40352782.03687194,0,175958,258090,374309,428227,595411,1163930,1383339,129153,104218,104151,98817,91950,73668,61341,74741,0.0,0.004371783297381836,0.00641239200815458,0.00929868646870288,0.010636317689803786,0.014782127517873266,0.028887772937553954,0.034344743795599264
7,8000,46560899.98756233,0,101427,176235,230417,248764,290742,513904,660388,104843,93063,84648,28396,61977,52404,22005,56065,0.0,0.002182735555931905,0.0037919365797216796,0.004951742980811609,0.005349887352585352,0.006251373944187585,0.011042462442164613,0.01420041593904419
8,9000,52769016.92554605,0,115212,182242,251285,259231,298896,464271,567787,55365,43673,50732,11175,26623,18613,7308,30313,0.0,0.0021851351062345263,0.00345690305095054,0.004762988606596595,0.004915040458079021,0.005666231493163035,0.008799392769008858,0.010766040075644905
9,10000,58977132.71607855,0,100009,132292,153860,196339,238543,348328,409925,86334,70262,66166,51428,64473,61513,19720,64432,0.0,0.0016977476274716234,0.002245626024736301,0.0026110845978226807,0.003332713222357109,0.004048892316665213,0.005908129002835395,0.006958177014759105
