,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292271493,1800490,2099800,2141560,2184275,2222248,2246024,2265838,2294915,4474,8202,6710,2982,2982,1491,1491,8202,0.5808806835797115,0.6782609451789452,0.6914167158835233,0.7043597603148698,0.7166048545353487,0.7239238013683145,0.7303101205707414,0.741285463856243
1,2000,9312181.820186675,4435840,5826032,6173715,6504886,6775910,6888104,6992005,7079792,1491,0,0,0,0,0,0,1491,0.47642436911153535,0.6256355505613624,0.6629719134796962,0.6985351151433598,0.7276393578689991,0.739687447367938,0.750844982949424,0.7603938458197084
2,3000,15520302.808600282,2661388,4491156,5357181,6386542,7281210,7665566,8012899,8312150,43233,46215,48451,47706,50688,44724,58143,58143,0.17195683891799227,0.29023720529127917,0.34625338106083225,0.41276471422367234,0.47067817072937296,0.49533307250130093,0.5182263732355882,0.5375801377616508
3,4000,21728423.4595303,1926578,3663708,4850007,6457585,7825960,8433977,9106000,9592412,46032,43048,48268,49013,49013,43795,54719,56209,0.08885449760446927,0.1689483314152106,0.22370720583869258,0.2978671865664703,0.36098583098507164,0.38893804501839657,0.4201404525471387,0.4426133756618379
4,5000,27936543.63784626,1983223,3442546,4645741,6173555,7339137,7853863,8470335,8884433,80096,90083,91626,91895,88403,80715,101580,108940,0.07119439728221334,0.1236259805068806,0.16684340964562958,0.2217142360205237,0.26354136512891435,0.2819468450250791,0.3043055888344388,0.3192669090599286
5,6000,34144663.20869772,2618029,3739869,4602902,5587917,6446501,6903442,7355660,7861968,1013277,1068227,1056341,1042696,1041663,1015335,1059900,1104129,0.07901960345120451,0.11306747124759985,0.139109561704826,0.16880921199546547,0.19474068692741028,0.2083785688774571,0.22232772087866282,0.23794917934257806
6,7000,40352782.036864,4098598,4737659,5179432,5844956,6338467,6655143,6947859,7252024,4307859,4330901,4322040,4247393,4199660,4103371,4090549,4263068,0.11370805247130827,0.13152169913480044,0.14375035614589307,0.16188597203681246,0.17532281149984502,0.18359313460933263,0.1916004177938199,0.2009443464304646
7,8000,46560899.987570524,1898360,2353245,2722558,3176128,3536095,3885597,4152876,4412620,10926790,10873569,10867117,10874258,10774402,10728326,10690423,10868327,0.05327367515737488,0.06594062752464194,0.07627541190991337,0.08900047253272608,0.09881086998868029,0.10843756302150726,0.11577420622087108,0.12362852074398328
8,9000,52769016.92554039,1401193,1841913,2304722,2960706,3551618,3811462,4055528,4394533,16719032,16777702,16813812,16769653,16757730,16725413,16747206,16829784,0.03886806063564522,0.05117659645974562,0.06409981544460246,0.08224328646816659,0.09862513404043541,0.1057458629240793,0.11258534470637974,0.12227676114024694
9,10000,58977132.71607989,734814,1130410,1537491,2156372,2545026,2744471,2984948,3252937,19718029,19784107,19764704,19753681,19751446,19709758,19745349,19800904,0.018717034533293028,0.028842121253634723,0.03920927752606967,0.05497659960191577,0.06488161745697904,0.06989188912790104,0.07608494229072135,0.08303343906772812
10,11000,65185247.22381312,656794,907121,1177006,1585654,1919940,2061995,2237320,2461151,22666416,22741058,22761829,22605627,22615187,22544458,22654838,22699951,0.015447132037631262,0.021372089244458083,0.02774425186085837,0.03723974031861387,0.0451007113897859,0.04835733666131257,0.052605183933835904,0.05792947722512333
11,12000,71393360.31406677,647139,909837,1148422,1501582,1879140,2110345,2302760,2580709,27665312,27676615,27640686,27601479,27612779,27572546,27619533,27645723,0.014799174098786007,0.020812093706052748,0.026248041245578786,0.03428904981795482,0.04292176904915215,0.04815850716225886,0.052605863852805156,0.05899082004070171
12,13000,77601471.85150772,323012,486904,695972,1002619,1242062,1367186,1534759,1729826,31414924,31436923,31433347,31387047,31389313,31346228,31408171,31434624,0.0069936380835065055,0.010547140871367962,0.015074729637352197,0.021694936228710635,0.026877385321709035,0.029557427140348664,0.03322470946455229,0.03746900818448464
13,14000,83809581.70150316,380765,409044,507760,611727,715723,795049,891713,1000874,34291080,34292794,34261463,34221761,34298625,34266156,34288175,34317519,0.007689348161122607,0.008260713567806477,0.010247815927360243,0.012336234812219862,0.014455850738555221,0.01604751768257071,0.01800661692376629,0.02022291950199121
14,15000,90017689.72858489,645673,758701,863055,950086,1094038,1142326,1224050,1311571,36687411,36700158,36689729,36653205,36647989,36628621,36640523,36693447,0.012107062167929773,0.01422985977412081,0.016183911558001595,0.017803713552790718,0.020499234304569215,0.02139625258884485,0.0229320901617749,0.024596148634979526
15,16000,96225795.79824114,113444,140742,166288,196328,254570,284701,324035,358067,37991092,38010172,38004386,37971415,37969181,37929414,37961892,37998239,0.0019480480297974204,0.002417598418042756,0.0028561314570748086,0.0033701843073392977,0.004369804199602856,0.004883682163763201,0.005561505132269938,0.0061494422862478065
16,17000,102433899.77490258,32727,52122,69279,77484,81214,84326,91787,98501,39995760,40013426,40012955,39982167,39968023,39939977,39958908,39997190,0.0005241507853690867,0.0008350144888031386,0.0011098678536479764,0.001240702164010066,0.001300133836152765,0.0013493472045871496,0.0014691798652924774,0.0015776135602775473
17,18000,108642001.52417207,8187,12661,17137,19376,21614,23852,28328,31314,43877505,43896948,43895157,43849908,43849164,43798255,43838719,43873735,0.00012641185278023992,0.00019555161839928225,0.00026467699122545207,0.00029904883367862424,0.0003335862546834213,0.00036783809200642955,0.0004371383500432013,0.0004834775065087368
18,19000,114850100.91038954,53827,78247,116271,147591,167713,174424,208726,239401,47051281,47080806,47060584,46998364,46984696,46956475,46972786,47009845,0.0007939223731496175,0.001154608441824059,0.0017151767013430376,0.0021751985537956167,0.0024712591079571493,0.0025690776956030633,0.003075047978482302,0.003528892938084221
19,20000,121058197.79924011,95058,128004,136943,165248,200263,211442,237539,276187,47442462,47460611,47446956,47416552,47410861,47383839,47407878,47442237,0.001291272836818962,0.001739241808962704,0.001860354433002021,0.0022439476767058503,0.002719215774847493,0.002869953718581679,0.0032252270003374894,0.0037517271662485846
20,21000,127266292.05491519,17154,35062,35062,35063,35062,35063,35063,35062,50205561,50214903,50208080,50166871,50165384,50146280,50166381,50211422,0.0002226036499417022,0.00045504695541583306,0.0004550066639881707,0.0004547764369725405,0.00045475469595023524,0.0004546550119187291,0.0004547735466909427,0.00045502639839652104
21,22000,133474383.54325342,120959,137411,137411,143363,144108,145596,145596,146340,54984350,55020552,55013449,54914686,54917809,54865338,54928538,55004979,0.0015410746376269956,0.0017514887073965548,0.0017513301466508659,0.0018248924637352015,0.0018344486230195006,0.0018521532604016675,0.0018536435503749664,0.0018649306803307697
22,23000,139682472.12842798,183436,190904,193146,196121,196121,198353,199841,199842,62259296,62281826,62277368,62224502,62225521,62189073,62215266,62282996,0.0023692647237271705,0.002466439358700445,0.002495261807019064,0.002531966686899032,0.0025319999966797084,0.0025596115569956382,0.002579685133715759,0.002581955460117129
23,24000,145890557.67622495,159120,194987,207221,221943,231609,236836,254019,262239,65166128,65178789,65088516,65062410,65050108,65042145,65045683,65099288,0.0019711505010095377,0.0024158434785661784,0.002564551534852768,0.0027458627517859477,0.0028650137515021253,0.0029293834246129392,0.00314205447181802,0.003245882891195248
24,25000,152098640.05070186,394742,452830,462265,513215,534930,537171,554998,569195,67324642,67342328,67344835,67278368,67279112,67258570,67288602,67347307,0.004656404193228113,0.005342728925358547,0.005454209397719211,0.0060506172356205425,0.006306684466344111,0.006331571858427009,0.006544013099819698,0.0067160595534170925
25,26000,158306719.11796188,275214,364525,380725,397048,406009,414967,427687,438129,69485838,69501357,69471212,69382152,69386201,69340657,69391929,69483282,0.0030985281449132642,0.00410476339836095,0.0042857300234066,0.00446499783882333,0.004565976543921942,0.00466432918487262,0.004810077147261937,0.004932583270991227
26,27000,164514794.74180508,25340,29201,31621,31621,34597,36085,37375,38119,75774036,75792318,75785178,75738374,75734341,75669919,75722080,75783820,0.00028555086027298667,0.0003291274215098732,0.00035637480653178256,0.0003561869214345288,0.00038969163303238346,0.00040615735796477185,0.0004209241727621515,0.0004296019525416129
27,28000,170722866.7880907,73172,116140,183430,222142,265880,286391,360542,391347,79871586,79891588,79866368,79843282,79832855,79765812,79845715,79899819,0.0008054041656349637,0.001278634425823229,0.0020188979593834364,0.0024443553578945326,0.002925293932405873,0.003148639769254029,0.003967355852444843,0.0043088952587573915
28,29000,176930935.1218028,386819,685321,943208,1156158,1403232,1543618,1777982,2100792,81514523,81559777,81545594,81447800,81438103,81319420,81431370,81528865,0.004054009068232521,0.007185830742715168,0.009888395731536628,0.012108504800613743,0.014694631720736406,0.01614468715440323,0.018617697344823634,0.022020402673839815
29,30000,183138999.60710716,318078,767227,1128029,1473902,1808919,2054836,2388079,2684012,84316574,84348269,84336248,84247404,84246661,84180905,84258499,84348453,0.0032186823794894213,0.007766184087161761,0.0114169796048358,0.01490421901832549,0.01829180122018064,0.020764708618919003,0.02415116211323422,0.027168712920218902
