,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292265067,49621,228185,241017,247862,270105,296479,310607,337501,0,0,0,855,0,0,855,855,0.01598583466211642,0.07351177288597642,0.07764571275789109,0.07987288939720735,0.0870166637393635,0.09551327612884897,0.10009230360845302,0.10875882565478724
1,2000,9312181.820188105,85836,150228,181791,215438,250517,304663,388046,452192,77849,59884,76138,80416,79560,78704,81271,81271,0.00929531149368423,0.01623683142496874,0.019682777987978142,0.02333659715770501,0.02713389597007191,0.03299547645350746,0.04203767185696768,0.04898671526660739
2,3000,15520302.808602486,371488,1290671,1560559,1644574,1832465,2034968,2255213,2466567,47906,34218,49617,54750,52183,53039,56461,56461,0.02400972548696894,0.08334391913461787,0.10087199877928166,0.1063378736184089,0.11846721015057612,0.13156612735008788,0.14583782141029353,0.1595054469988083
3,4000,21728423.459524486,779058,1134376,2305015,2589409,3186186,3786725,4171952,4456089,0,0,0,0,0,0,0,0,0.03585432700403793,0.05220700904108876,0.10608293806008344,0.11917150845405457,0.14663677767212144,0.17427518416390758,0.19200435815196049,0.20508110072048086
4,5000,27936543.637849696,839862,1408741,3136047,3609057,4450579,5064144,5565866,5930121,0,0,856,855,856,856,2567,2567,0.030063203626311055,0.05042645998953764,0.1122595241131996,0.12919162461991848,0.15931517626113376,0.18127865924226105,0.1992507573181836,0.2122906121416621
5,6000,34144663.208697036,959433,2393491,3890398,4251118,4828996,5380838,5813804,6177752,0,1711,0,0,0,0,3422,0,0.02809906175192911,0.07010205167291655,0.11393868424536316,0.12450314633407167,0.14142754814960365,0.15758942963096614,0.1702868376829548,0.18092877244800165
6,7000,40352782.03685874,555152,1704833,3191688,3452136,4134221,4524460,4943900,5192490,39313,23634,50435,53858,49579,47013,42735,53857,0.013770881376951776,0.04227297334528048,0.07919360123322405,0.08566323003667695,0.10257797615289051,0.11225340957674027,0.12264684274566567,0.128849342637571
7,8000,46560899.98757219,783668,1689636,3569151,4018028,4893794,5379283,5834285,6155458,4321,8878,9454,10310,8600,4321,4321,6033,0.016832594169111786,0.03629565221573137,0.0766711092272591,0.08631529699350127,0.10512464478245906,0.11554291825084367,0.1253160160577392,0.132219430497851
8,9000,52769016.925554305,574842,804988,3097628,3404545,4510221,5365995,6193994,6680122,33366,34222,41923,44929,37497,41507,41507,44929,0.010900443815730864,0.015264836075240292,0.058748316460860886,0.06457285718829639,0.0855317845259813,0.10176841287548417,0.11747177154288659,0.12669962180156139
9,10000,58977132.71606326,368896,477808,1799615,2017884,3203177,3826106,4657035,5139568,4279,4279,0,4695,1859,8974,8119,8119,0.006255352704756742,0.008102168538434706,0.03051377571480089,0.03421740864292535,0.05431389798073191,0.06488427116103503,0.07897427320768323,0.0871570961784625
10,11000,65185247.22380221,110145,359059,991206,1171261,2034370,2498814,3142938,3548903,0,0,0,0,0,0,856,0,0.0016897228236603338,0.0055082862348781675,0.015205986664388441,0.0179681914218823,0.031209055524716266,0.0383340419254798,0.04821611341293543,0.05444334648015461
11,12000,71393360.31408542,307443,862504,1256180,1580896,2071016,2359024,2821724,3137396,856,1711,0,1712,856,856,2567,3423,0.004306376460019247,0.012081300940470495,0.01759519364929184,0.022143990751479714,0.029008871728168215,0.033043020729762736,0.03952504054109276,0.04394731411790977
12,13000,77601471.85150427,76658,567186,626100,869888,1034404,1248857,1616830,1840662,5132,14547,26673,25669,4265,28241,4971,6137,0.0009879074212353319,0.007310329686162363,0.00807092005740804,0.011213393455497213,0.01333042827146487,0.016099071629369716,0.02083637770076918,0.02372129720842769
13,14000,83809581.70151097,113580,334421,362439,460911,570734,658590,951470,1113449,225,1080,12680,14538,11986,14763,13844,14390,0.0013552186112645859,0.003990299232302954,0.004325207646590885,0.005500456585974535,0.006810863667651852,0.007859555163499917,0.011354634807193105,0.013287743334560839
14,15000,90017689.7285819,180045,676322,678888,764654,783498,824159,945886,1043039,3199,2343,5993,8561,2568,10048,11129,9417,0.0020001779551570703,0.007513407708568571,0.0075422197855807,0.008495293875199886,0.008704070882250677,0.009156544757446839,0.010509078364324508,0.011588257038830893
15,16000,96225795.79822624,60437,1291463,1309430,1462895,1537945,1647782,1813328,1900725,0,856,4277,5133,5133,4277,4276,5133,0.0006280748264917343,0.013421291847083142,0.013608494402856362,0.015203543162737053,0.015983521161406413,0.017124880386219548,0.018845347733048665,0.019753813211469986
16,17000,102433899.77492535,107796,805800,820760,939759,990784,1086055,1219922,1304195,3460,5209,5318,7308,4086,5519,4277,5133,0.001052382477678165,0.007866936440402698,0.008012997795903518,0.009174951384353869,0.00967280876031957,0.010603067155640014,0.011909855439774552,0.012732702355636172
17,18000,108642001.52416384,69704,866958,927841,1053860,1209379,1375482,1600045,1760853,51304,51267,53724,52588,53241,50954,36792,39359,0.0006418966043061775,0.007983719824706432,0.008544577933778627,0.009704997621757023,0.011137239196416479,0.012666624287733533,0.014732672649961621,0.016213721499531784
18,19000,114850100.91041648,4276,93227,98295,129129,144991,185474,275321,316237,8559,7701,33373,30808,30805,32518,6844,30806,3.723391317172966e-05,0.0008117820602209836,0.0008561034771578995,0.0011246280718759359,0.0012627755539724253,0.0016153797641316958,0.002397363218414854,0.002754214788087074
19,20000,121058197.79919791,49909,635870,673000,730963,945500,1149988,1344872,1492344,1710,2567,9408,9409,8553,9408,14545,17113,0.0004122786056934545,0.005252708988438174,0.0055597416638068645,0.006038581692978026,0.007810844893997285,0.009500202372181172,0.01111063627789752,0.012329235172303157
20,21000,127266292.05494237,85296,399613,402221,428906,550132,617842,858977,937541,857,6847,7697,8551,5132,10266,11980,10268,0.0006702212581379733,0.003140144134900738,0.0031606588130754227,0.003370372571793678,0.004322858598511061,0.0048551099633839636,0.006750081676046738,0.007367360460635009
21,22000,133474383.54324389,5136,7704,7704,10272,13696,40229,142786,185582,55661,45381,54802,53945,43670,47948,41099,49654,3.849534684560716e-05,5.773857147364314e-05,5.774264849948569e-05,7.698970346788859e-05,0.00010264503303852324,0.00030150696776248413,0.0010700928219579654,0.0013909115696565948
22,23000,139682472.12842488,6850,17894,30721,34131,105101,174233,201915,219216,29117,38523,47083,35108,44510,40235,39378,56496,4.905002098732792e-05,0.0001281401744342221,0.0002200086968765877,0.0002444084799811321,0.0007526678161010308,0.0012477098876592975,0.001445936165051641,0.0015700230435515092
23,24000,145890557.67621565,17978,281019,311835,352133,416272,510338,667089,725119,2570,3424,6523,2244,2244,9409,11657,13366,0.00012323153048008614,0.001926276793015197,0.002137553987261913,0.0024137162952032167,0.0028533608313814195,0.0034983135561449355,0.004572895716294381,0.004970749653650112
24,25000,152098640.05073547,169128,701810,820064,891021,1001158,1291812,1584953,1778626,0,7697,4601,4601,2890,15143,12900,21453,0.0011119626049488941,0.004614410206963381,0.005391822093214602,0.0058583558274941565,0.006582419296173876,0.008494097157491375,0.010421443847866757,0.011695547731341328
25,26000,158306719.11792898,185612,804559,927695,1003049,1144309,1386972,1540276,1688259,20552,19696,33371,47056,24817,45595,50730,31040,0.0011726356344311014,0.005082911941559336,0.0058613469104651615,0.006337995293548468,0.007229563106636317,0.008763819969877705,0.009732813327224029,0.010666572460207876
26,27000,164514794.74183917,61653,683329,696145,707568,744297,804872,881499,940483,4283,2569,4278,8560,3422,2567,5133,5991,0.00037476632555097746,0.0041536669807891,0.004231613964792518,0.004301162208899812,0.00452428903604126,0.004892475234503818,0.005358341818143873,0.0057169159255202155
27,28000,170722866.7880907,30522,436019,490875,516271,615417,704032,792971,869130,9404,17111,4317,18854,13726,19711,28259,29966,0.0001787908200180289,0.002554213816558486,0.0028753465900999784,0.0030243635844746704,0.0036050617861403574,0.004124305709227653,0.004645553894616496,0.00509177590858916
28,29000,176930935.1217556,8566,47932,53068,62489,67348,82750,123495,137193,6853,14558,7656,16215,9365,27352,9365,8511,4.8416246659429046e-05,0.00027093025970689375,0.000299949222416794,0.0003532153794607597,0.0003806658507136908,0.00046776893118691954,0.0006980211622303149,0.0007754415568350208
29,30000,183138999.60709858,1713,62864,67119,67119,86812,132396,302107,362001,2085,32922,0,41102,13479,42603,16048,24613,9.353657637375105e-06,0.0003433201170683748,0.00036649211879498784,0.00036657438931400296,0.0004740573553713347,0.0007230945144382325,0.0016497495117279942,0.0019769118456909205
