,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629226867,2271302,2618719,2753768,2817743,2841464,2871742,2953049,3003957,0,0,0,0,0,0,0,0,0.7317195993577343,0.843642993098446,0.8871501974128273,0.9077602974210653,0.91540222289657,0.9251565426785072,0.9513502965100009,0.9677507493621992
1,2000,9312181.820187213,5459944,6433592,7186645,7564259,7701826,7919568,8414418,8807621,444,444,444,444,444,444,444,444,0.5863507011723648,0.6909120643466155,0.7717834349265981,0.8123359082985779,0.8271094127352863,0.8504930178372201,0.9036356223172559,0.9458622192847481
2,3000,15520302.808603233,6500756,7913099,8900967,9390141,9605642,9846604,10446130,11005711,3963796,3951316,3981373,4001500,3991779,4000300,4009098,4019436,0.562519116517157,0.6839923954373821,0.7713858345306501,0.8152011242858186,0.8332065891065541,0.8547397221679908,0.9074749492939941,0.956946218329141
3,4000,21728423.459529046,9703830,11855117,13658163,14672573,15116196,15624278,16584912,17329581,3572981,3539151,3606207,3644356,3630191,3614110,3635859,3671508,0.5344860100011971,0.6517642212670969,0.7536695652268434,0.8113535869536128,0.8352305140185693,0.862537685179608,0.9166700517827924,0.9597198945102656
4,5000,27936543.637842327,10327119,14011897,17670706,19571146,20371254,21413284,22813958,24142264,2499653,2455512,2489627,2474210,2547088,2534290,2549623,2552522,0.4059898337038254,0.54989520044356,0.6944144255859173,0.768631276235938,0.8023509558683556,0.8429678840817546,0.8986500696737906,0.9510811306593309
5,6000,34144663.208688945,12541958,16445858,20790755,22594294,23394792,24217209,26585853,28643530,2755657,2731524,2758556,2733420,2745858,2763065,2767627,2827947,0.39956531011574997,0.523534368556551,0.6624190397923664,0.7193059456414636,0.7450854210696525,0.7717009452149168,0.8473028753632834,0.9146402773881107
6,7000,40352782.036868975,15890838,20373861,24726675,26351690,27379517,28133717,30658796,32596691,4224081,4358914,4480395,4389026,3969572,4266105,4157763,4396612,0.43983972697450596,0.5660369977222452,0.6892955011492929,0.7327290834968692,0.7525316477643103,0.7796150632339018,0.8470446159669189,0.9065673837501544
7,8000,46560899.987579316,19835489,24829281,29413640,30969992,31846990,32825026,34235427,35931433,6752907,6844959,6952476,6933644,6467428,6669274,6636667,6888632,0.4982790518022088,0.6251716661520134,0.7426107135498179,0.7815325898343092,0.7943185865735445,0.8228550525922513,0.8575099491742486,0.9057065507636088
8,9000,52769016.925549954,22423159,27631232,33500685,35520137,36524379,37856465,40007573,41823647,6526335,6620568,6789538,6829897,6414784,6734257,6641870,6890526,0.484901784807831,0.5987467107416052,0.7286007972000805,0.7732002062199883,0.7879405330396084,0.8223452248088975,0.8673324856742808,0.9116177571723094
9,10000,58977132.716067255,23097675,28599460,34721785,37436573,38944365,40228579,42752423,45573924,6752533,6691701,6756575,6688659,6661260,6688585,6722426,6868667,0.4422757689973034,0.5469871637535206,0.664906437590895,0.7159622444381362,0.7444082068813391,0.7693573594440937,0.8181544914662109,0.8745973110842836
10,11000,65185247.22381383,20187236,26846324,35222033,37852243,39253648,40546502,43582952,46190183,7223067,7203289,7205926,7202178,7120696,7139558,7167497,7319109,0.34828289622732395,0.4630116819506437,0.6074930209002389,0.6528154426232746,0.676034640286706,0.6985273590888018,0.751200310799212,0.7982247376064092
11,12000,71393360.31405485,16402406,21199572,28396477,31899025,33757563,35292817,39128260,41916698,6437942,6380700,6505842,6481751,6482934,6517594,6447093,6518325,0.25251790267434704,0.32608374888201497,0.4376261835529196,0.4914224949448778,0.5200638004851708,0.5440061675595819,0.6024712676833447,0.646114453689075
12,13000,77601471.85152382,15284388,18942091,23281890,25990325,27169856,28498915,32526747,35282838,4204259,4308376,4354923,4199328,4148572,4183883,4192181,4398794,0.2082420763158812,0.2584430467826415,0.31785647740474593,0.35408127932302136,0.3698949402259215,0.3881755781660826,0.4430876067960928,0.4819883511852366
13,14000,83809581.70149213,14381589,17565327,20526060,22859891,23934047,25105033,28616800,31025272,3430593,3436066,3511753,3480908,3441812,3473867,3500364,3660979,0.17892224364018436,0.2185462070022887,0.25562409758682025,0.28457946517266314,0.2978065347451795,0.31250152056634045,0.356332695287459,0.3870968545209884
14,15000,90017689.72859216,13292136,16246909,18952429,21227226,22316228,23193874,26068515,28990147,5113476,5153161,5186864,5221835,4847555,4727677,5001475,5536487,0.1565544914235955,0.1914452273924685,0.22341441141497814,0.25033329834273643,0.26201940470229523,0.2719412655477845,0.3066299185775533,0.34315499855198506
15,16000,96225795.79824913,14193602,18664842,23113612,26170122,27326364,28853284,31807007,34907105,6723140,6796182,6951450,7093642,6860742,6899337,7036701,7588978,0.1585830260947146,0.20870985803547576,0.25890542006585404,0.2936103402060287,0.30578355675465824,0.32300937917137656,0.35662439530246703,0.3938217308235713
