,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292271856,182342,764984,967049,1443841,1604623,1685496,1695627,1709415,0,0,956,0,3405,979,3894,3428,0.05874305362566242,0.24644621718953252,0.3116391857663012,0.4651458758263596,0.5175108724989044,0.5431684375057089,0.5469470524630118,0.5513116851982757
1,2000,9312181.820188012,573967,2763975,3585757,4904028,5406547,5653351,5716388,5751739,1958,1958,3940,1469,5408,7345,11774,10281,0.061649108666477714,0.2968752474034705,0.38522387678230446,0.5267081151259235,0.5809260120056059,0.60757121368688,0.61463842344544,0.6183401770439158
2,3000,15520302.808601486,617159,3011637,3936923,5587394,6231750,6701431,6881234,6926238,293423,299306,273240,270912,271960,264069,278266,305185,0.04053089061958538,0.1978606945307356,0.2582086169264694,0.3664011284207108,0.40868375522648354,0.4392585407429797,0.45146420300709006,0.45522079336674115
3,4000,21728423.459529646,775004,3450147,4361134,5437929,5835592,6193673,6401881,6475427,388236,385644,370399,370783,372211,379870,394198,444237,0.036316644428252914,0.16165406228097878,0.20419182533776545,0.2546128169122554,0.273250325218413,0.29012143664634316,0.30007562318792247,0.30423652848148836
4,5000,27936543.637849838,365821,3559617,4117902,4711956,5051034,5600427,5856581,5927281,2183073,2096869,1734959,1879871,1870400,1760387,1816255,1834344,0.014204726234543061,0.13775781041708202,0.15716232651255113,0.18083490802871846,0.19377757101996287,0.2139514626796652,0.22421578418216517,0.22707975121778887
5,6000,34144663.20869061,425635,3434910,4088578,4644916,4934901,5194728,5344842,5408513,3160480,3049238,2842083,2569894,2746891,1858769,2115711,1583614,0.013737170256617111,0.11046351599784537,0.13061472801097967,0.14710847035174962,0.1571736035028009,0.16089775821050978,0.16687533095602644,0.1661037691179944
6,7000,40352782.036861256,315876,2684842,3155598,3634412,3861568,4049498,4134684,4182287,4604694,4457783,4189840,3647127,3977418,2438719,2882365,2203853,0.008836164878924094,0.07479710466750214,0.08726054414443014,0.09901504267803371,0.1061588825911639,0.10680728140539697,0.11034528908318618,0.10963052189378321
7,8000,46560899.98757136,317313,2288524,2594386,2906135,3116218,3412126,3646673,3711656,3094654,2978566,2660327,2324877,2591065,1783467,1983349,1786680,0.007300216358475765,0.05251035891406441,0.059096859640863766,0.06569611831553016,0.07087172378247131,0.0762019118189979,0.08180514450012578,0.08289716718750878
8,9000,52769016.92555562,260783,1751981,2179345,2589252,2789112,3199942,3385617,3432160,1657616,1434625,1402494,1007449,1200097,838582,1103002,1089359,0.005102247155773203,0.0341287961984764,0.04242734130862775,0.050022673264533,0.054085135077995325,0.061619780473382256,0.06552889757180341,0.06641220429407671
9,10000,58977132.71606514,48754,1077477,1269714,1435969,1534158,1718779,1834407,1869624,3390817,3387289,3046872,3092560,3047332,2119946,2463894,2331121,0.0008770863722833403,0.019382623299022073,0.0227017357642192,0.025695266693650534,0.02743006376490328,0.030229758088160117,0.032459774765634324,0.03300539514364016
10,11000,65185247.22380483,80539,641220,731900,814112,881151,920242,951814,975818,3865337,3936370,3730598,3405616,3589494,2744303,3505786,3334936,0.0013134233188869572,0.01046908986848799,0.011909595274632112,0.01317767658810996,0.014305385580697189,0.014737797633258231,0.0154316198798548,0.01577709118502267
11,12000,71393360.31407803,66683,712682,802702,864161,904411,945364,961004,973728,4002458,3827634,3333717,3576651,3732232,3058171,3268021,3617498,0.0009894955804156053,0.010547981038302037,0.01179409648528032,0.012742597049317598,0.013366773840982817,0.01383421937495447,0.01410641047334071,0.014366884710188963
12,13000,77601471.85152137,73057,500591,622954,707033,736606,775128,790434,812556,4162473,3854336,3587206,3203632,3318851,1844271,2481454,2304450,0.0009947984196748965,0.006787938192038587,0.008416674715786499,0.009503407644779109,0.009916262936822774,0.010231740234425963,0.010522281844532225,0.010791343137080293
13,14000,83809581.70150375,55983,608017,716438,777140,847507,925480,957502,967950,4117611,4057453,3731477,2989092,2821031,2014428,2295907,2364224,0.0007024923528330267,0.007623834120787996,0.008946740219071972,0.009615630923175914,0.010464528537170921,0.011314606772148968,0.01174651987542326,0.011884655274613994
14,15000,90017689.72856629,66407,594744,688904,750956,795107,882042,916628,934019,7492769,7456537,7074737,6646561,6321907,4557235,5532290,5126503,0.0008046902609990994,0.00720367848975318,0.008305756876710941,0.00900738674709453,0.009499964921513558,0.010321054373060407,0.010849543269546357,0.011002543797467
15,16000,96225795.79824793,76156,309504,424565,515036,542132,596846,614820,624161,9380721,9351358,9111496,8606003,8133588,5907889,6542919,5878551,0.0008769178928905295,0.0035626590265685956,0.004873654508883959,0.00587807826920927,0.006154142500794293,0.0066082798102621455,0.006855489274536867,0.0069084674512631524
16,17000,102433899.77489758,108635,401164,489493,569762,599621,645017,662282,673095,9436015,10142962,9861032,9521605,9161221,7226378,7350884,7409133,0.001168144848272111,0.004346732297578988,0.005287650817842902,0.0061322562463922104,0.006428688527828319,0.006774853372667718,0.00696530284197029,0.007083363872857298
17,18000,108642001.52419567,12678,85907,110317,121723,128599,137128,139972,143900,8060811,8023964,7740111,7665037,7355536,6577285,6665221,6665395,0.00012604742431389493,0.000853793237413738,0.001093309544815185,0.0012054531503651335,0.0012696563093050157,0.0013435397135257035,0.001372586968136235,0.0014111079482318064
18,19000,114850100.91038716,14174,21657,26062,30469,34876,50061,52024,52025,6036347,6077066,6007874,5334908,5389487,4697724,4911865,5022555,0.00013025926861849564,0.00019910265460407677,0.00023944750801044865,0.0002782171056844307,0.0003186168865136474,0.000454470447248963,0.0004732111586946492,0.00047369719107125775
