,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629225915,636554,892341,1081829,1261786,1470681,1643022,2107115,2355310,0,0,0,0,0,0,0,0,0.20507138101833491,0.28747537712320087,0.3485205765036183,0.4064952817350935,0.47379261414966495,0.5293137590581579,0.6788253361292974,0.7587835037189216
1,2000,9312181.820185054,2000767,3085217,3563016,4124154,4660848,5293787,6472736,7135802,192016,193097,168924,180669,175805,180128,181749,195983,0.2193783577456274,0.3383252882099403,0.3896877972897287,0.4516397316864767,0.5101418310267982,0.5796929260643281,0.7089188571313327,0.782760681370829
2,3000,15520302.808606243,2995181,4716349,5418056,6824889,8032901,9354940,11041989,11956232,285744,287905,269793,277113,276441,276573,278602,295622,0.19660438071288122,0.3096261704336058,0.3552704839376882,0.4477336493013225,0.526959710134925,0.6136910137779027,0.7244591098235657,0.7853190585934224
3,4000,21728423.45953078,2780770,3996615,4853470,6302390,7769033,9513704,12744124,14025621,528881,535370,462468,495722,496465,499548,492075,533613,0.13117122717664295,0.18858136736321365,0.22822722492935613,0.2968246886535971,0.3659122174154675,0.4481492210049586,0.6001090076425306,0.6617478852561773
4,5000,27936543.637841575,3054425,4786563,5818314,7188379,8416009,10061128,12730661,13845371,834240,850550,757304,776324,762462,777878,781228,856781,0.11269982953534846,0.17671727550407235,0.2140719930920797,0.26466571684069273,0.3097072096920542,0.3704573757107311,0.4688091705426367,0.511281106306756
5,6000,34144663.20869115,3367580,5483577,6518371,7476010,8271422,9430335,11592389,12499412,493426,677773,644984,759524,764125,780958,772390,863693,0.10007299223846221,0.16385080794199242,0.19458010207777976,0.22393226978229197,0.2477917506388919,0.2826525093964511,0.34736587847965333,0.3755723442442145
6,7000,40352782.03686589,2957028,4574321,5183073,5681716,6095546,6881873,8164264,8972418,388289,373666,296083,332385,381225,449969,477933,554027,0.07399138023025194,0.11441776240830055,0.12939341295271975,0.14197050555910604,0.15249708672539475,0.172465860831463,0.20474720775624283,0.22544469020924854
7,8000,46560899.98757663,1520751,2223668,2704479,3160220,3676628,4442666,5882894,6616382,539497,641768,539015,659195,643278,643511,711567,846778,0.03304442935845574,0.048425741161692924,0.0587650636372252,0.06884755154204661,0.08007008727487543,0.09675345436566533,0.12830926028071188,0.14473387461752152
8,9000,52769016.92555156,570181,1228291,1852659,2119836,2409653,2805875,3608914,4030855,292334,305584,258030,268393,260907,268929,270629,367167,0.010865416185106693,0.023412326100409997,0.03528135935869273,0.040377348715055855,0.04589106336938271,0.053445148586777756,0.06874332989267848,0.07692199809218038
9,10000,58977132.71606296,532729,1009954,1540253,1780560,2078480,2669919,3518749,3992378,269222,274411,208789,285743,272801,303042,305739,357214,0.009074228557996375,0.017204551517815636,0.026208889048186797,0.03033766977769632,0.03540590513921609,0.04550422456345058,0.059973843761557726,0.06810616745031435
10,11000,65185247.223802626,553757,1196975,1392731,1599945,1782478,2211940,3066262,3332718,265703,313843,274325,287726,245428,327849,398505,540944,0.008529896606959943,0.018451504392759943,0.021456034705501226,0.02465340693803239,0.02744815155485776,0.03410466747937199,0.04732854122233447,0.05155470526864404
11,12000,71393360.31407827,745181,1264790,1571394,1788909,1910176,2153272,2811616,3036273,624332,741194,763549,821431,864689,939790,926344,1088321,0.010529761645063581,0.017901645002327066,0.0222483108869184,0.025348733092424237,0.02708368050056699,0.03056299333590658,0.03989974525767285,0.043187131813352105
12,13000,77601471.85150814,757345,1367819,1521511,1755492,1882571,2184369,2733757,2850378,610551,878998,778747,856202,852655,874438,863164,1111833,0.00983680921885174,0.01782813993520769,0.019805480773312227,0.022874269689801635,0.02452899050733714,0.028469352851922664,0.03562441076091924,0.03726489028838968
13,14000,83809581.70152396,907485,1759917,2084692,2414911,2673884,3011239,3889621,4098829,1257138,1307142,1088925,1208828,1214704,1293854,1265842,1405549,0.010992830245959725,0.021331696448820183,0.025201589096688033,0.029235943884074335,0.03237348458414951,0.03649290970192082,0.04712193818773864,0.04974063605414056
14,15000,90017689.72856307,540802,1171416,1366509,1553658,1708864,1958287,2432338,2531387,3683817,3780247,3723549,3759504,3742704,3770902,3772042,3850548,0.006264076693284706,0.013583612441837985,0.01583547838199506,0.018011716649003553,0.019807178008425286,0.022705622453593803,0.028202443416683293,0.029377636872001345
15,16000,96225795.79823434,521014,986097,1042766,1216692,1280274,1436274,1847004,1923237,3643449,3715096,3610791,3673530,3708502,3787630,3786803,3857743,0.005627573916822946,0.010659275112507803,0.011259147502844806,0.013145999068811682,0.013838212807997564,0.01553767307688654,0.019980788886692406,0.020821452241729658
16,17000,102433899.77491689,528574,942617,1048593,1204895,1327451,1541247,1995899,2091176,3329707,3347461,3290382,3292415,3292374,3303229,3279993,3330999,0.00533351803995301,0.009513077790001446,0.010576515979396607,0.012153287826337279,0.013389455020227752,0.015547630092199305,0.020129302666114467,0.02110105742262269
17,18000,108642001.5241704,352859,834224,939329,1074337,1205506,1485368,2018031,2116303,3849910,3886161,3779950,3807507,3716827,3775087,3765313,3857474,0.0033672292905673395,0.007963508247614307,0.008957759135424577,0.010247934183078485,0.01148919699649679,0.014164314900841702,0.019241940496003692,0.02019671272089133
18,19000,114850100.91039753,250596,500176,528904,644590,666014,818313,1061019,1084340,4223936,4536408,4380167,4455740,4368318,4466104,4456241,4567821,0.0022652507225842285,0.004534124339453206,0.004787764247501003,0.0058389757835836074,0.006028269841917268,0.007413330037906243,0.009611213892341371,0.009832404633645656
19,20000,121058197.79919648,57389,204841,211329,300278,332653,396463,614218,623917,4173110,4298095,4108824,4262046,4213901,4218278,4258106,4378602,0.0004909864986249727,0.0017543749541937682,0.0018070126682581003,0.0025709579928305977,0.0028469767811747197,0.003393215269929743,0.0052587116203296124,0.005347267409751317
20,21000,127266292.05495334,43577,245605,259310,289804,364507,414412,625447,637604,3959530,4065852,3679345,3856688,3891177,3982932,4009441,4158294,0.0003534031651936438,0.0019935399572472983,0.002098198929411995,0.002348309940861268,0.0029544612772003697,0.0033614593227770284,0.005074338624156057,0.005179224827580937
