,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629226292,1012402,1498682,1596781,1946900,2333406,2645426,2786543,3039474,0,0,0,0,0,0,0,0,0.3261540675036196,0.4828133786721674,0.5144168206527616,0.6272106870816109,0.7517269405210094,0.8522468843204877,0.8977089473585974,0.979192858342335
1,2000,9312181.820187626,2689573,3912354,4185705,5016487,5964670,6773115,7217648,8157535,647275,665158,644204,662087,660244,656558,665406,669668,0.3103983754024675,0.4524509335646896,0.4828929061460608,0.5799343364760005,0.6894027816615365,0.782510324004952,0.834721305385177,0.9438845189862713
2,3000,15520302.808603454,3103875,4174942,4438698,5162120,6073147,7046042,7529230,8636080,5511699,5539636,5465124,5496728,5498311,5472412,5518341,5536815,0.31012067810416183,0.41830291302793016,0.4414340196717479,0.5149979023022045,0.6059820359049247,0.7012458767930543,0.7527753198900972,0.8650363646017276
3,4000,21728423.45952026,3394920,4740226,4945394,5769611,6860669,8205762,8669575,9752991,10504736,10514724,10373898,10447394,10440143,10424248,10443048,10468616,0.3024781304935865,0.4227174107092392,0.4355438734653158,0.5114436604126517,0.6077691836770301,0.725905399238048,0.7682132536127905,0.8661774222217064
4,5000,27936543.63785433,2896056,4160683,4362590,5113455,6150615,7579695,8278946,9744652,13785251,13704861,13080115,13353990,13275482,13187579,13326591,13397558,0.2046495733013907,0.29235355410000163,0.29364998185930613,0.3506556620320713,0.4195204380097097,0.5139137007994542,0.5666648075606544,0.6702429070862003
5,6000,34144663.20869152,1257661,2050486,2377893,3041981,4141239,5910833,7079543,9179737,15253838,15333031,15212516,15269256,15264308,15253253,15273240,15336187,0.06657522824473332,0.10900096159931384,0.12560080870849863,0.16116107940703206,0.21934115932806134,0.3128846885808745,0.37514621561448575,0.48806383346238236
6,7000,40352782.0368664,2388797,3487222,3682168,4327240,5601482,7483525,8393280,10627922,9833978,9916517,9835020,9879013,9874094,9876557,9883062,9917132,0.07827295581813619,0.11457457068980206,0.12065655389644325,0.14199884480206615,0.18378356683937846,0.2455528856000817,0.2754629839015479,0.3491931989994137
7,8000,46560899.98757246,2262932,3621073,3820449,4473811,5845550,7580129,8651461,11263172,4457060,4731890,4667967,4679510,4660410,4667166,4677756,4724663,0.053746451645929116,0.08656846052717558,0.09119554845045909,0.10682097708140828,0.1395103017108814,0.18093705856461978,0.20656188089812588,0.2692204847043425
8,9000,52769016.92553678,697890,1328668,1429480,1902828,2818475,3762681,5279499,7935164,4171446,4351073,4258283,4256288,4226275,4232413,4293068,4322093,0.01436059429944217,0.02744164440446693,0.029467292789142903,0.03922327278106105,0.058061718151880715,0.07752254372334286,0.10890965761412455,0.1637908737445621
9,10000,58977132.716085315,407364,750795,816810,1039243,1536309,2105092,2771481,4058912,4853267,4967734,4825591,4949748,4980225,4980227,4968296,5001284,0.007526513389433188,0.0139011916045715,0.015083781072799497,0.019235485957005635,0.028451795945017493,0.038985419110282596,0.051315324834141016,0.0751986693409863
10,11000,65185247.22379768,492240,938843,975061,1215470,1602614,2205246,2709109,3840317,4841858,4892167,4796293,4854407,4923149,4903844,4894883,4913030,0.008157314435462217,0.015571322555012519,0.016146346836649714,0.020146744111157834,0.026594062391394183,0.03658252598754073,0.044934361151705675,0.06371620585551815
11,12000,71393360.31407952,673547,1483388,1572016,1898815,2575124,3366249,4031638,5930560,6443183,6908428,6302079,6750767,6727622,4474707,4579357,4515204,0.010370210334344883,0.02300363738888689,0.024150945691400395,0.029374053586838807,0.039822076839093695,0.05030359747678528,0.06034121291981354,0.08867708571612445
12,13000,77601471.85150516,1448854,2228695,2346491,2805107,3661351,4408687,4888118,6330225,7736208,7835113,7415619,7663125,7651014,7213439,7288090,7217917,0.02073783050586427,0.03194512422159921,0.03343253525699202,0.04010828288457937,0.05234205911521731,0.06263404191591533,0.06951902854456947,0.08993897812287933
13,14000,83809581.70150667,763401,1325430,1418079,1673530,2296836,2856058,3461070,4808684,7865319,8022561,7869569,7887732,7811894,7502273,7468843,7479033,0.010052122080643423,0.017488878540565852,0.018673673463473952,0.0220427980427193,0.030222445833104798,0.037428367591525444,0.045337130068033936,0.0629981584280827
14,15000,90017689.72858214,289291,495323,532061,713160,1196366,1707772,2429023,3485876,5152898,5182354,5055732,5201049,5213341,5041144,5042351,5096189,0.003408845931363641,0.0058386401815478306,0.006262343926910347,0.008408255666268967,0.014107366166197339,0.0200969807063549,0.028585034627028542,0.04104821476414104
15,16000,96225795.79824436,67165,139596,151901,196091,313998,399466,900699,1281598,4431543,4869040,4722747,4853178,4885501,4822666,4856379,4846598,0.0007316906881700178,0.0015280314934594326,0.0016600649048856006,0.002146058685031652,0.0034376722857482537,0.004370375509916869,0.009857773328999805,0.014025051990822171
