,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292270557,704233,976537,983689,999237,1020692,1024268,1130379,1150422,0,0,0,0,0,0,0,0,0.2268747566877782,0.3145998473113485,0.3169039260180137,0.32191284879922616,0.32882476276056605,0.3299768021138987,0.36416137924518455,0.3706184051844591
1,2000,9312181.820188459,2360602,2677542,2685587,2734363,2747772,2766545,2879315,2900394,0,0,0,0,0,0,0,15197,0.25349612427909257,0.287531112654522,0.2883950347895644,0.29363290502683315,0.2950728468427167,0.29708880833944146,0.30919875230075017,0.31197146774960594
2,3000,15520302.808600144,2068416,2265557,2282515,2447154,2542759,2571938,2847460,2882353,0,0,0,0,0,0,1034,4610,0.1332716265596213,0.1459737627505956,0.14706639607155136,0.15767437209047092,0.16383436788301584,0.16571442140773388,0.183479005043205,0.18577017704309984
3,4000,21728423.459528636,1000614,1455893,1500366,1666114,1778462,1839851,2484393,2590866,0,0,0,0,0,0,19527,23103,0.04605092504128262,0.06700407890667938,0.06905084498167029,0.07667901001208413,0.08184956461809406,0.08467485013014896,0.11444123862452396,0.11936548022089256
4,5000,27936543.63784937,395749,776758,808032,852548,904738,954410,1635731,1763641,1788,1788,0,0,894,0,894,2682,0.014166903950424812,0.027806149803850613,0.0289238357641799,0.03051730418235917,0.03238650297124973,0.0341634961136328,0.058553533610465454,0.06313631186639554
5,6000,34144663.20868963,118452,403541,414535,455366,497954,532594,1134033,1261308,3576,3576,2682,2682,3576,2682,7152,5364,0.003469485294242518,0.011819805196399554,0.012141503958607264,0.013337421669135673,0.014585182860645989,0.015599387649608543,0.03321955701654473,0.0369459253480796
6,7000,40352782.036870435,60915,211945,215522,232507,240875,253727,631553,721247,2682,894,0,1788,2682,1788,1788,2682,0.0015096616847130025,0.005252418419835549,0.005340945261297648,0.005762113314669482,0.005969625844295238,0.006287998748386688,0.015651485547615578,0.017874726440354573
7,8000,46560899.9875699,37757,116608,122220,128422,134665,137109,458605,508550,0,0,0,0,0,0,3576,1788,0.0008109164558691901,0.0025044189444604847,0.0026249492607021857,0.0027581511533128463,0.002892233613094909,0.0029447240074097197,0.009850329888428308,0.010922673957694253
8,9000,52769016.92554945,32000,162935,164474,169894,177954,188025,570759,665396,894,0,894,894,894,894,10727,9833,0.0006064267255659028,0.003087702017073411,0.0031169196643976967,0.0032196331910404217,0.0033723769225423336,0.0035632307835790273,0.010818375667699503,0.012611946404231088
9,10000,58977132.716065526,30563,51419,53207,58570,60358,61252,200993,234379,0,0,0,0,0,0,18774,25925,0.0005182178005692461,0.0008718463857432209,0.0009021632207207366,0.0009930967699290233,0.001023413604906539,0.0010385720223952967,0.003409067083565736,0.003975813373135127
10,11000,65185247.22380656,40702,40701,40701,44278,44278,44278,46346,46345,1788,0,894,894,1788,1788,5363,0,0.0006244222151550781,0.0006243897466593549,0.0006243983101321196,0.0006792734423240214,0.0006792827586515785,0.0006792827586515785,0.0007110475962317282,0.0007109737551639469
11,12000,71393360.31407624,31611,31612,31612,32505,32505,32505,37869,37869,12543,6257,5392,1788,7151,11621,9834,12614,0.0004428500707817804,0.0004428250836978097,0.00044281971803596993,0.0004553058427821039,0.0004553400483416693,0.00045536856221700553,0.0005305005504124633,0.000530521211327434
