,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292266604,7112,383416,449134,553452,672357,921997,1303439,1446637,852833,776908,806120,814690,790421,804272,814177,775559,0.0031591652073154003,0.16475756475303194,0.1954506545067484,0.24174853688367345,0.290605758782208,0.40090510418343783,0.5692162620683906,0.621273776166717
1,2000,9312181.820187885,36450,2117076,2414262,2933198,3427869,3925003,4771074,5128898,875586,794856,827276,804178,790133,759490,758667,733350,0.004320462989678727,0.24856111468485528,0.2845360987102317,0.34475748506836296,0.4022353159817296,0.4589201952460595,0.5577910485101841,0.597855058532628
2,3000,15520302.808601005,56882,1944471,2594321,3676232,4676703,5739164,7524065,8057949,1015407,768555,832162,869807,944463,884964,863907,847458,0.003921572464262069,0.13181292313486245,0.17662691512875686,0.2509288455508625,0.32085307340166713,0.3921442526924737,0.5133639332791868,0.5491742811371214
3,4000,21728423.45952826,77360,1372296,1832781,2622737,3632975,4925267,7306621,8011003,1031641,916695,976451,928126,925335,892426,938464,930529,0.0037377790558157735,0.06593858855446098,0.08831839978461803,0.1260913217757167,0.17463632897912423,0.23638258785387234,0.35144950687488224,0.38518336630609606
4,5000,27936543.637848556,41588,1196413,1720141,2559578,3480471,4806828,7222949,8060960,1028087,922325,945842,926827,832191,807136,804566,840362,0.0015455364296703541,0.0442882696715778,0.06373087380536556,0.094765081556364,0.12841003976386675,0.17718145800183038,0.2662153528360621,0.2974943151672806
5,6000,34144663.20869215,46425,690797,1061585,1586955,2425818,3675067,6566088,7951087,1175572,1046644,1093881,1034608,1016482,978085,1003892,1003073,0.0014081370853122048,0.02087124899059168,0.03211981469294272,0.04792969960326094,0.07322520921744764,0.11080633572976951,0.19812719380162913,0.23991265808104295
6,7000,40352782.03686564,58550,1039345,1522820,2175992,3189633,4483534,7436004,8686653,1253640,1066199,1110401,943197,953557,936517,1019720,1010727,0.0014974753140310501,0.026455469518046462,0.038805494461954554,0.05521479096936625,0.08095674463179106,0.11374832181097311,0.18905225311546983,0.22079815077936665
7,8000,46560899.9875716,81549,1217465,1665497,2445279,3491795,4757875,7408486,8516072,2264642,2093105,2065505,1980097,1865187,1832949,1722130,1742139,0.001840990722577076,0.027378578144931,0.037430772340940104,0.05485049250193416,0.07812371179694466,0.10637364097725055,0.16522500510280463,0.19001132142768376
8,9000,52769016.92555088,144612,1525166,2062969,3025894,4187467,5643474,8781907,9940639,1975335,1645273,1686258,1668759,1661654,1658398,1679861,1658652,0.002847047005018462,0.029832830753182476,0.04038483910014758,0.05921484788606143,0.0819347107793444,0.1104168589353308,0.17189375790035247,0.1944936025105647
9,10000,58977132.71606526,80660,1572285,2238132,3501226,4886906,6431610,9591798,10773646,2790119,2353497,2344219,2264399,2281711,2161039,2242400,2401072,0.0014355630361066389,0.027767291522644337,0.0395199867557777,0.06173615289873062,0.08619577828477891,0.11320049618584399,0.16906394973257616,0.19042764490212608
10,11000,65185247.22380364,18780,936072,1177138,1646062,2327056,3322586,6017713,7061650,10539010,9100556,9081457,9534041,9142215,8978691,8618512,9027883,0.00034366501618558873,0.016690329920238722,0.020981434503877162,0.029578190872993716,0.041522664061199914,0.059113851180814296,0.10638254048410607,0.12574753280544373
11,12000,71393360.31408352,97668,827299,985839,1212265,1704186,2584624,4905738,5707349,17537404,15521118,15050721,15575769,14895711,14795123,13989360,14811038,0.0018135041448416262,0.014806976876807139,0.017497210141406667,0.021718332365483668,0.03016383903914365,0.0456661571571039,0.08545986295656166,0.10086805854872845
12,13000,77601471.85151029,32890,1066641,1433654,1881520,2606447,3664290,6500101,7468129,23763962,22398549,21480224,22443997,21593442,21587382,20491736,20483347,0.0006109123562868008,0.019322183408098617,0.025545654362377452,0.034111786390969664,0.04653702347521006,0.06541729071585015,0.11381773883354607,0.13074884757535124
13,14000,83809581.70149326,6904,590333,815309,1183898,1852012,2993688,6004608,6934603,29863606,29235749,28932127,29248400,28412183,28606905,28038940,28512435,0.0001279798893285916,0.01081714387239376,0.01485690261027749,0.021698540300632792,0.03343138926034226,0.05423084855446908,0.10766610920740448,0.12540616313233274
14,15000,90017689.72859406,8211,545212,739567,1128516,1546677,2349419,4915879,5741270,33082969,32533167,31542107,32379629,31090275,31680726,30923847,31672248,0.00014421779706519624,0.009484500768565999,0.012647449849838914,0.01957935408885377,0.026247155201422526,0.040273247866145355,0.08318766851188925,0.09840134601614141
15,16000,96225795.79823065,8002,331814,491488,768231,1112691,1780008,4006118,4646615,37477751,36765541,36369211,36440302,35665143,36201416,35463009,35927986,0.00013620878835172743,0.005580433537090624,0.008211093259943696,0.012849789325027467,0.01837316720655476,0.02965475038615009,0.0659304520265462,0.07706109086795303
16,17000,102433899.77491784,28002,381689,589594,873613,1293509,2096506,4501534,5251323,41165225,40742581,40411241,40609146,39592812,40139425,39275525,39749106,0.00045703616249038656,0.006187077980819325,0.009506106504393095,0.014130472774392557,0.020583809825715435,0.033654766455212724,0.0712737466098906,0.08377347493326555
17,18000,108642001.52416861,9336,634708,893211,1304775,1734800,2575873,4615497,5258829,45189290,44904327,44522761,44437430,44465475,44273230,43899734,44023413,0.0001471331921953248,0.009958129234214935,0.013930467558537597,0.020322151040426176,0.027031690463127225,0.04001743297264628,0.07129032047382357,0.0813826039860511
18,19000,114850100.91040659,15116,666620,952965,1260884,1782817,2658503,4630077,5285954,49362271,49031226,48866472,48937699,48656662,48627408,48177251,48332180,0.00023082151325948787,0.010128097766900617,0.014442446039061417,0.019129692796112853,0.026933439769054133,0.040144894192036526,0.06944471409609441,0.07946661482579537
19,20000,121058197.7992065,24002,681515,929767,1220280,1600037,2374504,4002094,4625595,53059662,52790970,52572333,52765537,52299592,52352406,52113550,52443366,0.0003529781886903525,0.009983047825005156,0.013576042336998754,0.017868391503852176,0.023270352582083115,0.034560463358598886,0.05804792870442456,0.06741392318116116
20,21000,127266292.05493474,18999,866181,1057036,1340363,1714982,2321712,3802794,4332956,57093234,56833217,56793564,56784514,56645613,56491211,56501359,56709949,0.0002707449344038377,0.012297929620770021,0.014999220679750352,0.019017156447944567,0.024284416731053263,0.03280408818179828,0.053738396064727356,0.06141128936666101
21,22000,133474383.54326653,7671,820246,981960,1348656,1721529,2215245,3342057,3757263,61294096,60436666,60561615,60822625,60562915,60281326,60342510,60462636,0.00010627555335522631,0.011230444044395249,0.013467599977599309,0.01856329464064976,0.02361122378132357,0.030265780312436114,0.04569904800842769,0.05146107477804798
22,23000,139682472.12841773,10266,585506,831538,1088241,1424823,2201388,3796390,4403027,65910176,64954734,65287111,65513189,65359486,65233604,65214607,65273394,0.00013915792972106567,0.00783518964529373,0.011177282929840729,0.014672394744813758,0.019170690982977235,0.02956912650710552,0.05098024488083864,0.059173250237035666
23,24000,145890557.67619228,3072,439112,583232,769995,1043015,1822686,2948198,3486622,69510632,69027210,69167034,69108655,68871458,68882595,68893721,69031347,4.021999200449008e-05,0.0057128919475362755,0.007601736365257426,0.010028339662892358,0.01354229021612948,0.023668799130086585,0.03828985874313969,0.045363749761744655
24,25000,152098640.0507481,30235,758025,962945,1158229,1560625,1981438,2851528,3272039,73366344,72868917,72728542,73000807,72486823,72391143,72502021,72689703,0.00038402284090015065,0.009567432155662981,0.01213233980616109,0.014642992801798954,0.019602931547275052,0.024858866145783746,0.03582473770879593,0.04120492127868338
