,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292278846,107696,1623843,1784943,1901238,1922429,1936079,1992391,1996853,0,0,0,0,0,0,744,1487,0.03469519860080462,0.5231350781972067,0.5750348376552147,0.612500278537704,0.6193271426138967,0.6237246082662977,0.6420198896996577,0.6436118005995373
1,2000,9312181.82018811,126464,3932634,4535681,4734868,4794480,4825230,4951189,4967045,0,0,0,0,0,0,0,0,0.01358049084972069,0.4223106975289448,0.4870696349771634,0.5084595738600337,0.5148610811706799,0.5181632074171129,0.5316894682260385,0.5333921841207846
2,3000,15520302.808603032,168504,4622262,6066999,6724556,6840512,6869569,7195248,7231133,2974,0,2974,0,0,0,2974,2974,0.010859085482971717,0.29782034906160737,0.3909821770765319,0.4332747938572773,0.4407460398393933,0.44261823269273726,0.4636911474100394,0.4660037232691077
3,4000,21728423.45952909,53915,1495235,2611649,3972946,4154226,4212360,5311948,5354044,0,743,0,0,0,0,743,744,0.0024813120979725453,0.068817055864987,0.12019505257085969,0.1828455712583072,0.19118856035448567,0.19386404208505298,0.24447837448154036,0.24641582226821196
4,5000,27936543.637837946,40853,742476,1271924,2322951,2558345,2612058,3530170,3564293,0,0,744,0,0,0,744,0,0.001462349835742303,0.026577231944841313,0.045530252095495015,0.08315098066941029,0.09157700512868436,0.09349968392160596,0.12636724367175525,0.1275853250211108
5,6000,34144663.20869845,257656,616608,662863,982178,1166387,1227572,1858816,1875078,0,744,743,2974,3717,5204,5204,6690,0.007546010878044373,0.0180590867800236,0.01941379302518198,0.028767703730071023,0.03416387445356823,0.035957570168165545,0.05444772832038268,0.05492645941623227
6,7000,40352782.03687574,54680,204016,238662,430323,442966,449985,609671,612647,0,0,0,0,0,0,0,0,0.001355049075675416,0.005055810026024061,0.005914387756014011,0.010664023105191515,0.010977334836423488,0.011151275755629152,0.015108524597953667,0.015182274159936294
7,8000,46560899.98756474,20083,296141,428263,593953,611777,616983,768288,769031,0,0,0,0,0,0,743,744,0.0004313275732505959,0.0063602937245433805,0.009197910695763579,0.01275647593063343,0.01313928640046456,0.013251096953984584,0.016500975291066863,0.016516933495785372
8,9000,52769016.92554325,12645,158267,210762,275513,278512,279255,405045,405788,2232,2232,2232,0,1488,0,0,0,0.00023963938712284196,0.0029993678830977327,0.003994217201169191,0.0052211129949369176,0.005278094420396107,0.0052920258187494195,0.007675810989079367,0.007689891221065655
9,10000,58977132.71606666,4464,38056,38057,94302,95790,97278,146851,146851,0,0,0,0,0,0,5951,5950,7.569035309822563e-05,0.0006452670424520776,0.000645283998176338,0.0015989587092000164,0.001624188826899425,0.0016494189445988335,0.0024902163349389103,0.0024902162927112285
