,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292264755,2948688,2983555,3012613,3028956,3035984,3040865,3044645,3059778,4881,4184,4184,4881,4881,4881,6276,4881,0.9514414628286529,0.962475400430532,0.9718493218718027,0.9773412200557079,0.9796089169435305,0.9811838498560891,0.9828459252056704,0.9872864325594739
1,2000,9312181.820187436,8009955,8250046,8386898,8459286,8484335,8505863,8565984,8649767,349016,346923,374819,360173,339971,355989,357383,372726,0.8936524394047746,0.9202239629070202,0.9384085852546946,0.9449595247184844,0.945623678492962,0.9497186104376422,0.956580284158824,0.9675943562992672
2,3000,15520302.80859978,11449654,12094907,12497722,12694760,12777293,12987326,13181224,13465261,686798,660212,715713,691592,640663,669746,680903,678810,0.7718778635081589,0.8139187812365506,0.8441788770628584,0.8560933019637679,0.8587098319823094,0.8745346162696873,0.8882585663849539,0.9072713354142965
3,4000,21728423.459531534,15109010,16283581,16958668,17238146,17391735,17556869,17888647,18298780,896486,894856,953456,912554,902413,902622,906958,936758,0.7252810752408897,0.7816031042993611,0.8163029873829901,0.8281251971488847,0.8350968148121833,0.8430344942122066,0.8591444744736272,0.8801016943840485
4,5000,27936543.637850836,17954334,19888491,20750899,21111358,21462486,21643053,21990897,22530270,1905332,1889080,2030935,1975137,1913452,1920278,1950978,1972077,0.6897233309683286,0.7635480857759627,0.8010195510203432,0.8131823631320642,0.8247477393801514,0.831904674609092,0.8462735545755387,0.8677347512756343
5,6000,34144663.20869233,17833678,19618771,21385393,22183427,22763122,23160310,24569723,25467510,1532245,1478148,1707386,1622674,1547336,1577796,1661135,1668217,0.5468370326260171,0.6005774070072704,0.6592844665232656,0.6821054781627846,0.6983125289465463,0.7111617415204846,0.7563748261011051,0.7841840155892308
6,7000,40352782.036863014,19628599,21719636,23689041,24532799,25066407,25613068,27140850,27960751,714679,719127,912157,739875,698850,715253,746720,764928,0.4951952161218616,0.5480099168193976,0.6006253952075845,0.6193132702220073,0.6321291663257458,0.6461822576321489,0.6852700976617893,0.706296203223438
7,8000,46560899.98756835,21812363,23893469,26407268,27427820,28192497,28606215,29342801,30354710,801898,780635,1036775,787017,755667,790304,779815,815160,0.476679168088629,0.5219163542737965,0.5800719510196243,0.5992023881270696,0.6154863792015098,0.6249910970739746,0.6409372125620856,0.6635527156900086
8,9000,52769016.925551,25147985,27945417,31286283,32688579,33480193,33873390,34759662,35748326,1076071,1003025,1720663,1024686,1023411,996014,1074128,1019716,0.48648775088613694,0.5398412347664591,0.6128754522746799,0.6317325669363058,0.6470151890417446,0.6542674383541082,0.6724003614759583,0.6907982399883863
9,10000,58977132.71606529,23867124,26764816,30830701,32308144,33096371,34077304,35690429,37364174,1400231,1369911,1744598,1406321,1362234,1465600,1442047,1427986,0.4145260215233242,0.4646086931933384,0.5386918673609918,0.561189655607797,0.5744411903439038,0.5925299220982305,0.6203245994301927,0.6492567854106776
10,11000,65185247.2238003,25980649,29503662,34656072,36606748,37428089,38237053,39763756,41248441,1077523,1136473,1602439,1066116,1138724,1247047,1087004,1115113,0.40526550138172834,0.4606436634822676,0.5450541265496912,0.5709177167767362,0.5843890833732465,0.5980314251286459,0.6203564091634157,0.6438013826522831
11,12000,71393360.31407458,28682072,32516935,37996313,40215980,41400184,42103545,43537441,45241290,891018,901476,1095355,981471,975747,950054,902594,910273,0.40682438424849493,0.4612862220439693,0.5405034300794399,0.5711532582319342,0.5879237033403576,0.5976940493434464,0.6176332486728418,0.6418744087982918
12,13000,77601471.85152864,28776260,32017795,37233949,39037911,40436832,41464902,43210009,45073634,956877,958254,1108529,1012269,1014540,1011175,963072,935855,0.37545061143246516,0.41775118396025707,0.486763191635474,0.5097051483311116,0.5279860548323153,0.5413858374302987,0.5638166908979132,0.5879250158162821
13,14000,83809581.70149308,24876771,29033319,35565319,38482003,40208261,41313695,43307627,45450084,1601350,1626693,1879105,1731558,1776971,1816255,1774922,1820459,0.30260681302974896,0.3532769346360604,0.43409144474502814,0.46884660795384103,0.4901497179739053,0.5038665542917614,0.5279186524035983,0.5543428506422148
14,15000,90017689.72858584,27404881,31748412,38141028,41452571,43549458,44722335,46847031,49135311,2845196,2790064,2939799,2888870,2869468,2853537,2849211,2873277,0.31437532446101535,0.36397198404536596,0.43801047178418967,0.4757618791248236,0.4997171156931957,0.513081738306545,0.5374308658737335,0.5638377660887285
15,16000,96225795.79823875,27257635,33849587,40870116,44336575,47220195,49048025,51459546,54391475,1422975,1323757,1496636,1400058,1392296,1397310,1371331,1384931,0.2875192401501453,0.35667923923071926,0.43144176605227186,0.46755845015764785,0.4979273684980776,0.517228811439178,0.5425105303103823,0.5735025204136485
16,17000,102433899.7749033,26495174,32139079,38989898,42842283,46522419,48988053,52142803,55287622,1099738,1011949,1136212,1069014,1081198,1072444,1070611,1092027,0.26146339532421997,0.3168848435121282,0.3849041262090863,0.4226540845232938,0.45901508480082537,0.4833006059896118,0.5144150671333596,0.5455555584886689
17,18000,108642001.5241698,25267742,30958591,36781533,40995585,44572636,47145750,51123287,54229334,1359125,1254718,1565068,1438412,1440486,1464558,1454019,1431752,0.2355244640956977,0.2882891715296263,0.34350566260563986,0.38240869715241443,0.4157836368456059,0.43988500238268946,0.4769498016111295,0.5058222906922194
