,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292266212,0,0,2353,3137,5318,5318,5318,5318,0,0,0,0,0,0,0,0,0.0,0.0,0.0007580393172237268,0.001010611703413018,0.0017132397318299106,0.0017132397318299106,0.0017132397318299106,0.0017132397318299106
1,2000,9312181.820187217,784,3922,54118,77648,153898,155467,161741,193898,0,0,0,0,0,0,0,0,8.419079600662673e-05,0.0004211687524719261,0.005811527421283961,0.008338325163676726,0.01652652439263755,0.0166950133708702,0.01736875451136201,0.020821973168485854
2,3000,15520302.808602182,0,0,0,0,0,0,0,0,784,0,0,0,0,784,784,784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4000,21728423.45953238,0,0,0,0,0,0,0,0,4706,1568,3137,0,0,1569,1569,2353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5000,27936543.63783741,0,0,0,0,0,0,0,0,4705,3137,1569,1569,1569,4705,4705,4706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6000,34144663.208698675,0,0,0,0,0,0,0,0,3137,2353,2352,3137,784,785,2354,1568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7000,40352782.03685789,0,0,0,0,0,0,0,0,3356,1002,3137,3356,3356,2571,2571,1787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8000,46560899.98758209,0,0,0,0,0,0,0,0,23306,17032,18034,20168,23306,13898,11547,11546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9000,52769016.92555037,0,13326,13326,13326,13326,13326,13326,13327,2353,785,1568,2353,2353,2353,2353,2353,0.0,0.0002525383078743548,0.0002525420552128958,0.000252545812234822,0.000252545812234822,0.000252545812234822,0.000252545812234822,0.0002525647635939872
9,10000,58977132.71607211,0,0,0,0,0,0,0,0,49434,19615,18828,29815,48650,34525,4709,8628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,11000,65185247.22379571,0,2353,2354,7061,7061,7061,12553,12552,7059,3920,0,3919,6274,6275,3924,3139,0.0,3.609929561454207e-05,3.6112465630730603e-05,0.00010832856881585062,0.00010833248286614849,0.00010833248452822568,0.00019258584175869083,0.00019256818077905777
11,12000,71393360.31408173,0,0,0,0,0,0,0,0,23547,8634,21192,21192,15697,18839,18053,18054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,13000,77601471.85150814,0,0,0,0,0,0,0,0,3140,3140,785,785,1570,2355,4709,4708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,14000,83809581.70149773,0,0,0,0,0,0,0,0,785,785,785,785,785,785,1570,3925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,15000,90017689.7286079,0,0,0,0,0,0,0,0,1125,342,783,784,784,783,784,1126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,16000,96225795.79821312,0,0,0,0,0,0,0,0,196242,177603,172259,126437,113903,151186,109988,117503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,17000,102433899.77492738,0,0,0,0,0,0,0,0,503022,465606,480549,312418,244252,445057,204001,161708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,18000,108642001.52415526,0,6281,45527,65150,77710,79279,92624,94979,56696,14751,47013,22760,31392,44842,34804,25386,0.0,5.782158684577315e-05,0.0004192366574068308,0.0005998016473491175,0.000715491795327022,0.0007300283022813868,0.0008528348222906641,0.0008744426397531933
18,19000,114850100.91039884,0,0,0,0,0,0,0,0,3917,784,1567,1568,2350,3916,9409,9409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,20000,121058197.7992022,0,10969,68945,78603,93488,94272,94272,96622,39468,21081,16200,24909,30049,37632,37631,38280,0.0,9.062509327776966e-05,0.0005695956878898641,0.0006494329021365741,0.0007724484008683462,0.0007789750393037864,0.0007789750328670702,0.0007983975014783638
20,21000,127266292.05497074,0,0,3134,5229,16198,17765,17765,17765,88360,45398,48811,80156,36927,59548,30017,28423,0.0,0.0,2.4634979202628583e-05,4.1112971603603e-05,0.00012731337606692832,0.00013965454529928922,0.00013962213207141492,0.00013962038292487407
21,22000,133474383.54322767,0,0,10960,22702,36792,37575,39140,47751,94465,20347,73927,84267,27170,77237,47140,57491,0.0,0.0,8.21586393630405e-05,0.00017019251941835566,0.0002757045203351656,0.0002816776893186672,0.00029334339045473457,0.0003579082010512909
22,23000,139682472.1284213,0,0,0,0,0,0,0,0,120841,64144,93592,76577,78398,98496,78912,83615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,24000,145890557.676219,0,0,0,0,0,0,0,0,435049,162460,414669,291531,394696,254619,142511,156607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,25000,152098640.05073643,0,0,0,0,0,0,0,0,220424,50092,200008,63750,188096,51310,32043,69489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,26000,158306719.117913,0,0,0,0,0,0,0,0,69999,57322,69216,65300,48243,46483,21274,27680,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,27000,164514794.74186063,0,0,0,0,0,0,0,0,57129,16434,57129,8611,0,14086,782,2351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,28000,170722866.78808546,0,0,0,0,0,0,0,0,163326,113128,156679,137113,116747,45883,35306,43164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,29000,176930935.12177658,0,0,0,0,0,0,0,0,347304,275890,290416,338265,73699,339245,106686,289384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,30000,183138999.6070752,0,0,0,0,0,0,0,0,48410,38207,18609,43694,32948,35285,13336,13338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
