,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292265854,13605,801175,863731,966124,1039216,1106009,1320509,1437254,110804,90118,80037,80520,84902,89755,63020,78842,0.004545216693803944,0.2658229099090686,0.28562309885816106,0.3195339896084453,0.34420715425151904,0.36691999287536786,0.4342293185131957,0.4750909524735547
1,2000,9312181.820186703,50190,2088302,2184145,2463986,2571571,2783906,3428941,3698496,407267,387985,310393,337347,342190,345233,250817,294675,0.005636213373565734,0.23400447592955606,0.24263455226832342,0.2745438829088937,0.28668599164301967,0.3104630187843579,0.3784133039606885,0.4101461827254182
2,3000,15520302.808601793,28639,1570276,1660679,1844343,2023630,2409711,3301182,3676401,476205,403833,289309,295550,333250,375342,246170,302192,0.0019036701545256521,0.10387848617317112,0.10903287210727654,0.12114108013352896,0.13324705099160758,0.15910975475297176,0.21612893127005572,0.24158064336881904
3,4000,21728423.459528536,833,960497,1062748,1190496,1278710,1649550,2153830,2388196,419329,390936,273391,253704,310783,324492,211931,233594,3.9091290415089284e-05,0.04501453143542809,0.049533740021354106,0.055437092076737964,0.05970358884379872,0.0770676173729597,0.10010135267405913,0.11110560353579946
4,5000,27936543.637846783,2499,1476368,1628427,1826567,1968154,2305694,2905402,3090790,435748,412588,314995,261075,291148,363244,257281,259951,9.08700981931177e-05,0.05363938306781464,0.058954949316952665,0.06599949666261952,0.07119283173888025,0.0836205325544438,0.10496674127537439,0.11167523547582413
5,6000,34144663.20869602,17490,968609,1076352,1168322,1266393,1639272,2087169,2260776,598081,569606,412936,278796,384003,444541,254741,334367,0.0005213645876409491,0.028849064767911336,0.031909187256871835,0.03449851122371377,0.03751090743402596,0.04864290965618517,0.061586715577188325,0.06686649492939158
6,7000,40352782.03685965,0,671080,759683,788923,808377,1005504,1622827,1771042,726857,697708,487661,387670,391767,538017,275342,343084,0.0,0.016922928939086757,0.019056332459083475,0.019740292464897377,0.02022914080771875,0.025254550643941418,0.0404922819049188,0.044265317832901316
7,8000,46560899.9875758,4165,566273,699288,737354,796420,875694,998522,1079710,756679,663798,536778,335852,359337,528338,218716,285111,9.093048435710191e-05,0.012337881379815403,0.015193945474696349,0.015951395014196273,0.017237944963337446,0.019023360034497973,0.021546718649852598,0.023332071124489793
8,9000,52769016.92554596,833,460725,548215,562326,591264,686056,820107,915912,360270,314057,281092,152688,194287,248140,172829,201437,1.5894293393112306e-05,0.008783249489732685,0.010444592747334594,0.010687290646896174,0.011246163334311414,0.013062538939944943,0.015592517867662309,0.017423514670016217
9,10000,58977132.71606523,0,163830,213269,229046,243209,293765,385132,403042,683981,609884,550372,342810,474942,505922,316854,365369,0.0,0.0028068823459020914,0.0036501938047946375,0.003906346818554513,0.004157263121656274,0.005024096412617753,0.006565464884068549,0.006876469405569653
10,11000,65185247.22381008,0,73832,81328,89629,94037,117208,178388,192835,1194897,1083898,815960,773025,932243,956233,777124,810161,0.0,0.0011518010290581455,0.0012634596949508698,0.001391490572838341,0.0014635424621149923,0.0018248450706651246,0.00276965064453321,0.002995491133473265
11,12000,71393360.31407905,0,59657,61324,69650,76064,117147,248270,282382,2795439,2620682,2269738,2319255,2519295,2570793,2245330,2329081,0.0,0.0008674520385486733,0.0008871641552776319,0.0010083373455696946,0.0011043924829053353,0.0017021596922618027,0.003590413188522167,0.004088683800142619
