,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629226917,41411,1161275,1380114,1465453,1513128,1613092,1856348,1894985,140526,115478,130791,117228,119662,118039,106680,106248,0.013973516486562091,0.38857048443074077,0.4641738463385996,0.49063780329040524,0.5070126976944641,0.5402144392429035,0.6193234125486387,0.6321225621391432
1,2000,9312181.820184264,143289,2475125,3062255,3351250,3445411,3680199,4116270,4262861,624704,531963,569438,561084,558650,558017,546939,558092,0.016493739951437457,0.28189787187422927,0.35026246484887386,0.3829519528704612,0.3936023848174545,0.42039407248932015,0.46961277450536926,0.48695650690847847
2,3000,15520302.808605475,520870,2230111,2684280,2953666,3070295,3303990,3780516,3999756,1845569,1510791,1649816,1652312,1683413,1648393,1670650,1708269,0.03808995533589238,0.1591854898634036,0.1935245703369711,0.2129844215188813,0.2218919889128924,0.23817845167580035,0.27296828680434343,0.28958486892118557
3,4000,21728423.459527444,320331,1641549,2011567,2204688,2344776,2548486,3046455,3247285,4189446,4037464,4084438,4075507,4079420,4057348,4050489,4046478,0.018263949579682665,0.09279027538079321,0.11400865210494655,0.12489086463727693,0.13285599979494717,0.14421793432079832,0.1723309364549729,0.1836497577392021
4,5000,27936543.637841783,320321,2416336,2967878,3231910,3407073,3734041,4208660,4443625,6528266,6362776,6421809,6383706,6408500,6392545,6343458,6381640,0.014962483457043407,0.11200343123013852,0.1379462981978809,0.14995287647532388,0.15826208165107397,0.17332163182749188,0.19490776216921693,0.20615378638013362
5,6000,34144663.208699346,102844,1001164,1361210,1532015,1608892,1844998,2232550,2417466,9873754,9760029,9793736,9771784,9785835,9756304,9707307,9715291,0.004237336109482785,0.041057167043450235,0.055899719478185166,0.06285736645562917,0.06604964681451349,0.07565076371935213,0.09135808231191737,0.09895735262239509
6,7000,40352782.036864534,329943,1886690,2316998,2477614,2560819,2746396,3022205,3186991,12866110,12697361,12748860,12796123,12774206,12765379,12717484,12713304,0.01200374492617686,0.06822134428852311,0.08393727517798708,0.08990981078967217,0.09285537427954692,0.09955253839333997,0.10936031867535798,0.11530575923862625
7,8000,46560899.987564325,108817,1308488,1674046,1798220,1926527,2096102,2338370,2433137,16298129,16171815,16201722,16239426,16218647,16215465,16179710,16150912,0.0035957381445577284,0.04305782818190983,0.05514134805249733,0.05930516441046038,0.06349320865492687,0.06907470599314165,0.07696768957888565,0.08001111348662789
8,9000,52769016.92556259,91907,1641019,1967998,2126740,2242433,2413722,2605207,2720527,17839156,17712018,17751472,17744272,17728327,17733355,17713328,17732153,0.00263118711511216,0.046810025110375734,0.05620034197666935,0.06072107033241553,0.06399511552893596,0.06889328950394139,0.07431624024083247,0.07764756017490274
9,10000,58977132.71606293,92511,1040898,1365768,1503555,1538680,1657872,1889674,1982827,21082963,20899248,20979767,20985820,20960893,20940443,20954876,20966891,0.0024412990360568733,0.02733602477558065,0.035943754896214763,0.03957628448474982,0.04047428181987879,0.04358612729908194,0.04969915421147756,0.05216559828300348
10,11000,65185247.22380203,8636,1153372,1559490,1826325,1943795,2136489,2417743,2588896,24243171,24111287,24124891,24187731,24186493,24153979,24148319,24134156,0.00021093214601020617,0.028080369989052827,0.03798043035720154,0.04454721086102494,0.0474110747216685,0.052069777330466076,0.05891627625767742,0.06306521758181473
11,12000,71393360.31407338,60620,836361,1426151,1666182,1738553,1915837,2322767,2446367,26773210,26626860,26687268,26728963,26706263,26693730,26703375,26695888,0.0013585790180738184,0.018682742544810244,0.031900596231512965,0.03730447739580267,0.038905033096711665,0.0428602426136131,0.051975112179518536,0.05473166318690778
12,13000,77601471.85152519,69853,1220532,1680673,1889561,1971371,2143449,2506750,2620763,29262459,29167629,29180899,29226286,29217062,29214424,29210515,29212794,0.0014450646771491944,0.02519998265967792,0.034709895009989764,0.03906054244007468,0.04074392983296577,0.04429799078830219,0.051802034162938694,0.0541606656011866
13,14000,83809581.7015009,249498,1817237,2250981,2460701,2548122,2818227,3224691,3370028,31237340,31099260,31102038,31140690,31138969,31119613,31118793,31123915,0.00474581246538089,0.034475923146343755,0.04270699869354567,0.046720197074697094,0.048378438550561786,0.05348697426574334,0.06120027958336757,0.06396479746746749
14,15000,90017689.72858477,89126,2001232,2625172,2981469,3290712,3761453,4268840,4499515,33897432,33659702,33670285,33716201,33752836,33769545,33771484,33793680,0.0015881252796635646,0.035509287692061714,0.04658904900136888,0.05295542031531187,0.0584861024588106,0.0668724811840499,0.0758956083295507,0.08002835482067029
15,16000,96225795.79822814,130016,2604109,3309637,3686376,3866124,4330846,5119166,5384294,35998524,35916401,35976016,35970108,35956162,35962651,35969294,35976615,0.002158756259715304,0.0431791598757099,0.054931935205136326,0.061178888412064564,0.06414712943076915,0.07186558243019762,0.08495624284897552,0.0893670906170785
16,17000,102433899.77492058,82290,2639357,3252051,3603395,3763220,4145537,4699206,4872333,37909720,37805069,37858523,37780677,37779461,37790824,37758469,37788571,0.0012753358552879224,0.04083869332545949,0.05036054239892586,0.0557341899652028,0.05820512978390821,0.06412963724737142,0.07265828682848491,0.075370225387271
17,18000,108642001.52415466,117895,2712583,3464869,4191064,4654935,5180662,5710939,5911935,39548709,39399174,39499735,39384264,39362479,39366562,39344932,39357181,0.0017063161371096117,0.03917493113714547,0.050112169793993626,0.06051401835842969,0.06719063339931411,0.07478353130034822,0.08241241713705304,0.08532799760863825
18,19000,114850100.91040373,170044,3888641,4683742,5218234,5428169,5896127,6530248,6738763,41799424,41506452,41658604,41589552,41533048,41553407,41557431,41544903,0.002327753926340177,0.05301946464035825,0.06399298002790588,0.07122843164036079,0.07403692298752695,0.0804419228950121,0.08909824144737626,0.0919274920754782
19,20000,121058197.79922557,348769,5331368,6041256,6437752,6767018,7186380,7690963,7900680,47963059,47613490,47747098,47784433,47721203,47764633,47715853,47714465,0.004771439055037339,0.0725902268489414,0.08240574778641935,0.08785889489423424,0.09227291108022685,0.09804926284709695,0.10486388212776653,0.10772126940454035
20,21000,127266292.0549047,441187,7815918,8517731,8938070,9221356,9699574,10234288,10517841,52360710,52182461,52214272,52208117,52168998,52158254,52132794,52173755,0.005889908173687461,0.1040958870929834,0.11349102920572703,0.11908189872005073,0.12279212075548468,0.1291416238686666,0.1362147146738885,0.14006506388657197
21,22000,133474383.54327512,581596,9802196,10378060,10692727,10857733,11254047,11843590,12114062,56279205,56043154,56101191,56100905,56016173,56062687,56006636,56088401,0.007534097478302496,0.1265922814065829,0.1341299183718639,0.13819628122341093,0.14017536583721998,0.14537915460499823,0.15288414050484586,0.15654077911623954
