,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.629226525,18611,102240,543770,683838,789745,837885,1061536,1133115,933794,933794,803668,797207,824348,771710,749869,705792,0.0085754440258029,0.04710941901016004,0.2363813868517024,0.2964375335028461,0.3464230490612098,0.35924487060415394,0.4509131656154814,0.4724720934891457
1,2000,9312181.820187252,72940,262730,2005464,2370740,2559629,2737787,3216453,3378109,3497403,3497403,3372628,3329030,3335720,3343033,3250061,3196356,0.01254389930478063,0.04518314593289025,0.33764556407989166,0.3962359758281721,0.4282850082559053,0.45865618071725606,0.5305821337788261,0.5523553317770208
2,3000,15520302.808605537,111811,387019,1139291,1454283,1752894,2059242,3708614,4050028,6425432,6425432,6087362,6186958,6113286,6134792,6123260,6009817,0.012293852474980162,0.04255354563517317,0.12077792314361192,0.15581584413972588,0.18633898882762207,0.2194064917715389,0.3946575614834658,0.4258486981112304
3,4000,21728423.459525876,91975,448979,704983,961055,1129372,1342423,2609690,2974144,9923737,9923737,9233235,9280081,9248312,9126358,9145837,9060254,0.00779139711294747,0.038033962319913475,0.05642035750669664,0.07720345123254298,0.09049374307774855,0.1065240459440135,0.20740489313501095,0.23477298827602766
4,5000,27936543.637850665,60038,167877,272180,384527,490430,604379,1702950,2009599,13059076,13059076,12121020,12023189,12371475,11969317,11982516,11629380,0.004035498611823809,0.011283976822298303,0.017209673623995756,0.02416379253469186,0.03150837374448752,0.03785121948274387,0.10674107119883505,0.12323412241571591
5,6000,34144663.208691075,3545,72157,121672,189741,237040,290836,957865,1132724,16820827,16820827,15016214,15018000,15721887,14911082,14924671,14558947,0.00020463135054472136,0.004165185997533275,0.006360787467533851,0.009920235324360314,0.012866681835291181,0.015121260926102519,0.04983690886028891,0.05783418834065199
6,7000,40352782.036859676,0,32041,102165,164952,193867,222225,874022,1001976,19879465,19879465,18265750,18225366,19025704,18011855,17442551,16756820,0.0,0.0015650126426662637,0.004625564893893538,0.00745464358446663,0.009090181020810205,0.009946990992511508,0.03814985534601588,0.04246387574428181
7,8000,46560899.987575114,0,24995,43189,69194,90475,112894,613642,783787,23838321,23838321,22461346,22199214,22486960,21468251,20944799,20132019,0.0,0.0011000071784838977,0.0017921078548701248,0.0028402796109961415,0.003758213239988775,0.004499086567380775,0.02395532404785733,0.02965645803802583
8,9000,52769016.92554578,4431,87905,127316,215630,299799,374137,1388034,1640873,26404381,26404381,25138213,25237330,25223301,24274151,24467496,23762094,0.0001680660416670735,0.0033342011719124567,0.004607755906888083,0.007832066396190338,0.01088368880338186,0.013129979308468492,0.04904450201286249,0.05656832350717621
9,10000,58977132.716071755,3544,291249,442993,700424,795227,965020,1943312,2327146,28512012,28512012,27222561,27042532,27421477,26536545,26277448,25787514,0.00011632975404986257,0.009560080287039622,0.013950526681982945,0.021933075231703052,0.025200775643999036,0.0297473032377249,0.05942907452697458,0.07011668377115468
10,11000,65185247.22381282,887,111560,280243,457192,502491,576845,1632679,1910027,30015971,30015971,29244557,28502111,28754845,27575764,27934187,27613697,2.5220877289462666e-05,0.003172086888852824,0.0077973739028062,0.012463274601456086,0.01379317738280544,0.015337753953363679,0.043829061245250316,0.050837055927211286
11,12000,71393360.31406695,0,77278,182661,290894,354588,395645,1381755,1662536,31664277,31664277,30443274,30270928,30449324,29025611,29609690,29248642,0.0,0.0019451241648114756,0.004460576678619925,0.007073851998304403,0.008660308848890306,0.00933835302572086,0.03306925862697171,0.039448264610777654
12,13000,77601471.8515206,0,148574,396878,561678,734190,795135,2173390,2470849,33499159,33499159,32444159,32386524,32473196,32106035,31900927,32115321,0.0,0.0033688482619994233,0.008788786908223566,0.012422396280196318,0.016268957458414876,0.017477247280755018,0.04755720105878967,0.054320907655289095
13,14000,83809581.70150602,886,160275,739826,986001,1163799,1284326,2470355,2717953,35816182,35816182,34597496,34263147,34341576,34497674,34261481,34498988,1.846087181800954e-05,0.0033395217050016697,0.015033420946378613,0.01990054392289158,0.023526297118635794,0.026044946542613193,0.04985771331341694,0.05511904838243693
14,15000,90017689.72857738,0,90536,177155,244771,293561,347135,1202452,1465117,38444541,38444541,36654804,36531876,36836289,36848428,36866902,36772983,0.0,0.001755487152364478,0.00331981671495566,0.004576372367486657,0.005519993756807031,0.006528866279394324,0.022623408822095074,0.02751666954367214
15,16000,96225795.79822159,0,86395,100946,146659,182260,239962,1152774,1534924,40814039,40814039,38996086,38989386,39317136,39293428,39434759,39416439,0.0,0.0015591456577455562,0.0017638740499630646,0.002562337514128234,0.003202676018838449,0.004214860707189764,0.020298520065689295,0.027018858978668292
16,17000,102433899.77492201,4431,118229,192959,258664,296471,340447,1068083,1251794,46061001,46061001,42923638,43304027,43770841,43436545,44066631,43757494,7.860159928428534e-05,0.0020972666399868586,0.003242449188508092,0.004374506283560005,0.005053793753535725,0.005770546854156819,0.018299348631829606,0.02133385614657076
17,18000,108642001.52418482,14178,147948,178998,279338,331564,404911,934379,1088701,47736506,47736506,45403266,45566108,45682832,45069472,45344291,45702017,0.00023278687543671803,0.0024291404039435433,0.0028305120036997665,0.004428601552713559,0.0052663337605276805,0.006369276211448534,0.014761655552186077,0.017297446261393096
18,19000,114850100.91037512,9750,237568,322794,478906,544107,662538,1667028,1941012,50513724,50513724,48011538,48147240,47798245,47664093,48035327,48604080,0.00015154723452305067,0.0036925921447356,0.004829457515907988,0.0071796920471444104,0.008114719460223156,0.009861249694784862,0.024949990884293644,0.029300054151569555
19,20000,121058197.79922605,9749,223832,306127,503848,601995,741960,2186685,2526467,54259215,54259215,51440820,52181573,51725940,51536334,52223421,52659463,0.00014594533616330688,0.003350829468058807,0.004397278519780779,0.007315224888976581,0.008682754883639749,0.010672326077774973,0.03176715465175426,0.03693733527990035
20,21000,127266292.05492902,82014,403280,564733,991367,1191431,1473406,3808149,4323426,57236663,57236663,53430498,54828283,54321851,53772037,55358628,55812865,0.0011711328634294324,0.0057587053571807436,0.0076484990407210286,0.013685729535281075,0.016333403653101163,0.020047907130955857,0.052958875108097256,0.06050690888033145
21,22000,133474383.5432558,389311,953504,1139926,1571756,1794604,2078322,6486336,7408462,57711106,57711106,54650065,55530231,55285964,54688244,55627534,55775198,0.005138518456751415,0.012585305584959844,0.014461602980740666,0.020165156060010275,0.022952299208544302,0.026379284631136708,0.0833217533921633,0.09534800073130298
22,23000,139682472.12842035,328021,1328693,2173613,3082445,3550566,4114104,8645369,9703843,60979720,60979720,57740274,58328849,58062996,57972061,59078654,59455215,0.004167846627075552,0.016882421059837317,0.026526173932916706,0.03788946185143127,0.0435014553929938,0.05034981397332659,0.10725756174758305,0.12095444051473664
23,24000,145890557.67620826,73719,1491037,2021411,3222339,4026742,5214880,11060698,12344897,63364863,63364863,59822019,59972619,59923693,60071331,61190912,61463452,0.0008932854220644667,0.01806754860834705,0.023486061586389804,0.03750484531692222,0.046840628830266275,0.06076587032968133,0.13058729952995424,0.14621959264296822
