,Distance,Total,1985_U,1990_U,1995_U,2000_U,2005_U,2010_U,2015_U,2018_U,1985_W,1990_W,1995_W,2000_W,2005_W,2010_W,2015_W,2018_W,1985_D,1990_D,1995_D,2000_D,2005_D,2010_D,2015_D,2018_D
0,1000,3104060.6292267013,195688,1320046,1377255,1439538,1603067,1717671,1908770,1980705,799975,797881,797881,796092,796092,790192,789885,796484,0.08493087128262543,0.5723951349109057,0.5972019623041313,0.6237251155715777,0.6945791982177493,0.7423373039868942,0.8248163950451027,0.8583485267242283
1,2000,9312181.820189316,1367041,5295862,5519441,5702964,6176315,6320381,6817733,7014047,1230432,1294569,1288285,1288678,1292867,1288981,1278891,1302238,0.1691516107792578,0.6605285287242084,0.6878753707440837,0.7107822377612375,0.770179889240736,0.7877630314444584,0.8486849477508808,0.8756674400538083
2,3000,15520302.808600629,1231315,10117027,10552230,10890291,11588250,11884856,12562719,12794070,1304366,1412726,1410578,1394763,1397556,1393403,1366637,1396709,0.08661511489380394,0.7171342844528902,0.7478692988801492,0.7709645894997386,0.8205379702015799,0.8412925808933929,0.8875947171485515,0.9058650491781342
3,4000,21728423.459525533,2694912,11283512,11982341,12510567,14031598,15142520,16489237,16934288,1936764,2212422,2199311,2167831,2207547,2153730,2103212,2187999,0.1361640243210109,0.578167204147889,0.613563008807166,0.6395801674150038,0.7187995902280838,0.7735763541487938,0.8402068448539739,0.8666284621951956
4,5000,27936543.63785217,3004210,9064206,10220621,10882202,13102802,14412970,16685162,17460526,2874777,3366025,3378238,3263440,3261814,3246918,3092128,3350972,0.1198722358009102,0.36890576603605413,0.41617777507609355,0.4410552543258118,0.5310210969809249,0.5837662430127406,0.6715860112474938,0.7101940218106467
5,6000,34144663.20868409,2999896,8504840,11079858,11789427,14704909,16309937,18631837,19307173,2482243,2832056,2898825,2667497,2661946,2635712,2517728,2770825,0.09474626324292214,0.27161072673760966,0.35460268103547304,0.3745390205026611,0.46707877539692944,0.517628685638539,0.5891129468303363,0.6153908511791807
6,7000,40352782.03686987,2118172,4746606,6135454,6929092,9204248,10435727,13469686,14092574,1445096,1653737,1676894,1556624,1569613,1554490,1436204,1584365,0.05444096567430838,0.1226543444541784,0.15863770197470448,0.1786025305241552,0.23732583562859,0.26897387622328756,0.34611691673504064,0.36350656222557554
7,8000,46560899.987579286,1139333,3173297,3963691,4425350,6005226,6959220,9333204,9847354,1464979,1963845,1997278,1984699,2008024,1998521,1909919,1959175,0.02526465753551868,0.07115485542450715,0.08894454317705043,0.09927606888781482,0.13478873960177504,0.15616805381821555,0.2090257323259314,0.22078415134711263
8,9000,52769016.92552602,1013571,2108330,2518552,2749740,3422338,3948216,5453511,5843698,1545057,1964097,2007175,1970831,1996190,1925330,1780803,1947215,0.019787048901990793,0.041498539966022215,0.04961506329291658,0.05413067317071768,0.06740491336083988,0.07765400659836497,0.10695630578402808,0.11498407727776598
9,10000,58977132.71609184,410946,730482,828472,921719,1235834,1452555,2054528,2280710,2431695,2677204,2673249,2589003,2608508,2578207,2507864,2648258,0.0072675359250610585,0.012974829927115185,0.014714295805552396,0.016345975733558744,0.021924146743413454,0.025755011847425215,0.036383116812251697,0.04048918093065428
10,11000,65185247.22380525,509141,775613,866794,970566,1267396,1331871,1456177,1486923,2752421,2986522,2991315,2783280,2802230,2751509,2631358,2891423,0.0081550208567343,0.012469917947822354,0.013936954442450052,0.015553451969215263,0.020316362632046017,0.021332552525137334,0.02327876041072508,0.02386950903283572
11,12000,71393360.314076,368610,539029,561540,616844,761116,826478,939623,984393,3416849,3983073,3843668,3587725,3644577,3525603,3402238,3755351,0.005422608381546514,0.007996242435350737,0.008312991233018338,0.009097237967652333,0.011234386254164135,0.012177770899003695,0.013819789525749195,0.014553843467346695
12,13000,77601471.85149682,155973,219656,222445,251068,266591,276281,324881,335347,2855232,3440620,3417790,3120969,3228929,3119386,2873159,3263465,0.00208670028498934,0.0029618861503890154,0.0029985705002522965,0.0033709224614204432,0.003584535230055464,0.00370936174573376,0.004347495448553976,0.0045111109942712665
13,14000,83809581.70149493,147055,316054,341148,388349,480921,565856,688730,738919,2491612,2846650,2824012,2130271,2626225,2462382,2152817,2403749,0.0018083948792599598,0.003903687692106686,0.004212454160135428,0.004754557753544953,0.0059238866134632764,0.006956059975960072,0.00843445123643738,0.009076978583457577
14,15000,90017689.72861159,195857,284486,287972,330624,348637,359201,401659,409327,2218703,2730194,2687340,2533704,2635411,2520119,2250007,2740097,0.002230743284149712,0.0032591838914075933,0.0032975019668981496,0.0037792516795661906,0.003989790665482448,0.0041052682606940285,0.004576388341503544,0.0046899437438976625
15,16000,96225795.79822206,48273,69514,69514,112320,112320,112320,113714,113714,2728099,3119011,3095050,2673713,2816312,2776505,2449519,2814319,0.0005163014881979205,0.0007466050959728491,0.000746413006834603,0.0012006146377548594,0.001202447497115254,0.0012019352853359158,0.001212609456064009,0.001217345061845381
16,17000,102433899.77490258,73550,115791,137392,182273,222815,259961,295612,316515,3367430,3575761,3473312,3102406,3145203,3091649,2793708,3196322,0.0007424308160684362,0.0011712844428889472,0.0013883506867654642,0.0018349970696409047,0.0022441124441903385,0.0026168221272642586,0.002966794771610013,0.003189467206847197
17,18000,108642001.52418077,105359,181555,183389,218832,228046,232017,247275,248038,4137750,4439370,4364798,3696825,3880538,3794385,3311907,3820084,0.001008179078490615,0.00174232643978736,0.0017586681825186657,0.002085203029312912,0.0021768118956009335,0.002212897228297893,0.002347619653405255,0.002366279933228483
18,19000,114850100.91040325,408647,914423,987643,1159510,1213075,1254604,1366524,1386669,3498404,3626869,3581278,3059625,3169457,3181813,3028836,3488824,0.003669876717988492,0.008221510778760868,0.008876188083658237,0.010372171605471228,0.010861998619682026,0.011235096583612244,0.012220609390306279,0.012451985451959727
19,20000,121058197.79922438,340069,685383,741714,843417,1028238,1215048,1539767,1607479,3813972,4151383,3975367,3060217,3433568,3397530,3249706,4006088,0.0029005181080930444,0.005862643689138875,0.006334951033699413,0.007147724005846242,0.008741689574327402,0.010326713444065713,0.013070084986947754,0.013733020299738772
20,21000,127266292.05494738,827456,1086561,1120107,1205242,1336790,1460610,1796531,1862898,4792238,5085558,4965615,3966314,3983799,3991939,3613349,4578617,0.00675617383930776,0.008893063283703546,0.00915863286265175,0.009774876030090583,0.010843307649563743,0.011848449931422141,0.014528817152388194,0.01518406799351015
21,22000,133474383.54321599,403584,508029,512914,548159,627542,665818,811736,845793,4711948,4631593,4655375,4060796,4338312,4462361,4156296,4810392,0.003134330274954661,0.003943014567272965,0.003981663931437017,0.004235714428494222,0.004859540734828612,0.005160898859460688,0.0062770492157853105,0.006573657399054909
22,23000,139682472.1284511,107354,337074,389522,447528,496207,566687,606184,613876,3248342,3386482,3386769,2384416,3055056,3022314,2383965,3044995,0.0007868558981460686,0.0024731028380389417,0.0028579184160552533,0.0032595363155127916,0.0036318259838383237,0.004146687723479387,0.004415080780396818,0.004492735177062023
23,24000,145890557.67620444,158793,237878,239976,260303,264073,264227,357054,375958,3190148,3302638,3161708,2755451,3053589,2950901,2803660,3151182,0.0011127718579106436,0.0016682899963768663,0.0016813419329337485,0.001818582499043012,0.0018487720822375066,0.001848521300135364,0.0024953647454708816,0.002633877290123769
24,25000,152098640.05070806,246905,294548,311991,396443,420124,426404,491096,533124,4383316,4779012,4657680,4136201,4526171,4459442,4251897,4680135,0.0016714921189574204,0.001999380557074277,0.002116040209536751,0.002679348911409438,0.002846899578915626,0.002888148985024611,0.00332165585704898,0.003616398089348549
25,26000,158306719.11793137,273412,444824,463815,518770,578708,625229,1032750,1113899,3913623,4381984,4298710,3605701,4050416,3733631,3751115,4144833,0.00177088229250327,0.002889879912147924,0.0030116290877108508,0.003353371595812849,0.0037516003450281618,0.004044876165784967,0.006682061164291237,0.007225514866546749
26,27000,164514794.74183083,503090,728916,815657,876816,1050250,1209115,1424500,1441950,4616676,5322779,4979986,3853718,4498459,4462685,4228938,4731010,0.003146315941416933,0.004578847730542701,0.005112721207570111,0.005457550875306104,0.006563392388227572,0.007554508353250333,0.008887247003298696,0.009024382557528084
27,28000,170722866.7881632,313669,687237,712691,778750,856233,907521,1002291,1019247,6773064,8510492,8231897,5749684,7939969,7804394,7139780,8218053,0.0019132014474289212,0.0042366496446246986,0.00438603450351194,0.0047204641799265526,0.005259969023983435,0.005570399626689453,0.006127106534540131,0.00627210343029384
28,29000,176930935.1217661,198277,351391,356761,396609,439577,456777,503071,510068,11465103,12257266,11800254,9857538,11895231,11837375,11328851,12294709,0.0011982957294415213,0.0021338626987182016,0.002160476766500631,0.002373860870925754,0.002663526673450448,0.0027667766063261367,0.0030378301255562417,0.0030981516766713916
29,30000,183138999.60710335,879079,1198510,1208282,1278053,1451835,1693058,2088836,2149847,10442498,10801735,10603316,9616552,10636041,10387839,10217485,10505919,0.005090311568673038,0.006954444836596299,0.007003084664801796,0.007365346775731404,0.008416290431903445,0.009800559336620648,0.012079676752462321,0.012453273685666594
